Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,11,12,MLG52,125,59,0,38,66.45253372192383,0.5316202697753907
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,18,5,1-1390,98,39,0,42,47.23701095581055,0.4820103158756178
398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,6,2,1-0303,212,80,0,59,91.5710391998291,0.43193886415013727
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,1,3,MLG32,52,17,0,26,22.099102020263672,0.42498273115891677
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,7,14,MLG44,59,23,0,9,24.765073776245117,0.4197470131566969
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,11,12,1-3206,45,17,0,9,18.765073776245117,0.4170016394721137
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,13,9,MLG45,70,27,0,6,28.176715850830078,0.4025245121547154
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,7,14,MLG40,51,19,0,7,20.372835159301758,0.3994673560647404
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,18,10,1-9630,33,12,0,4,12.784477233886719,0.38740840102687024
347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,1-8188,6,2,1-8188,140,47,0,31,53.07969856262207,0.37914070401872907
399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,2,7,MLG60,47,16,0,7,17.372835159301758,0.3696347906234417
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,14,8,1-11350,100,31,0,30,36.88357925415039,0.3688357925415039
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,1,3,1-9379,58,17,0,22,21.314624786376953,0.3674935307996026
389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,1-0278,7,14,1-0278,79,28,0,5,28.9805965423584,0.36684299420706834
259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,1-3596,10,17,1-3596,223,70,0,38,77.45253372192383,0.34732077902208
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,18,5,1-2382,139,42,0,25,46.90298271179199,0.3374315303006618
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,14,8,72-12171,19,6,0,2,6.392238616943359,0.33643361141807154
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,10,17,1-0296,41,12,0,7,13.372835159301758,0.3261667112024819
394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,1-2423,20,18,1-2423,79,25,0,3,25.58835792541504,0.3239032648786714
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,17,13,1-1258,435,97,0,205,137.20445823669434,0.3154125476705617
447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,1-7152,3,1,1-7152,109,33,0,6,34.17671585083008,0.3135478518424778
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,13,9,1-5002,45,12,0,8,13.568954467773438,0.3015323215060764
462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,1-1183,2,7,1-1183,45,9,0,23,13.510744094848633,0.30023875766330294
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,11,12,MLG56,511,132,0,109,153.3770046234131,0.30015069397928196
207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,1-7058,17,13,1-7058,80,3,0,105,23.592527389526367,0.29490659236907957
311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,18,5,1-20578,19,5,0,3,5.588357925415039,0.2941241013376336
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1-7467,2,7,1-7467,64,16,0,13,18.549551010131836,0.28983673453330994
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,16,6,1-7682,141,33,0,37,40.25641441345215,0.2855064852017883
243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,1-1015,3,1,1-1015,155,43,0,2,43.39223861694336,0.2799499265609249
352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,MLG63,7,14,MLG63,380,99,0,33,105.47193717956543,0.277557729419909
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,18,5,MLG65,201,51,0,23,55.51074409484863,0.2761728561932768
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,7,14,1-2545,145,28,0,59,39.5710391998291,0.27290371861951107
383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,1-8551,7,14,1-8551,38,9,0,6,10.176715850830078,0.26780831186394943
382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,1-18558,10,17,1-18558,307,70,0,54,80.5904426574707,0.2625095852034876
324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,1-6734,17,13,1-6734,44,9,0,10,10.961193084716797,0.24911802465265448
320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,MLG13,7,14,MLG13,140,33,0,8,34.56895446777344,0.24692110334123885
162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,1-8067,8,4,1-8067,322,67,0,63,79.35551643371582,0.24644570321029757
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,8,4,1-6858,23,4,0,8,5.5689544677734375,0.24212845512058423
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,14,8,1-7866,318,52,0,127,76.90715217590332,0.24184639049026202
500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,1,3,1-0292,99,10,0,71,23.924470901489258,0.24166132223726522
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,15,10,MLG75,185,39,0,29,44.68745994567871,0.24155383754420925
461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,1-9651,7,7,1-9651,38,7,0,11,9.157312393188477,0.24098190508390727
465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,1-5913,16,6,1-5913,14,2,0,7,3.372835159301758,0.2409167970929827
444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,5,20,1-3217,5,1,0,1,1.1961193084716797,0.23922386169433593
541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,1-5424,2,7,1-5424,5,1,0,1,1.1961193084716797,0.23922386169433593
481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,1-10038,18,5,1-10038,76,17,0,6,18.176715850830078,0.23916731382671155
357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,1-4760,14,8,1-4760,40,7,0,13,9.549551010131836,0.2387387752532959
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,17,13,1-9963,116,21,0,34,27.66805648803711,0.2385177283451475
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,1-8095,4,15,1-8095,46,9,0,10,10.961193084716797,0.23828680618949558
473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,1-9452,5,20,1-9452,16,3,0,4,3.7844772338867188,0.23652982711791992
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,4,15,1-9277,48,8,0,17,11.334028244018555,0.23612558841705322
365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,MLG48,2,7,MLG48,159,24,0,69,37.5322322845459,0.2360517753745025
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,19,11,MLG55,92,14,0,39,21.648653030395508,0.23531144598255987
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,1-7481,2,7,1-7481,33,6,0,9,7.765073776245117,0.23530526594682175
154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,1-18994,11,10,1-18994,28,6,0,3,6.588357925415039,0.23529849733625138
301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,1-1177,2,7,1-1177,17,4,0,0,4.0,0.23529411764705882
464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,2,7,1-10060,36,7,0,7,8.372835159301758,0.23257875442504883
426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,7,8,1-4355,49,9,0,12,11.353431701660156,0.2317026877889828
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,17,13,1-1570,142,27,0,30,32.88357925415039,0.23157450178979147
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,15,10,MLG68,642,66,0,419,148.1739902496338,0.23080060786547318
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,15,10,MLG58,71,15,0,7,16.372835159301758,0.23060331210284166
151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,1-9870,7,14,1-9870,27,6,0,1,6.19611930847168,0.22948590031376592
350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,1-2282,19,11,1-2282,219,35,0,77,50.101186752319336,0.2287725422480335
547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,MLG67,6,2,MLG67,27,5,0,6,6.176715850830078,0.22876725373444734
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,5,20,P-16616,28,6,0,2,6.392238616943359,0.22829423631940568
210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,1-7842,14,8,1-7842,21,4,0,4,4.784477233886719,0.2278322492327009
544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,1-5799,1,3,1-5799,7,1,0,3,1.588357925415039,0.2269082750592913
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,1-8488,2,7,1-8488,23,4,0,6,5.176715850830078,0.2250746022100034
332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,MLG78,10,17,MLG78,80,13,0,25,17.902982711791992,0.2237872838973999
