Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,1-7527,10,17,1-7527,1,1,0,1,1.0701270699501038,1.0701270699501038
556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,1-10951,8,21,1-10951,1,1,0,1,1.0701270699501038,1.0701270699501038
519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,1-4926,9,16,1-4926,4,3,0,2,3.1402541399002075,0.7850635349750519
442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,MLG11,21,8,MLG11,87,50,0,4,50.280508279800415,0.5779368767793152
561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,1-9455,7,15,1-9455,2,1,0,1,1.0701270699501038,0.5350635349750519
558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,10,17,1-0055,18,9,0,4,9.280508279800415,0.5155837933222452
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1-8418,18,10,1-8418,46,23,0,2,23.140254139900208,0.5030490030413088
490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,1-3551,18,10,1-3551,6,3,0,0,3.0,0.5
218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,1-9416,16,6,1-9416,13,6,0,3,6.210381209850311,0.477721631526947
439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,MLG72,2,9,MLG72,9,4,0,2,4.1402541399002075,0.4600282377666897
417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,1-10451,22,12,1-10451,46,21,0,0,21.0,0.45652173913043476
301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,1-1177,20,13,1-1177,17,7,0,9,7.631143629550934,0.4488908017382902
276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,1-9495,1,18,1-9495,18,8,0,1,8.070127069950104,0.44834039277500576
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,2,9,1-0003,17,7,0,8,7.56101655960083,0.4447656799765194
310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,1-4855,13,2,1-4855,22,9,0,2,9.140254139900208,0.4154660972681912
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1-19222,4,11,1-19222,15,6,0,1,6.070127069950104,0.4046751379966736
444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,9,16,1-3217,5,2,0,0,2.0,0.4
221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,1-8023,19,20,1-8023,16,6,0,5,6.350635349750519,0.3969147093594074
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,MLG12,2,9,MLG12,146,51,0,65,55.558259546756744,0.38053602429285444
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,14,3,P-16616,28,10,0,5,10.350635349750519,0.36966554820537567
357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,1-4760,9,16,1-4760,40,14,0,6,14.420762419700623,0.3605190604925156
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,17,5,1-1131,138,46,0,11,46.77139776945114,0.3389231722423996
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,12,14,MLG49,185,59,0,45,62.15571814775467,0.33597685485272794
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,1-3312,8,21,1-3312,36,12,0,1,12.070127069950104,0.335281307498614
