,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
296,1-7744,6,3,1-7744,37,1,0,7,4.974723815917969,0.1344519950248099
297,1-1250,2,18,1-1250,34,4,0,1,4.567817687988281,0.1343475790584788
298,1-9115,17,7,1-9115,16,1,0,2,2.1356353759765625,0.1334772109985351
299,1-3104,11,10,1-3104,16,1,0,2,2.1356353759765625,0.1334772109985351
300,1-5654,14,14,1-5654,15,2,0,0,2.0,0.1333333333333333
301,1-4531,18,15,1-4531,94,0,0,22,12.491989135742188,0.1328935014440658
302,1-8622,3,20,1-8622,54,6,0,2,7.1356353759765625,0.1321413958514178
303,1-2103,13,22,1-2103,26,0,0,6,3.4069061279296875,0.1310348510742187
304,1-9416,1,19,1-9416,13,0,0,3,1.7034530639648438,0.1310348510742187
305,1-4640,18,15,1-4640,87,5,0,11,11.245994567871094,0.1292643053778286
306,1-9752,10,1,1-9752,22,0,0,5,2.8390884399414062,0.1290494745427912
307,1-5413,11,21,1-5413,39,5,0,0,5.0,0.1282051282051282
308,1-18203,14,12,1-18203,29,2,0,3,3.703453063964844,0.1277052780677532
309,1-0027,5,21,1-0027,29,2,0,3,3.703453063964844,0.1277052780677532
310,1-5531,2,14,1-5531,8,1,0,0,1.0,0.125
311,1-18563,15,4,1-18563,8,1,0,0,1.0,0.125
312,1-9643,4,21,1-9643,8,1,0,0,1.0,0.125
313,1-6743,3,20,1-6743,58,6,0,2,7.1356353759765625,0.1230281961375269
314,1-9892,13,22,1-9892,22,1,0,3,2.703453063964844,0.1228842301802201
315,1-5197,19,11,1-5197,72,6,0,5,8.839088439941406,0.1227651172214084
316,MLG55,13,22,MLG55,92,5,0,11,11.245994567871094,0.1222390713899032
317,1-5549,19,11,1-5549,35,2,0,4,4.271270751953125,0.1220363071986607
318,1-8418,1,19,1-8418,46,1,0,8,5.54254150390625,0.1204900326936141
319,1-8314,10,21,1-8314,36,2,0,4,4.271270751953125,0.1186464097764757
320,1-6228,13,15,1-6228,48,0,0,10,5.6781768798828125,0.1182953516642252
321,1-2382,4,21,1-2382,139,9,0,13,16.381629943847656,0.1178534528334363
322,MLG39,3,20,MLG39,23,1,0,3,2.703453063964844,0.1175414375636888
323,1-8095,3,20,1-8095,46,2,0,6,5.406906127929688,0.1175414375636888
324,1-9996,7,8,1-9996,28,1,0,4,3.271270751953125,0.1168310982840401
325,MLG10,15,4,MLG10,60,7,0,0,7.0,0.1166666666666666
326,1-8267,16,17,1-8267,133,3,0,22,15.491989135742188,0.1164811213213698
327,1-2400,1,19,1-2400,49,4,0,3,5.703453063964844,0.1163970013054049
328,1-19547,16,17,1-19547,66,2,0,10,7.6781768798828125,0.1163360133315577
329,1-8544,1,19,1-8544,54,0,0,11,6.245994567871094,0.1156665660716869
330,1-7204,9,14,1-7204,26,3,0,0,3.0,0.1153846153846153
331,1-9185,9,14,1-9185,31,3,0,1,3.567817687988281,0.1150908931609123
332,1-4051,11,10,1-4051,5,0,0,1,0.5678176879882812,0.1135635375976562
333,1-17790,3,1,1-17790,5,0,0,1,0.5678176879882812,0.1135635375976562
334,1-0037,13,22,1-0037,35,0,0,7,3.9747238159179688,0.1135635375976562
335,1-3647,4,21,1-3647,5,0,0,1,0.5678176879882812,0.1135635375976562
336,MLG08,2,18,MLG08,107,11,0,2,12.135635375976562,0.1134171530465099
337,MLG43,4,21,MLG43,14,1,0,1,1.5678176879882812,0.1119869777134486
338,1-9549,8,6,1-9549,18,2,0,0,2.0,0.1111111111111111
339,1-8398,17,7,1-8398,54,2,0,7,5.974723815917969,0.1106430336281105
340,1-8401,3,20,1-8401,57,0,0,11,6.245994567871094,0.1095788520679139
341,1-6216,1,19,1-6216,45,2,0,5,4.839088439941406,0.1075352986653645
342,1-10696,1,19,1-10696,24,2,0,1,2.567817687988281,0.1069924036661783
343,1-6718,2,22,1-6718,20,1,0,2,2.1356353759765625,0.1067817687988281
344,1-3087,14,12,1-3087,26,1,0,3,2.703453063964844,0.1039789639986478
345,1-19286,4,21,1-19286,40,3,0,2,4.1356353759765625,0.103390884399414
346,1-6296,20,1,1-6296,254,0,0,46,26.119613647460938,0.1028331245963029
347,1-8928,6,3,1-8928,39,0,0,7,3.9747238159179688,0.1019159952799479
348,1-5425,11,10,1-5425,17,0,0,3,1.7034530639648438,0.1002031214096966
349,1-1836,11,10,1-1836,20,2,0,0,2.0,0.1
350,1-8826,16,17,1-8826,123,2,0,18,12.220718383789062,0.0993554340145452
351,1-6918,5,13,1-6918,43,2,0,4,4.271270751953125,0.0993318779523982
352,MLG09,13,22,MLG09,125,1,0,20,12.356353759765623,0.098850830078125
353,1-1015,1,19,1-1015,155,13,0,4,15.271270751953123,0.0985243274319556
354,1-6181,20,1,1-6181,659,0,0,114,64.73121643066406,0.098226428574604
355,1-7182,8,6,1-7182,22,1,0,2,2.1356353759765625,0.0970743352716619
356,1-3106,8,6,1-3106,34,1,0,4,3.271270751953125,0.0962138456456801
357,1-8018,2,18,1-8018,58,5,0,1,5.567817687988281,0.0959968566894531
358,1-3564,1,19,1-3564,41,1,0,5,3.8390884399414062,0.093636303413205
359,1-7066,5,13,1-7066,23,1,0,2,2.1356353759765625,0.0928537119989809
360,MLG53,8,6,MLG53,91,5,0,6,8.406906127929688,0.0923835838234031
361,1-9907,10,5,1-9907,17,1,0,1,1.5678176879882812,0.0922245698816636
362,1-9609,20,1,1-9609,25,0,0,4,2.271270751953125,0.090850830078125
363,1-2335,12,24,1-2335,145,0,0,23,13.059806823730469,0.0900676332671066
364,1-18714,11,10,1-18714,32,0,0,5,2.8390884399414062,0.0887215137481689
365,1-5980,5,20,1-5980,29,2,0,1,2.567817687988281,0.0885454375168372
366,1-6878,20,1,1-6878,167,0,0,26,14.763259887695312,0.0884027538185348
367,1-0278,13,22,1-0278,79,3,0,7,6.974723815917969,0.0882876432394679
368,1-8186,17,7,1-8186,26,0,0,4,2.271270751953125,0.0873565673828125
369,1-0031,6,3,1-0031,13,0,0,2,1.1356353759765625,0.0873565673828125
370,1-9504,2,22,1-9504,30,2,0,1,2.567817687988281,0.0855939229329427
371,1-8646,17,22,1-8646,20,0,0,3,1.7034530639648438,0.0851726531982421
372,1-9697,6,22,1-9697,20,0,0,3,1.7034530639648438,0.0851726531982421
373,MLG30,20,1,MLG30,208,0,0,31,17.60234832763672,0.0846266746520996
374,1-7964,20,1,1-7964,202,0,0,30,17.034530639648438,0.0843293596022199
375,1-6543,4,21,1-6543,12,1,0,0,1.0,0.0833333333333333
376,1-7993,15,4,1-7993,24,2,0,0,2.0,0.0833333333333333
377,MLG38,3,20,MLG38,77,3,0,6,6.406906127929688,0.0832065730899959
378,1-5530,18,15,1-5530,7,0,0,1,0.5678176879882812,0.0811168125697544
379,1-9447,14,12,1-9447,7,0,0,1,0.5678176879882812,0.0811168125697544
380,1-5913,1,24,1-5913,14,0,0,2,1.1356353759765625,0.0811168125697544
381,MLG02,20,1,MLG02,320,0,0,45,25.551795959472656,0.079849362373352
382,1-9850,17,7,1-9850,27,1,0,2,2.1356353759765625,0.0790976065176504
383,72-18936,8,6,72-18936,20,1,0,1,1.5678176879882812,0.078390884399414
384,MLG17,1,19,MLG17,153,8,0,7,11.974723815917969,0.0782661687314899
385,1-6974,4,21,1-6974,207,15,0,2,16.135635375976562,0.0779499293525437
386,1-9925,19,11,1-9925,93,1,0,11,7.245994567871094,0.0779139200846354
387,1-7042,16,17,1-7042,117,4,0,9,9.110359191894531,0.0778663178794404
388,1-2294,11,10,1-2294,75,3,0,5,5.839088439941406,0.077854512532552
389,1-2153,17,7,1-2153,13,1,0,0,1.0,0.0769230769230769
390,1-18994,14,8,1-18994,28,1,0,2,2.1356353759765625,0.0762726919991629
391,1-7509,9,14,1-7509,40,3,0,0,3.0,0.075
392,1-9436,3,20,1-9436,21,1,0,1,1.5678176879882812,0.0746579851422991
393,1-7842,17,7,1-7842,21,1,0,1,1.5678176879882812,0.0746579851422991
394,1-18735,5,13,1-18735,27,2,0,0,2.0,0.074074074074074
395,1-8488,6,3,1-8488,23,0,0,3,1.7034530639648438,0.0740631766941236
396,1-9137,17,7,1-9137,111,7,0,2,8.135635375976562,0.0732940123961852
397,1-7995,15,4,1-7995,14,1,0,0,1.0,0.0714285714285714
398,1-9588,9,14,1-9588,14,1,0,0,1.0,0.0714285714285714
399,1-5036,19,11,1-5036,14,1,0,0,1.0,0.0714285714285714
400,1-10060,8,21,1-10060,36,2,0,1,2.567817687988281,0.0713282691107855
401,1-18409,13,22,1-18409,22,1,0,1,1.5678176879882812,0.0712644403631037
402,1-1972,10,5,1-1972,32,0,0,4,2.271270751953125,0.0709772109985351
403,1-9855,8,24,1-9855,8,0,0,1,0.5678176879882812,0.0709772109985351
404,P-16454,9,24,P-16454,8,0,0,1,0.5678176879882812,0.0709772109985351
405,1-7722,8,6,1-7722,60,3,0,2,4.1356353759765625,0.068927256266276
406,1-8188,15,4,1-8188,140,9,0,1,9.56781768798828,0.068341554914202
407,1-7213,1,6,1-7213,23,1,0,1,1.5678176879882812,0.0681659864342731
408,1-9770,12,24,1-9770,50,0,0,6,3.4069061279296875,0.0681381225585937
409,1-17835,14,1,1-17835,17,0,0,2,1.1356353759765625,0.0668020809397978
410,1-19222,14,12,1-19222,15,1,0,0,1.0,0.0666666666666666
411,MLG07,15,4,MLG07,90,6,0,0,6.0,0.0666666666666666
412,1-7614,4,21,1-7614,72,3,0,3,4.703453063964844,0.0653257369995117
413,1-6692,12,24,1-6692,71,0,0,8,4.54254150390625,0.0639794578014964
414,1-2869,3,20,1-2869,9,0,0,1,0.5678176879882812,0.0630908542209201
415,1-9076,7,8,1-9076,9,0,0,1,0.5678176879882812,0.0630908542209201
416,1-4682,21,21,1-4682,16,1,0,0,1.0,0.0625
417,1-8493,19,11,1-8493,38,0,0,4,2.271270751953125,0.0597702829461348
418,1-0001,7,8,1-0001,17,1,0,0,1.0,0.0588235294117647
419,1-19549,13,22,1-19549,29,0,0,3,1.7034530639648438,0.0587397608263739
420,1-9646,15,4,1-9646,105,5,0,2,6.1356353759765625,0.0584346226283482
421,1-9610,12,24,1-9610,49,0,0,5,2.8390884399414062,0.0579405804069674
422,1-4929,14,12,1-4929,10,0,0,1,0.5678176879882812,0.0567817687988281
423,1-5555,12,24,1-5555,10,0,0,1,0.5678176879882812,0.0567817687988281
424,1-9902,20,1,1-9902,30,0,0,3,1.7034530639648438,0.0567817687988281
425,1-9576,17,17,1-9576,10,0,0,1,0.5678176879882812,0.0567817687988281
426,MLG12,3,20,MLG12,146,6,0,4,8.271270751953125,0.0566525393969392
427,1-9465,1,19,1-9465,18,1,0,0,1.0,0.0555555555555555
428,1-9495,13,12,1-9495,18,1,0,0,1.0,0.0555555555555555
429,1-9955,2,18,1-9955,60,1,0,4,3.271270751953125,0.0545211791992187
430,1-8397,4,21,1-8397,51,1,0,3,2.703453063964844,0.0530088836071538
431,1-6916,4,21,1-6916,43,0,0,4,2.271270751953125,0.0528202500454215
432,1-9731,10,5,1-9731,11,0,0,1,0.5678176879882812,0.0516197898171164
433,1-6217,7,8,1-6217,44,0,0,4,2.271270751953125,0.0516197898171164
434,1-3535,12,24,1-3535,315,0,0,28,15.898895263671877,0.0504726833767361
435,1-9740,9,22,1-9740,34,0,0,3,1.7034530639648438,0.0501015607048483
436,1-19813,2,18,1-19813,20,1,0,0,1.0,0.05
437,1-10451,4,21,1-10451,46,0,0,4,2.271270751953125,0.0493754511294157
438,1-8541,18,15,1-8541,232,0,0,20,11.356353759765623,0.0489498006886449
439,1-8094,7,8,1-8094,58,0,0,5,2.8390884399414062,0.0489498006886449
440,1-19897,3,20,1-19897,53,2,0,1,2.567817687988281,0.0484493903394015
441,MLG48,4,21,MLG48,159,7,0,1,7.567817687988281,0.0475963376603036
442,1-6006,13,22,1-6006,57,1,0,3,2.703453063964844,0.0474290011221902
443,1-8590,14,24,1-8590,24,0,0,2,1.1356353759765625,0.0473181406656901
444,1-8767,6,3,1-8767,48,0,0,4,2.271270751953125,0.0473181406656901
445,1-4634,5,1,1-4634,48,0,0,4,2.271270751953125,0.0473181406656901
446,1-1935,5,13,1-1935,12,0,0,1,0.5678176879882812,0.0473181406656901
