Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,20,16,MLG52,125,66,0,10,71.2424019575119,0.5699392156600952
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,1,4,1-5002,45,23,0,4,25.09696078300476,0.557710239622328
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,17,12,1-1131,138,69,0,10,74.2424019575119,0.5379884199819703
248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,1-2400,18,8,1-2400,49,22,0,8,26.19392156600952,0.5345698278777453
381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,1-2335,8,5,1-2335,145,59,0,32,75.77568626403809,0.5225909397519868
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,4,14,1-11350,100,36,0,28,50.678725481033325,0.5067872548103333
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,13,13,1-9277,48,17,0,13,23.815122544765472,0.49614838634928066
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,17,21,P-16616,28,12,0,2,13.04848039150238,0.4660171568393707
533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,1-7530,6,3,1-7530,25,7,0,8,11.193921566009521,0.44775686264038084
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,1,12,1-3584,26,9,0,5,11.621200978755951,0.44696926841369045
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,11,7,1-2545,145,54,0,18,63.43632352352142,0.4374918863691133
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,5,11,MLG65,201,66,0,40,86.96960783004761,0.4326846160698886
359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,1-4417,10,15,1-4417,151,15,0,96,65.32705879211426,0.43262952842459773
362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,1-1462,13,13,1-1462,192,29,0,103,82.99674016237259,0.43227468834569055
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,10,15,1-6878,167,27,0,82,69.9876960515976,0.41908800030896765
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,3,10,1-7682,141,35,0,45,58.59080880880356,0.4155376511262664
423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,1-7122,18,8,1-7122,197,14,0,127,80.57850486040115,0.40902794345381294
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,2,6,MLG57,629,121,0,238,245.76916658878326,0.39072999457676194
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,8,5,MLG59,71,16,0,22,27.533284306526184,0.3877927367116364
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,8,5,1-9379,58,12,0,20,22.484803915023804,0.38766903301765177
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1-5775,5,11,1-5775,244,40,0,101,92.94825977087021,0.3809354908642222
414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,1-8285,3,9,1-8285,72,19,0,16,27.387843132019043,0.38038671016693115
236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,1-7024,19,10,1-7024,498,62,0,237,186.24492639303207,0.3739857959699439
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,1-7807,6,3,1-7807,239,49,0,77,89.36649507284164,0.37391838942611566
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,MLG69,5,11,MLG69,576,87,0,241,213.34188717603683,0.37038522079173064
349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,1-3052,13,13,1-3052,166,22,0,72,59.74529409408569,0.3599114102053355
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,8,5,MLG49,185,32,0,62,64.50289213657379,0.3486642818193178
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-18615,3,9,1-18615,22,4,0,7,7.669681370258331,0.3486218804662878
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,1-9768,5,11,1-9768,241,21,0,120,83.90882349014282,0.3481693920752814
311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,15,21,1-20578,19,5,0,3,6.572720587253571,0.34593266248703003
375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,4,14,MLG14,232,64,0,31,80.2514460682869,0.34591140546675386
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,1-6611,6,3,1-6611,89,16,0,28,30.678725481033325,0.3447047806857677
267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,1-6181,10,15,1-6181,659,106,0,225,223.9540440440178,0.33983921706224246
294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,1-3509,10,15,1-3509,35,4,0,15,11.863602936267853,0.33896008389336724
250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-9333,18,8,1-9333,102,8,0,50,34.21200978755951,0.3354118606623481
258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,1-9516,13,13,1-9516,76,12,0,25,25.106004893779755,0.3303421696549968
480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,1-1005,1,4,1-1005,125,35,0,11,40.76664215326309,0.32613313722610476
394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,1-2423,4,14,1-2423,79,21,0,9,25.71816176176071,0.32554635141469257
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,13,13,1-4531,94,24,0,12,30.290882349014282,0.3222434292448328
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,1-8095,2,6,1-8095,46,10,0,9,14.718161761760712,0.31996003829914593
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,17,12,1-6980,128,34,0,13,40.81512254476547,0.31886814488098025
326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,1-8826,6,3,1-8826,123,25,0,27,39.154485285282135,0.31832914866083034
239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,1-7042,6,3,1-7042,117,23,0,27,37.154485285282135,0.3175597032930097
266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1-2103,2,6,1-2103,26,3,0,10,8.242401957511902,0.3170154599043039
391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,MLG30,10,15,MLG30,208,30,0,68,65.64833331108093,0.31561698707250446
357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,1-4760,17,12,1-4760,40,11,0,3,12.57272058725357,0.31431801468133924
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,20,16,MLG56,511,137,0,45,160.59080880880356,0.31426772761018307
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1-7140,4,14,1-7140,397,98,0,51,124.7362499833107,0.31419710323252065
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,1-8928,20,16,1-8928,39,7,0,10,12.242401957511902,0.3139077425003052
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,13,13,1-7005,285,48,0,76,87.84225487709045,0.30821843816522965
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,MLG39,9,20,MLG39,23,6,0,2,7.04848039150238,0.3064556691957557
406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,1-17907,6,3,1-17907,119,20,0,31,36.251446068286896,0.30463400057383944
227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,1-3068,6,3,1-3068,180,27,0,53,54.78473037481308,0.304359613193406
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1-8938,20,16,1-8938,30,7,0,4,9.09696078300476,0.3032320261001587
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1-19813,4,14,1-19813,20,5,0,2,6.04848039150238,0.302424019575119
497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,1-8493,21,17,1-8493,38,1,0,20,11.484803915023804,0.3022316819743106
157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,1-6061,1,4,1-6061,40,11,0,2,12.04848039150238,0.3012120097875595
224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,1-9227,13,13,1-9227,801,115,0,237,239.24492639303207,0.29868280448568296
203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,1-1250,4,14,1-1250,34,7,0,6,10.145441174507141,0.2983953286619747
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,3,9,1-1350,195,36,0,42,58.01808822154999,0.29752865754641017
