Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,MLG40,24,MLG40,3,51,0,1,6,1000.2892054319382,19.613513831998787
168,168,168,168,168,MLG45,8,MLG45,5,70,17,1,21,1018.0122190117836,14.543031700168337
32,32,32,32,32,1-7874,24,1-7874,19,258,0,1,58,1002.7956525087357,3.886804854685022
8,8,8,8,8,1-10468,8,1-10468,5,549,54,1,143,1060.892729461193,1.9324093432808618
85,85,85,85,85,1-1131,4,1-1131,12,138,74,0,21,75.0122190117836,0.5435668044332145
147,147,147,147,147,1-2423,15,1-2423,12,79,34,0,20,34.96401810646057,0.4425825076767161
228,228,228,228,228,MLG60,11,MLG60,2,47,16,0,4,16.192803621292114,0.3445277366232365
112,112,112,112,112,1-3447,9,1-3447,4,110,34,0,21,35.0122190117836,0.31829290010712363
195,195,195,195,195,1-9379,2,1-9379,9,58,18,0,7,18.3374063372612,0.3161621782286414
34,34,34,34,34,MLG51,16,MLG51,16,248,70,0,44,72.12083983421326,0.2908098380411825
123,123,123,123,123,1-11350,11,1-11350,2,100,28,0,10,28.482009053230286,0.28482009053230284
267,267,267,267,267,1-5413,16,1-5413,16,39,10,0,14,10.6748126745224,0.27371314550057435
165,165,165,165,165,MLG59,8,MLG59,5,71,17,0,37,18.783433496952057,0.2645554013655219
77,77,77,77,77,1-9674,7,1-9674,6,144,37,0,13,37.62661176919937,0.2612959150638845
26,26,26,26,26,1-18558,15,1-18558,17,307,78,0,26,79.25322353839874,0.2581538226006474
57,57,57,57,57,MLG75,2,MLG75,9,185,45,0,9,45.43380814790726,0.24558815215085003
5,5,5,5,5,MLG57,16,MLG57,16,629,143,0,183,151.82076567411423,0.24136846689048366
43,43,43,43,43,MLG14,11,MLG14,2,232,54,0,18,54.867616295814514,0.23649834610264878
203,203,203,203,203,1-9938,7,1-9938,6,55,12,0,14,12.6748126745224,0.2304511395367709
54,54,54,54,54,1-1350,6,1-1350,11,195,43,0,40,44.92803621292114,0.2304001857072879
13,13,13,13,13,1-1258,17,1-1258,15,435,97,0,9,97.43380814790726,0.22398576585725807
275,275,275,275,275,1-4020,6,1-4020,11,37,8,0,5,8.241004526615143,0.22272985207067952
404,404,404,404,404,1-20578,8,1-20578,5,19,4,0,3,4.144602715969086,0.2181369850510045
233,233,233,233,233,1-3587,5,1-3587,13,46,9,0,18,9.867616295814514,0.21451339773509814
146,146,146,146,146,MLG78,17,MLG78,15,80,17,0,1,17.04820090532303,0.21310251131653785
7,7,7,7,7,MLG69,5,MLG69,13,576,111,0,220,121.60419917106628,0.21111840133865675
327,327,327,327,327,1-8988,11,1-8988,2,29,6,0,1,6.048200905323029,0.20855865190769063
308,308,308,308,308,1-4700,16,1-4700,8,31,6,0,8,6.3856072425842285,0.20598733040594286
12,12,12,12,12,1-7024,2,1-7024,9,498,91,0,179,99.62796205282211,0.20005614870044602
439,439,439,439,439,1-4682,16,1-4682,16,16,3,0,2,3.096401810646057,0.19352511316537857
45,45,45,45,45,1-3596,9,1-3596,4,223,41,0,42,43.0244380235672,0.19293469965725202
239,239,239,239,239,1-5002,3,1-5002,7,45,8,0,13,8.626611769199371,0.19170248375998603
84,84,84,84,84,1-2382,9,1-2382,4,139,25,0,30,26.446027159690857,0.1902591881992148
81,81,81,81,81,1-7682,6,1-7682,11,141,25,0,24,26.156821727752686,0.1855093739556928
9,9,9,9,9,1-3523,10,1-3523,3,543,92,0,150,99.23013579845428,0.1827442648221994
329,329,329,329,329,1-5980,9,1-5980,4,29,5,0,4,5.192803621292114,0.17906219383765912
161,161,161,161,161,1-8285,6,1-8285,11,72,12,0,6,12.289205431938171,0.17068340877691904
125,125,125,125,125,1-1390,16,1-1390,16,98,16,0,14,16.6748126745224,0.1701511497400245
157,157,157,157,157,1-17733,7,1-17733,6,74,12,0,12,12.578410863876343,0.16997852518751816
4,4,4,4,4,MLG68,15,MLG68,17,642,104,0,76,107.66326880455017,0.16769979564571677
216,216,216,216,216,1-8397,9,1-8397,4,51,8,0,9,8.433808147907257,0.16536878721386777
73,73,73,73,73,MLG12,4,MLG12,12,146,21,0,65,24.133058845996857,0.1652949236027182
166,166,166,166,166,MLG58,4,MLG58,12,71,11,0,15,11.723013579845428,0.1651128673217666
148,148,148,148,148,1-0278,17,1-0278,15,79,12,0,16,12.771214485168457,0.16166094285023364
403,403,403,403,403,72-12171,15,72-12171,17,19,3,0,1,3.0482009053230286,0.16043162659594887
337,337,337,337,337,1-6532,6,1-6532,9,27,4,0,6,4.289205431938171,0.1588594604421545
264,264,264,264,264,1-8928,5,1-8928,13,39,6,0,4,6.192803621292114,0.15878983644338754
393,393,393,393,393,1-6718,6,1-6718,11,20,3,0,3,3.1446027159690857,0.1572301357984543
512,512,512,512,512,1-5799,18,1-5799,14,7,1,0,2,1.0964018106460571,0.15662883009229386
205,205,205,205,205,1-8398,9,1-8398,4,54,8,0,6,8.289205431938171,0.1535038042951513
454,454,454,454,454,1-5913,9,1-5913,4,14,2,0,3,2.1446027159690857,0.15318590828350612
221,221,221,221,221,1-4355,10,1-4355,3,49,7,0,10,7.482009053230286,0.15269406231082217
260,260,260,260,260,1-4760,15,1-4760,17,40,6,0,2,6.096401810646057,0.15241004526615143
71,71,71,71,71,1-4417,14,1-4417,18,151,21,0,38,22.831634402275085,0.15120287683625885
122,122,122,122,122,1-9404,7,1-9404,6,100,14,0,21,15.0122190117836,0.150122190117836
331,331,331,331,331,1-5981,11,1-5981,2,28,4,0,4,4.192803621292114,0.14974298647471837
368,368,368,368,368,1-6858,8,1-6858,5,23,3,0,9,3.433808147907257,0.1492960064307503
151,151,151,151,151,MLG38,9,MLG38,4,77,11,0,10,11.482009053230286,0.1491170006913024
256,256,256,256,256,1-0296,10,1-0296,3,41,5,0,23,6.108620822429657,0.148990751766577
22,22,22,22,22,MLG50,17,MLG50,15,319,43,0,89,47.28988057374954,0.1482441397296224
386,386,386,386,386,1-4855,6,1-4855,11,22,3,0,5,3.241004526615143,0.1473183875734156
449,449,449,449,449,MLG43,9,MLG43,4,14,2,0,1,2.0482009053230286,0.14630006466593062
430,430,430,430,430,1-8023,14,1-8023,18,16,2,0,7,2.3374063372612,0.146087896078825
27,27,27,27,27,1-1608,6,1-1608,11,307,41,0,79,44.80787152051926,0.14595397889419953
286,286,286,286,286,1-1770,17,1-1770,11,35,5,0,2,5.096401810646057,0.14561148030417306
320,320,320,320,320,1-18203,2,1-18203,9,29,3,0,24,4.1568217277526855,0.14333868026733398
127,127,127,127,127,1-5891,15,1-5891,17,96,13,0,15,13.723013579845428,0.14294805812338987
283,283,283,283,283,1-6909,9,1-6909,4,36,5,0,3,5.144602715969086,0.14290563099914128
243,243,243,243,243,1-19166,5,1-19166,13,45,6,0,7,6.3374063372612,0.14083125193913779
171,171,171,171,171,1-9645,2,1-9645,9,69,7,0,56,9.6992506980896,0.14056885069695071
176,176,176,176,176,1-6561,18,1-6561,14,65,8,0,23,9.108620822429657,0.14013262803737933
46,46,46,46,46,1-2282,9,1-2282,4,219,29,0,34,30.63883078098297,0.13990333689946563
154,154,154,154,154,1-9417,7,1-9417,6,76,10,0,11,10.530209958553314,0.138555394191491
319,319,319,319,319,1-18935,11,1-18935,2,30,4,0,3,4.144602715969086,0.1381534238656362
315,315,315,315,315,1-9614,11,1-9614,2,30,4,0,2,4.096401810646057,0.13654672702153522
160,160,160,160,160,1-5197,7,1-5197,6,72,9,0,14,9.6748126745224,0.13437239825725555
441,441,441,441,441,1-9997,3,1-9997,7,16,2,0,3,2.1446027159690857,0.13403766974806786
75,75,75,75,75,1-2545,11,1-2545,2,145,18,0,23,19.108620822429657,0.1317835918788252
436,436,436,436,436,1-9115,4,1-9115,12,16,2,0,2,2.096401810646057,0.13102511316537857
503,503,503,503,503,1-5531,12,1-5531,1,8,1,0,1,1.0482009053230286,0.13102511316537857
94,94,94,94,94,1-1005,3,1-1005,7,125,15,0,28,16.3496253490448,0.1307970027923584
357,357,357,357,357,1-9650,16,1-9650,16,25,3,0,5,3.241004526615143,0.1296401810646057
426,426,426,426,426,1-3639,8,1-3639,5,17,2,0,3,2.1446027159690857,0.12615310093935797
423,423,423,423,423,MLG46,18,MLG46,14,17,2,0,3,2.1446027159690857,0.12615310093935797
420,420,420,420,420,1-8678,10,1-8678,3,17,2,0,3,2.1446027159690857,0.12615310093935797
214,214,214,214,214,1-8450,4,1-8450,12,52,6,0,11,6.530209958553314,0.1255809607414099
51,51,51,51,51,MLG65,9,MLG65,4,201,24,0,23,25.108620822429657,0.1249185115543764
242,242,242,242,242,1-3206,5,1-3206,13,45,5,0,12,5.578410863876343,0.12396468586391873
133,133,133,133,133,MLG53,17,MLG53,15,91,11,0,3,11.144602715969086,0.12246816171394599
143,143,143,143,143,1-9286,6,1-9286,11,81,9,0,18,9.867616295814514,0.12182242340511745
412,412,412,412,412,1-0055,16,1-0055,16,18,2,0,4,2.1928036212921143,0.12182242340511745
38,38,38,38,38,1-4649,5,1-4649,13,244,27,0,54,29.602848887443542,0.1213231511780473
422,422,422,422,422,1-7536,2,1-7536,9,17,2,0,1,2.0482009053230286,0.12048240619547226
351,351,351,351,351,1-2324,6,1-2324,11,25,3,0,0,3.0,0.12
292,292,292,292,292,1-9740,9,1-9740,4,34,4,0,1,4.048200905323029,0.11906473250950084
10,10,10,10,10,MLG62,9,MLG62,4,525,56,0,103,60.96469324827194,0.1161232252348037
67,67,67,67,67,1-3516,1,1-3516,8,156,17,0,21,18.0122190117836,0.1154629423832282
338,338,338,338,338,1-3589,12,1-3589,1,27,3,0,2,3.096401810646057,0.11468154854244655
63,63,63,63,63,1-3052,12,1-3052,1,166,16,0,60,18.892054319381714,0.1138075561408537
66,66,66,66,66,MLG48,7,MLG48,6,159,13,0,105,18.061095058918,0.11359179282338365
304,304,304,304,304,1-1592,12,1-1592,1,32,3,0,13,3.6266117691993713,0.11333161778748035
117,117,117,117,117,1-7019,2,1-7019,9,107,10,0,40,11.928036212921143,0.11147697395253404
408,408,408,408,408,1-9495,15,1-9495,17,18,2,0,0,2.0,0.1111111111111111
181,181,181,181,181,MLG84,2,MLG84,6,63,7,0,0,7.0,0.1111111111111111
20,20,20,20,20,1-8067,7,1-8067,6,322,31,0,95,35.579086005687714,0.11049405591828483
401,401,401,401,401,1-8100,2,1-8100,9,19,2,0,2,2.096401810646057,0.11033693740242406
491,491,491,491,491,1-5555,2,1-5555,9,10,1,0,2,1.0964018106460571,0.10964018106460571
257,257,257,257,257,1-19286,8,1-19286,5,40,4,0,8,4.3856072425842285,0.10964018106460571
387,387,387,387,387,1-9436,9,1-9436,4,21,2,0,6,2.2892054319381714,0.10900978247324626
