Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
15,15,15,1-8093,6,2,1-8093,4,1,0,0,1.0,0.25
280,280,280,1-7608,6,2,1-7608,4,1,0,0,1.0,0.25
119,119,119,1-5929,1,12,1-5929,4,1,0,0,1.0,0.25
40,40,40,1-7722,15,7,1-7722,60,5,0,58,14.894435107707977,0.24824058512846628
450,450,450,1-2297,1,12,1-2297,25,5,0,7,6.194155961275101,0.24776623845100404
67,67,67,1-7481,7,15,1-7481,33,8,0,1,8.170593708753586,0.24759374875010867
357,357,357,1-4760,18,17,1-4760,40,8,0,11,9.876530796289444,0.2469132699072361
225,225,225,1-9650,8,10,1-9650,25,6,0,1,6.170593708753586,0.24682374835014342
345,345,345,1-1131,18,17,1-1131,138,28,0,34,33.80018609762192,0.24492888476537622
426,426,426,1-4355,6,2,1-4355,49,12,0,0,12.0,0.24489795918367346
430,430,430,1-3141,10,18,1-3141,136,29,0,25,33.264842718839645,0.24459443175617387
299,299,299,MLG54,18,17,MLG54,595,132,0,76,144.96512186527252,0.24363886027776893
353,353,353,MLG50,12,16,MLG50,319,56,0,126,77.49480730295181,0.24293043041677684
472,472,472,1-9518,8,10,1-9518,22,5,0,2,5.341187417507172,0.242781246250326
400,400,400,1-18709,20,6,1-18709,33,8,0,0,8.0,0.24242424242424243
302,302,302,MLG51,12,16,MLG51,248,49,0,64,59.91799736022949,0.2416048280654415
74,74,74,1-8124,18,17,1-8124,18,4,0,2,4.341187417507172,0.24117707875039843
87,87,87,MLG35,13,19,MLG35,49,11,0,4,11.682374835014343,0.2384158129594764
354,354,354,1-9417,15,7,1-9417,76,14,0,24,18.09424901008606,0.23808222381692185
161,161,161,MLG41,13,19,MLG41,66,15,0,4,15.682374835014343,0.23761173992445975
540,540,540,1-5413,1,12,1-5413,39,8,0,7,9.1941559612751,0.2357475887506436
157,157,157,1-6061,17,11,1-6061,40,7,0,14,9.388311922550201,0.23470779806375502
135,135,135,1-9712,15,7,1-9712,10,2,0,2,2.3411874175071716,0.23411874175071717
277,277,277,1-4051,1,12,1-4051,5,1,0,1,1.1705937087535858,0.23411874175071717
429,429,429,1-6693,17,11,1-6693,98,17,0,33,22.629592388868332,0.23091420804967686
179,179,179,1-4052,1,23,1-4052,13,3,0,0,3.0,0.23076923076923078
537,537,537,1-4494,19,14,1-4494,16,3,0,4,3.6823748350143433,0.23014842718839645
286,286,286,1-3587,12,16,1-3587,46,9,0,9,10.535343378782272,0.22902920388657114
214,214,214,1-0053,17,11,1-0053,142,28,0,26,32.43543642759323,0.22841856639150163
514,514,514,1-11206,20,10,1-11206,14,3,0,1,3.170593708753586,0.2264709791966847
384,384,384,1-9270,10,18,1-9270,128,23,0,35,28.970779806375504,0.22633421723730862
43,43,43,1-8705,13,19,1-8705,48,10,0,5,10.852968543767929,0.2261035113284985
240,240,240,MLG33,2,8,MLG33,20,4,0,3,4.5117811262607574,0.22558905631303788
58,58,58,1-17733,15,7,1-17733,74,12,0,27,16.606030136346817,0.22440581265333537
309,309,309,1-3516,11,1,1-3516,156,35,0,0,35.0,0.22435897435897437
