Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,11,11,MLG52,125,58,0,45,72.91591185331345,0.5833272948265076
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,11,11,1-3206,45,17,0,25,25.286617696285248,0.5619248376952277
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,13,2,1-5002,45,21,0,9,23.98318237066269,0.5329596082369487
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,19,10,1-6980,128,7,0,162,60.697282671928406,0.47419752087444067
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,13,2,MLG45,70,28,0,15,32.97197061777115,0.471028151682445
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,18,16,1-1390,98,42,0,12,45.97757649421692,0.46915894381854
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,1,14,MLG32,52,17,0,21,23.960758864879608,0.46078382432460785
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,1,14,1-9379,58,18,0,19,24.29782944917679,0.4189280939513239
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,18,16,1-9630,33,13,0,1,13.33146470785141,0.4039837790258003
365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,MLG48,2,3,MLG48,159,23,0,123,63.77015906572342,0.40107018280329193
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,1-9768,6,13,1-9768,241,85,0,32,95.60687065124512,0.3967090068516395
157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,1-6061,13,2,1-6061,40,14,0,5,15.65732353925705,0.3914330884814262
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,15,9,MLG75,185,64,0,25,72.28661769628525,0.3907384740339743
462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,1-1183,2,3,1-1183,45,8,0,26,16.618082404136658,0.3692907200919257
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,7,7,MLG44,59,18,0,11,21.64611178636551,0.36688325061636456
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,7,7,MLG40,51,15,0,11,18.64611178636551,0.3656100350267747
335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,1-8910,4,8,1-8910,137,6,0,132,49.75334143638611,0.3631630761780008
