Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,17,15,1-1989,46,20,0,4,21.598411679267883,0.4695306886797366
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,1-4494,1,6,1-4494,16,5,0,5,6.998014599084854,0.4373759124428034
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,4,12,MLG29,164,51,0,48,70.1809401512146,0.42793256189765
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,7,10,1-1390,98,20,0,50,39.98014599084854,0.4079606733760055
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,17,15,1-8627,25,9,0,3,10.198808759450912,0.4079523503780365
311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,13,6,1-20578,19,5,0,6,7.397617518901825,0.3893482904685171
426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,13,21,1-4355,49,2,0,40,17.984116792678833,0.3670227916873231
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,2,7,1-9630,33,10,0,5,11.998014599084854,0.3635761999722683
479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,21,3,1-9286,81,16,0,33,29.186896353960037,0.36033205375259303
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,19,20,1-9491,80,23,0,11,27.39563211798668,0.3424454014748335
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,20,19,MLG56,511,86,0,222,174.71184819936752,0.3419018555760617
462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,1-1183,14,2,1-1183,45,4,0,28,15.188881754875183,0.337530705663893
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,7,2,72-12171,19,6,0,1,6.399602919816971,0.33682120630615636
478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,22,2,1-9394,117,32,0,18,39.192852556705475,0.33498164578380746
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,15,5,1-5002,45,13,0,5,14.998014599084854,0.33328921331299677
389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,1-0278,15,5,1-0278,79,20,0,15,25.994043797254562,0.3290385290791717
292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,1-9997,3,9,1-9997,16,4,0,3,5.1988087594509125,0.32492554746568203
540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,1-5413,2,7,1-5413,39,11,0,4,12.598411679267883,0.3230361969043047
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,2,7,MLG32,52,13,0,9,16.596426278352737,0.3191620438144757
320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,MLG13,11,4,MLG13,140,36,0,20,43.99205839633942,0.31422898854528153
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,2,7,MLG75,185,48,0,24,57.5904700756073,0.31129983824652596
189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,1-9156,14,2,1-9156,268,69,0,35,82.98610219359398,0.3096496350507238
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,12,2,1-0296,41,10,0,6,12.397617518901825,0.30238091509516646
250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-9333,9,20,1-9333,102,29,0,4,30.598411679267883,0.2999844282281165
192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,1-9770,9,13,1-9770,50,9,0,15,14.994043797254562,0.2998808759450913
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1-9606,4,12,1-9606,16,2,0,7,4.797220438718796,0.29982627741992474
563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,1-21192,3,9,1-21192,4,0,0,3,1.1988087594509125,0.2997021898627281
214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,1-0053,3,9,1-0053,142,30,0,31,42.387690514326096,0.2985048627769443
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,5,17,MLG59,71,10,0,28,21.188881754875183,0.2984349542940167
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,21,3,1-3535,315,63,0,76,93.36982190608978,0.29641213303520564
485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,1-5980,4,12,1-5980,29,3,0,14,8.594440877437592,0.2963600302564687
487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,1-6900,12,14,1-6900,67,13,0,17,19.793249636888504,0.29542163637147023
461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,1-9651,10,16,1-9651,38,8,0,8,11.196823358535767,0.29465324627725703
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,9,13,MLG68,642,142,0,118,189.15314453840256,0.294631066259194
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,22,18,1-6878,167,36,0,33,49.18689635396004,0.2945323134967667
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,2,7,MLG45,70,18,0,6,20.397617518901825,0.2913945359843118
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,2,13,MLG58,71,15,0,14,20.59444087743759,0.2900625475695435
435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,1-9610,16,11,1-9610,49,13,0,3,14.198808759450912,0.28977160733573293
497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,1-8493,20,1,1-8493,38,11,0,0,11.0,0.2894736842105263
414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,1-8285,17,15,1-8285,72,14,0,17,20.793249636888504,0.2887951338456737
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,16,11,MLG51,248,40,0,78,71.16902774572372,0.2869718860714666
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1-5775,9,13,1-5775,244,35,0,87,69.76545402407646,0.2859239919019527
187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,1-7321,10,16,1-7321,7,2,0,0,2.0,0.2857142857142857
429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-6693,4,12,1-6693,98,24,0,10,27.99602919816971,0.28567376732826233
471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,1-9794,9,13,1-9794,46,11,0,5,12.998014599084854,0.28256553476271423
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,21,3,MLG40,51,8,0,16,14.393646717071533,0.28222836700140264
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,1,6,MLG41,66,9,0,23,18.19086715579033,0.2756191993301565
527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,1-5531,22,18,1-5531,8,1,0,3,2.1988087594509125,0.27485109493136406
334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,1-20641,4,12,1-20641,16,2,0,6,4.397617518901825,0.27485109493136406
438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,MLG10,16,11,MLG10,60,8,0,21,16.391661316156387,0.2731943552692731
206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,14,2,1-9752,22,6,0,0,6.0,0.2727272727272727
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,13,21,1-11350,100,4,0,58,27.176969349384308,0.27176969349384306
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,20,19,1-3447,110,17,0,32,29.787293434143066,0.27079357667402787
419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,1-6692,21,3,1-6692,71,12,0,18,19.192852556705475,0.27032186699585176
365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,MLG48,10,16,MLG48,159,13,0,75,42.97021898627281,0.2702529495992001
