,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
0,MLG40,3,MLG40,3,51,6,1,16,1018.4450368881226,19.96951052721809
1,MLG45,11,MLG45,5,70,14,1,12,1023.333777666092,14.619053966658456
2,1-3523,3,1-3523,3,543,43,1,156,1164.339109659195,2.1442709201826795
3,1-10468,11,1-10468,5,549,36,1,164,1163.5616281032562,2.1194200876197744
4,1-18028,9,1-18028,13,309,69,0,165,197.33944290876389,0.6386389738147699
5,1-3516,21,1-3516,8,156,17,0,100,94.781480550766,0.607573593274141
6,1-5413,17,1-5413,16,39,5,0,24,23.66755533218384,0.606860393132919
7,1-8042,12,1-8042,19,52,9,0,28,30.77881455421448,0.5919002798887399
8,1-8074,7,1-8074,10,145,39,0,53,80.22418469190598,0.553270239254524
9,1-9496,10,1-9496,5,39,13,0,11,21.55596286058426,0.5527169964252374
10,1-4649,9,1-4649,13,244,65,0,87,132.6698880791664,0.5437290495047804
11,MLG68,4,MLG68,17,642,105,0,292,332.1219232082367,0.5173238679256024
12,1-2423,4,1-2423,12,79,35,0,7,40.44470363855362,0.511958273905742
13,1-1580,2,1-1580,2,400,48,0,201,204.34077590703964,0.5108519397675991
14,1-8084,5,1-8084,7,82,27,0,19,41.77848130464554,0.5094936744468969
15,1-9156,7,1-9156,10,268,56,0,101,134.55929535627365,0.5020869229711703
16,1-1224,17,1-1224,16,151,11,0,82,74.78081405162811,0.495237179149855
17,1-1350,8,1-1350,11,195,74,0,27,95.00099974870682,0.4871846140959324
18,1-7845,22,1-7845,20,36,17,0,0,17.0,0.4722222222222222
19,MLG52,6,MLG52,12,125,22,0,46,57.77948105335236,0.4622358484268188
20,1-3587,9,1-3587,13,46,9,0,15,20.6672220826149,0.4492874365785848
21,MLG29,5,MLG29,7,164,41,0,42,73.66822183132172,0.4491964745812299
22,1-1191,21,1-1191,10,53,15,0,11,23.55596286058426,0.444452129444986
23,1-8067,10,1-8067,6,322,70,0,92,141.5589621067047,0.4396241059214432
24,1-8172,7,1-8172,10,40,4,0,17,17.22285169363022,0.4305712923407555
25,MLG57,17,MLG57,16,629,99,0,219,269.3414424061775,0.4282057907888354
26,1-4700,21,1-4700,8,31,7,0,8,13.22251844406128,0.4265328530342348
27,1-8066,4,1-8066,17,86,32,0,6,36.66688883304596,0.4263591724772786
28,1-3551,10,1-3551,6,6,1,0,2,2.55562961101532,0.4259382685025533
29,1-6035,19,1-6035,14,23,2,0,10,9.7781480550766,0.4251368719598521
30,1-3535,7,1-3535,10,315,37,0,123,132.67122107744217,0.4211784796109275
31,1-8529,7,1-8529,10,56,1,0,29,23.556629359722137,0.4206540957093239
32,MLG10,13,MLG10,20,60,12,0,17,25.22285169363022,0.4203808615605036
33,1-4855,17,1-4855,11,22,3,0,8,9.22251844406128,0.4192053838209672
34,MLG69,9,MLG69,13,576,144,0,125,241.2268506884575,0.418796615778572
35,72-12171,12,72-12171,17,19,4,0,5,7.8890740275383,0.4152144225020158
36,1-6611,21,1-6611,8,89,4,0,42,36.66822183132172,0.4120024924867608
37,1-9610,7,1-9610,10,49,10,0,13,20.11159247159958,0.4104406626857056
38,1-19166,9,1-19166,13,45,13,0,7,18.44470363855362,0.4098823030789693
39,1-4494,8,1-4494,12,16,5,0,2,6.55562961101532,0.4097268506884575
40,1-5161,13,1-5161,20,12,1,0,5,4.8890740275383,0.4074228356281916
41,MLG44,12,MLG44,19,59,13,0,14,23.88940727710724,0.4049052080865634
42,1-4682,17,1-4682,16,16,1,0,7,6.444703638553619,0.4027939774096012
43,1-5002,5,1-5002,7,45,8,0,13,18.11159247159958,0.4024798327022129
44,MLG48,10,MLG48,6,159,41,0,29,63.55662935972214,0.3997272286774977
45,1-8418,13,1-8418,20,46,2,0,21,18.33411091566085,0.398567628601323
46,1-10060,13,1-10060,20,36,5,0,12,14.33377766609192,0.3981604907247755
47,1-18234,13,1-18234,20,43,0,0,22,17.111925721168518,0.3979517609574074
48,1-9770,7,1-9770,10,50,16,0,5,19.8890740275383,0.397781480550766
49,1-1770,8,1-1770,11,35,10,0,5,13.8890740275383,0.3968306865010942
50,1-9997,5,1-9997,7,16,4,0,3,6.33344441652298,0.3958402760326862
51,MLG59,11,MLG59,5,71,14,0,18,28.00066649913788,0.3943755844948997
52,1-6692,7,1-6692,12,71,10,0,23,27.88974052667617,0.392813246854594
53,1-0296,3,1-0296,3,41,9,0,9,16.00033324956894,0.3902520304772912
54,1-9455,13,1-9455,20,2,0,0,1,0.7778148055076599,0.3889074027538299
55,1-19568,15,1-19568,1,2,0,0,1,0.7778148055076599,0.3889074027538299
56,1-2034,21,1-2034,8,16,0,0,8,6.222518444061279,0.3889074027538299
57,1-8503,13,1-8503,20,16,0,0,8,6.222518444061279,0.3889074027538299
58,1-19567,7,1-19567,10,2,0,0,1,0.7778148055076599,0.3889074027538299
59,1-21192,15,1-21192,1,4,0,0,2,1.5556296110153198,0.3889074027538299
60,1-0205,15,1-0205,1,34,0,0,17,13.22285169363022,0.3889074027538299
61,1-7839,21,1-7839,8,24,3,0,8,9.22251844406128,0.3842716018358866
62,1-1183,7,1-1183,10,45,4,0,17,17.22285169363022,0.3827300376362271
63,1-3108,9,1-3108,13,18,3,0,5,6.8890740275383,0.3827263348632388
64,1-0272,21,1-0272,8,111,9,0,43,42.446036636829376,0.3823967264579223
65,1-9794,7,1-9794,10,46,9,0,11,17.55596286058426,0.3816513665344404
66,1-5214,21,1-5214,8,40,2,0,17,15.22285169363022,0.3805712923407555
67,1-3068,21,1-3068,8,180,7,0,79,68.44736963510513,0.3802631646394729
68,1-1204,7,1-1204,10,39,3,0,15,14.6672220826149,0.3760826175029461
69,1-18615,13,1-18615,20,22,2,0,8,8.22251844406128,0.3737508383664218
70,1-18371,7,1-18371,10,120,30,0,19,44.77848130464554,0.3731540108720461
71,1-8646,11,1-8646,5,20,2,0,7,7.444703638553619,0.3722351819276809
72,1-5799,19,1-5799,14,7,1,0,2,2.55562961101532,0.36508994443076
73,1-9963,19,1-9963,14,116,8,0,44,42.22385144233704,0.3639987193304917
74,1-1317,10,1-1317,6,414,107,0,56,150.55762910842896,0.3636657707933066
75,1-3141,19,1-3141,14,136,2,0,61,49.446703135967255,0.363578699529171
76,1-3206,9,1-3206,13,45,14,0,3,16.33344441652298,0.3629654314782884
77,1-9379,22,1-9379,9,58,21,0,0,21.0,0.3620689655172414
78,1-6693,5,1-6693,7,98,5,0,39,35.33477741479874,0.360558953212232
79,1-19286,11,1-19286,5,40,5,0,12,14.33377766609192,0.3583444416522979
80,1-2335,7,1-2335,10,145,13,0,50,51.890740275383,0.3578671743129862
81,P-16616,18,P-16616,17,28,10,0,0,10.0,0.3571428571428571
82,1-9491,13,1-9491,20,80,9,0,25,28.44537013769149,0.3555671267211437
83,1-7530,9,1-7530,13,25,5,0,5,8.8890740275383,0.3555629611015319
84,MLG55,13,MLG55,20,92,7,0,33,32.66788858175278,0.3550857454538345
85,1-8188,13,1-8188,20,140,10,0,51,49.668555080890656,0.3547753934349332
86,1-9270,19,1-9270,14,128,14,0,40,45.1125922203064,0.3524421267211437
87,1-1131,6,1-1131,12,138,35,0,17,48.22285169363022,0.3494409543016682
88,1-6538,8,1-6538,11,44,13,0,3,15.33344441652298,0.348487373102795
89,MLG32,12,MLG32,19,52,15,0,4,18.11125922203064,0.3482934465775123
90,1-3534,21,1-3534,8,279,23,0,95,96.89240652322768,0.3472846111943645
91,1-18735,11,1-18735,5,27,0,0,12,9.33377766609192,0.3456954691145155
92,1-0053,5,1-0053,7,142,17,0,41,48.890407025814056,0.3442986410268595
93,1-4417,23,1-4417,18,151,8,0,56,51.55762910842896,0.3414412523737017
94,1-8573,11,1-8573,5,184,2,0,78,62.66955482959747,0.3405954066825949
95,1-18613,12,1-18613,19,25,3,0,7,8.44470363855362,0.3377881455421447
96,MLG84,10,MLG84,6,63,11,0,13,21.11159247159958,0.3351046424063425
97,1-6561,19,1-6561,14,65,7,0,19,21.77848130464554,0.3350535585330083
98,1-1005,5,1-1005,7,125,9,0,42,41.66822183132172,0.3333457746505737
99,1-3265,3,1-3265,3,19,4,0,3,6.33344441652298,0.3333391798169989
100,MLG75,22,MLG75,9,185,61,0,0,61.0,0.3297297297297297
101,1-5803,7,1-5803,10,15,1,0,5,4.8890740275383,0.3259382685025533
102,1-8450,6,1-8450,12,52,6,0,14,16.88940727710724,0.3247962937905238
103,1-9995,17,1-9995,16,24,0,0,10,7.778148055076599,0.3240895022948583
104,1-9277,15,1-9277,1,48,0,0,20,15.556296110153198,0.3240895022948583
105,1-9938,10,1-9938,6,55,6,0,15,17.6672220826149,0.3212222196839072
106,1-17907,21,1-17907,8,119,4,0,44,38.22385144233704,0.321208835649891
107,1-6734,19,1-6734,14,44,4,0,13,14.11159247159958,0.3207180107181722
108,1-7496,21,1-7496,8,246,12,0,86,78.89207327365875,0.3206994848522713
109,1-8590,3,1-8590,3,24,3,0,6,7.666888833045959,0.319453701376915
110,1-1850,13,1-1850,20,30,1,0,11,9.55596286058426,0.3185320953528086
111,1-5654,12,1-5654,19,15,4,0,1,4.77781480550766,0.318520987033844
112,1-9518,13,1-9518,20,22,0,0,9,7.000333249568939,0.3181969658894972
113,MLG39,13,MLG39,20,23,1,0,8,7.222518444061279,0.3140225410461426
114,1-2701,12,1-2701,19,61,16,0,4,19.11125922203064,0.313299331508699
