,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,1-9379,21,2,1-9379,58,27,0,5,28.034441962838173,0.4833524476351409
1,MLG14,19,9,MLG14,232,92,0,29,97.9997633844614,0.4224127732088854
2,MLG50,18,4,MLG50,319,108,0,94,127.44750890135764,0.3995219714776102
3,MLG51,6,7,MLG51,248,91,0,29,96.9997633844614,0.3911280781631508
4,MLG59,21,2,MLG59,71,26,0,6,27.241330355405807,0.3836807092310677
5,MLG60,5,21,MLG60,47,18,0,0,18.0,0.3829787234042553
6,MLG65,18,4,MLG65,201,60,0,57,71.79263837635517,0.3571773053550008
7,1-4531,13,5,1-4531,94,26,0,36,33.447982132434845,0.3558295971535621
8,1-5002,8,3,1-5002,45,11,0,20,15.137767851352692,0.3363948411411709
9,1-2382,21,2,1-2382,139,44,0,12,46.482660710811615,0.3344076310130332
10,1-1989,6,7,1-1989,46,9,0,30,15.206651777029036,0.330579386457153
11,1-3523,7,11,1-3523,543,155,0,101,175.8957276493311,0.3239332000908491
12,1-2545,7,11,1-2545,145,44,0,13,46.68954910337925,0.3219968903681328
13,1-1390,21,2,1-1390,98,28,0,15,31.10332588851452,0.3173808764134134
14,1-3596,17,12,1-3596,223,56,0,64,69.24085712432861,0.3104971171494556
15,1-7682,17,12,1-7682,141,37,0,32,43.62042856216431,0.3093647415756334
16,MLG44,20,14,MLG44,59,17,0,4,17.82755357027054,0.3021619249198396
17,1-7866,7,11,1-7866,318,57,0,188,95.8950178027153,0.3015566597569664
18,1-6296,10,10,1-6296,254,59,0,83,76.17173658311367,0.2998887267051719
19,1-7991,5,4,1-7991,46,12,0,7,13.448218747973442,0.2923525814776835
20,1-5413,21,2,1-5413,39,11,0,1,11.206888392567636,0.2873561126299394
21,1-1580,7,11,1-1580,400,64,0,245,114.68765617907049,0.2867191404476761
22,1-1833,18,4,1-1833,124,28,0,34,35.034205347299576,0.2825339140911256
23,1-7024,21,2,1-7024,498,101,0,184,139.06746423244476,0.2792519362097284
24,1-10060,9,2,1-10060,36,10,0,0,10.0,0.2777777777777778
25,MLG40,5,21,MLG40,51,14,0,0,14.0,0.2745098039215686
26,P-16616,20,17,P-16616,28,6,0,8,7.655107140541077,0.2733966835907527
27,1-1608,14,6,1-1608,307,57,0,130,83.8954910337925,0.2732752150937866
28,MLG62,17,12,MLG62,525,137,0,29,142.9997633844614,0.2723805016846884
29,1-1462,13,5,1-1462,192,40,0,58,51.999526768922806,0.2708308685881396
30,1-1131,19,9,1-1131,138,32,0,22,36.55154463648796,0.2648662654817968
31,1-8285,14,6,1-8285,72,15,0,19,18.930879458785057,0.2629288813720147
32,1-3312,10,10,1-3312,36,9,0,2,9.41377678513527,0.2614937995870908
33,1-1224,9,8,1-1224,151,28,0,55,39.3788615912199,0.2607871628557609
34,1-6181,10,10,1-6181,659,124,0,222,169.92922315001488,0.2578592157056371
35,1-2103,14,6,1-2103,26,5,0,8,6.655107140541077,0.2559656592515799
36,MLG64,20,14,MLG64,245,60,0,12,62.482660710811615,0.2550312682073943
37,MLG35,19,9,MLG35,49,10,0,12,12.482660710811617,0.2547481777716656
38,1-3265,7,11,1-3265,19,4,0,4,4.827553570270538,0.2540817668563441
39,1-8532,21,2,1-8532,4,1,0,0,1.0,0.25
40,1-9806,5,21,1-9806,8,2,0,0,2.0,0.25
41,1-7608,5,21,1-7608,4,1,0,0,1.0,0.25
42,1-9645,19,9,1-9645,69,11,0,30,17.206651777029037,0.2493717648844788
43,MLG46,20,14,MLG46,17,4,0,1,4.206888392567635,0.2474640230922138
44,1-7140,19,9,1-7140,397,74,0,115,97.79216514527798,0.2463278719024634
45,1-7005,13,5,1-7005,285,45,0,120,69.82660710811615,0.2450056389758461
46,1-2294,7,11,1-2294,75,16,0,11,18.27577231824398,0.243676964243253
47,1-9938,9,8,1-9938,55,8,0,26,13.3790982067585,0.2432563310319727
48,1-4051,1,22,1-4051,5,1,0,1,1.2068883925676346,0.2413776785135269
49,1-9277,13,5,1-9277,48,6,0,27,11.585986599326134,0.2413747208192944
50,MLG68,16,13,MLG68,642,93,0,296,154.23896420001984,0.2402476077881929
51,1-2324,21,2,1-2324,25,6,0,0,6.0,0.24
52,1-1350,14,6,1-1350,195,32,0,70,46.48218747973442,0.2383701922037662
53,1-5626,20,14,1-5626,125,28,0,8,29.65510714054108,0.2372408571243286
54,1-18615,6,2,1-18615,22,5,0,1,5.206888392567635,0.2366767451167106
55,1-4842,10,10,1-4842,6,1,0,2,1.4137767851352692,0.2356294641892115
56,1-3175,3,17,1-3175,6,1,0,2,1.4137767851352692,0.2356294641892115
57,1-2423,10,10,1-2423,79,11,0,36,18.447982132434845,0.2335187611700613
58,1-20578,7,11,1-20578,19,4,0,2,4.413776785135269,0.2323040413229089
59,MLG52,8,3,MLG52,125,17,0,58,28.99952676892281,0.2319962141513824
60,MLG56,14,6,MLG56,511,101,0,84,118.3786249756813,0.2316607142381238
61,1-3509,10,10,1-3509,35,6,0,10,8.068883925676346,0.2305395407336098
62,1-3564,7,11,1-3564,41,8,0,7,9.448218747973442,0.2304443597066693
63,1-10468,9,8,1-10468,549,93,0,161,126.30903120338915,0.2300710950881405
64,MLG45,5,21,MLG45,70,16,0,0,16.0,0.2285714285714285
65,1-9283,16,13,1-9283,235,26,0,133,53.5161562114954,0.2277283243042357
66,1-3104,18,4,1-3104,16,3,0,3,3.620665177702904,0.2262915736064314
