Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
373,373,373,373,373,373,373,373,1-6918,5,5,1-6918,43,44,0,5,45.631585508584976,1.0611996629903482
374,374,374,374,374,374,374,374,1-6919,20,4,1-6919,43,43,0,3,43.978951305150986,1.022766309422116
0,0,0,0,0,0,0,0,72-0103,11,7,72-0103,71,40,0,42,53.7053182721138,0.7564129334100536
7,7,7,7,7,7,7,7,1-8767,16,8,1-8767,48,34,0,2,34.65263420343399,0.7219298792382082
319,319,319,319,319,319,319,319,1-3584,5,5,1-3584,26,14,0,11,17.589488118886948,0.6765187738033441
464,464,464,464,464,464,464,464,1-10060,15,2,1-10060,36,24,0,1,24.326317101716995,0.6757310306032499
457,457,457,457,457,457,457,457,1-8503,12,10,1-8503,16,10,0,1,10.326317101716995,0.6453948188573122
426,426,426,426,426,426,426,426,1-4355,16,8,1-4355,49,27,0,12,30.915805220603943,0.6309348004204887
333,333,333,333,333,333,333,333,1-11329,2,15,1-11329,14,8,0,2,8.65263420343399,0.618045300245285
402,402,402,402,402,402,402,402,1-5744,16,8,1-5744,18,10,0,3,10.978951305150986,0.6099417391750548
116,116,116,116,116,116,116,116,1-20047,16,8,1-20047,20,11,0,2,11.65263420343399,0.5826317101716996
516,516,516,516,516,516,516,516,1-5036,14,13,1-5036,14,7,0,3,7.978951305150986,0.5699250932250705
341,341,341,341,341,341,341,341,1-0031,8,6,1-0031,13,7,0,1,7.326317101716995,0.5635628539782304
551,551,551,551,551,551,551,551,1-9838,2,15,1-9838,3,1,0,2,1.6526342034339905,0.5508780678113302
364,364,364,364,364,364,364,364,1-7682,12,10,1-7682,141,63,0,38,75.40004986524582,0.5347521267038711
209,209,209,209,209,209,209,209,1-9938,8,6,1-9938,55,27,0,6,28.95790261030197,0.5265073201873086
484,484,484,484,484,484,484,484,MLG31,18,9,MLG31,33,11,0,19,17.20002493262291,0.5212128767461488
230,230,230,230,230,230,230,230,1-3089,5,5,1-3089,16,7,0,4,8.305268406867981,0.5190792754292488
286,286,286,286,286,286,286,286,1-3587,8,6,1-3587,46,21,0,7,23.284219712018967,0.5061786893917166
454,454,454,454,454,454,454,454,1-0272,13,11,1-0272,111,40,0,48,55.66322088241577,0.501470458400142
