Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
455,455,455,455,455,455,455,455,455,455,455,455,1-18377,8,1-18377,14,14,2,0,4,3.261311888694763,0.23295084919248307
512,512,512,512,512,512,512,512,512,512,512,512,1-5799,16,1-5799,21,7,1,0,2,1.6306559443473816,0.23295084919248307
76,76,76,76,76,76,76,76,76,76,76,76,1-2335,12,1-2335,17,145,29,0,15,33.72991958260536,0.23262013505245077
490,490,490,490,490,490,490,490,490,490,490,490,1-8634,9,1-8634,5,10,2,0,1,2.315327972173691,0.23153279721736908
369,369,369,369,369,369,369,369,369,369,369,369,MLG39,5,MLG39,10,23,4,0,4,5.261311888694763,0.2287526908128158
462,462,462,462,462,462,462,462,462,462,462,462,1-4052,16,1-4052,20,13,2,0,3,2.9459839165210724,0.22661414742469788
466,466,466,466,466,466,466,466,466,466,466,466,1-9416,19,1-9416,7,13,2,0,3,2.9459839165210724,0.22661414742469788
220,220,220,220,220,220,220,220,220,220,220,220,MLG35,12,MLG35,21,49,6,0,16,11.045247554779053,0.22541321540365414
406,406,406,406,406,406,406,406,406,406,406,406,1-3265,11,1-3265,18,19,3,0,4,4.261311888694763,0.22427957308919808
34,34,34,34,34,34,34,34,34,34,34,34,MLG51,20,MLG51,3,248,34,0,68,55.442302107810974,0.22355766978956038
233,233,233,233,233,233,233,233,233,233,233,233,1-3587,9,1-3587,5,46,8,0,7,10.207295805215836,0.22189773489599643
36,36,36,36,36,36,36,36,36,36,36,36,MLG64,21,MLG64,13,245,19,0,112,54.31673288345337,0.22170095054470762
79,79,79,79,79,79,79,79,79,79,79,79,1-0129,15,1-0129,21,142,28,0,11,31.4686076939106,0.22160991333739857
269,269,269,269,269,269,269,269,269,269,269,269,1-8551,8,1-8551,14,38,4,0,14,8.414591610431671,0.22143662132714925
218,218,218,218,218,218,218,218,218,218,218,218,1-9610,16,1-9610,20,49,8,0,9,10.837951749563217,0.22118268876659627
151,151,151,151,151,151,151,151,151,151,151,151,MLG38,4,MLG38,9,77,13,0,12,16.78393566608429,0.21797319046862715
109,109,109,109,109,109,109,109,109,109,109,109,1-7441,21,1-7441,13,111,21,0,10,24.153279721736908,0.21759711461024242
236,236,236,236,236,236,236,236,236,236,236,236,1-9794,12,1-9794,17,46,9,0,3,9.945983916521072,0.21621704166350159
155,155,155,155,155,155,155,155,155,155,155,155,1-8157,4,1-8157,17,75,14,0,7,16.207295805215836,0.21609727740287782
63,63,63,63,63,63,63,63,63,63,63,63,1-3052,8,1-3052,14,166,9,0,85,35.80287763476372,0.21567998575158867
5,5,5,5,5,5,5,5,5,5,5,5,MLG57,18,MLG57,4,629,77,0,183,134.70501890778542,0.21415742274687666
27,27,27,27,27,27,27,27,27,27,27,27,1-1608,19,1-1608,2,307,44,0,68,65.44230210781097,0.2131671078430325
22,22,22,22,22,22,22,22,22,22,22,22,MLG50,17,MLG50,6,319,40,0,87,67.4335335791111,0.2113903873953326
52,52,52,52,52,52,52,52,52,52,52,52,1-7122,16,1-7122,20,197,4,0,119,41.524028688669205,0.21078187151608732
521,521,521,521,521,521,521,521,521,521,521,521,1-3551,3,1-3551,8,6,0,0,4,1.2613118886947632,0.21021864811579385
7,7,7,7,7,7,7,7,7,7,7,7,MLG69,10,MLG69,19,576,43,0,247,120.88600912690163,0.2098715436230931
4,4,4,4,4,4,4,4,4,4,4,4,MLG68,9,MLG68,5,642,38,0,302,133.22904759645462,0.20752188099136235
126,126,126,126,126,126,126,126,126,126,126,126,1-6693,6,1-6693,11,98,13,0,23,20.25254335999489,0.20665860571423356
130,130,130,130,130,130,130,130,130,130,130,130,1-3139,8,1-3139,14,93,11,0,26,19.19852727651596,0.20643577716683828
11,11,11,11,11,11,11,11,11,11,11,11,MLG56,19,MLG56,2,511,51,0,171,104.92108324170113,0.20532501612857362
401,401,401,401,401,401,401,401,401,401,401,401,1-8100,9,1-8100,5,19,2,0,6,3.8919678330421448,0.20484041226537605
214,214,214,214,214,214,214,214,214,214,214,214,1-8450,13,1-8450,16,52,4,0,21,10.621887415647507,0.20426706568552896
127,127,127,127,127,127,127,127,127,127,127,127,1-5891,18,1-5891,4,96,17,0,8,19.522623777389526,0.20336066434780756
329,329,329,329,329,329,329,329,329,329,329,329,1-5980,6,1-5980,11,29,4,0,6,5.891967833042145,0.20317130458766017
346,346,346,346,346,346,346,346,346,346,346,346,1-9805,16,1-9805,20,26,4,0,4,5.261311888694763,0.2023581495651832
9,9,9,9,9,9,9,9,9,9,9,9,1-3523,11,1-3523,18,543,83,0,83,109.17222169041634,0.20105381526780172
217,217,217,217,217,217,217,217,217,217,217,217,1-9770,16,1-9770,20,50,5,0,16,10.045247554779053,0.20090495109558104
531,531,531,531,531,531,531,531,531,531,531,531,1-4051,21,1-4051,13,5,1,0,0,1.0,0.2
319,319,319,319,319,319,319,319,319,319,319,319,1-18935,13,1-18935,16,30,5,0,3,5.945983916521072,0.19819946388403575
203,203,203,203,203,203,203,203,203,203,203,203,1-9938,3,1-9938,8,55,3,0,25,10.88319930434227,0.19787635098804127
74,74,74,74,74,74,74,74,74,74,74,74,1-8074,4,1-8074,9,145,22,0,21,28.621887415647507,0.19739232700446557
400,400,400,400,400,400,400,400,400,400,400,400,1-8646,13,1-8646,16,20,3,0,3,3.9459839165210724,0.19729919582605362
31,31,31,31,31,31,31,31,31,31,31,31,1-9156,12,1-9156,17,268,36,0,52,52.39705455303192,0.19551139758594
159,159,159,159,159,159,159,159,159,159,159,159,1-6914,8,1-6914,14,73,6,0,26,14.19852727651596,0.19450037365090356
163,163,163,163,163,163,163,163,163,163,163,163,1-6692,12,1-6692,17,71,10,0,12,13.78393566608429,0.19413993895893367
0,0,0,0,0,0,0,0,0,0,0,0,1-6098,6,1-6098,11,1327,132,0,397,257.18520495295525,0.19380949883417878
473,473,473,473,473,473,473,473,473,473,473,473,1-5161,18,1-5161,4,12,2,0,1,2.315327972173691,0.1929439976811409
268,268,268,268,268,268,268,268,268,268,268,268,1-8493,3,1-8493,21,38,1,0,20,7.306559443473816,0.19227788009141622
235,235,235,235,235,235,235,235,235,235,235,235,1-1989,20,1-1989,4,46,6,0,9,8.837951749563217,0.19212938586006995
213,213,213,213,213,213,213,213,213,213,213,213,1-6227,14,1-6227,21,52,8,0,6,9.891967833042145,0.19023015063542587
39,39,39,39,39,39,39,39,39,39,39,39,1-9768,10,1-9768,19,241,33,0,40,45.61311888694763,0.18926605347281175
281,281,281,281,281,281,281,281,281,281,281,281,1-3312,3,1-3312,8,36,3,0,12,6.7839356660842896,0.18844265739123026
456,456,456,456,456,456,456,456,456,456,456,456,1-7995,18,1-7995,4,14,2,0,2,2.6306559443473816,0.18790399602481297
134,134,134,134,134,134,134,134,134,134,134,134,1-8659,7,1-8659,12,91,13,0,13,17.09926363825798,0.18790399602481297
232,232,232,232,232,232,232,232,232,232,232,232,1-8095,21,1-8095,13,46,7,0,5,8.576639860868454,0.18644869262757507
255,255,255,255,255,255,255,255,255,255,255,255,1-3564,15,1-3564,21,41,7,0,2,7.630655944347382,0.1861135596182288
64,64,64,64,64,64,64,64,64,64,64,64,MLG29,6,MLG29,11,164,18,0,39,30.29779091477394,0.1847426275291094
239,239,239,239,239,239,239,239,239,239,239,239,1-5002,6,1-5002,11,45,2,0,20,8.306559443473816,0.18459020985497368
432,432,432,432,432,432,432,432,432,432,432,432,1-3089,17,1-3089,6,16,2,0,3,2.9459839165210724,0.18412399478256702
244,244,244,244,244,244,244,244,244,244,244,244,1-19448,18,1-19448,4,45,7,0,4,8.261311888694763,0.1835847086376614
325,325,325,325,325,325,325,325,325,325,325,325,1-9338,17,1-9338,6,29,5,0,1,5.315327972173691,0.1832871714542652
309,309,309,309,309,309,309,309,309,309,309,309,1-9185,9,1-9185,5,31,5,0,2,5.630655944347382,0.18163406272088328
288,288,288,288,288,288,288,288,288,288,288,288,1-9761,21,1-9761,13,35,6,0,1,6.315327972173691,0.18043794206210545
257,257,257,257,257,257,257,257,257,257,257,257,1-19286,17,1-19286,6,40,5,0,7,7.207295805215836,0.18018239513039588
224,224,224,224,224,224,224,224,224,224,224,224,1-9277,8,1-9277,14,48,2,0,21,8.621887415647507,0.17962265449265638
78,78,78,78,78,78,78,78,78,78,78,78,1-1570,15,1-1570,21,142,19,0,20,25.306559443473816,0.17821520734840715
