Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
412,412,412,412,412,1-6858,19,14,1-6858,23,16,0,3,16.040867815725505,0.6974290354663263
131,131,131,131,131,1-9283,21,7,1-9283,235,95,0,82,96.11705362983048,0.40900873885034245
251,251,251,251,251,1-7268,1,6,1-7268,70,28,0,28,28.381432946771383,0.40544904209673405
346,346,346,346,346,MLG32,2,18,MLG32,52,19,0,11,19.149848657660186,0.368266320339619
161,161,161,161,161,MLG41,14,4,MLG41,66,23,0,11,23.149848657660186,0.350755282691821
479,479,479,479,479,1-9286,1,9,1-9286,81,28,0,20,28.272452104836702,0.3490426185782309
99,99,99,99,99,1-5775,12,12,1-5775,244,83,0,35,83.47679118346423,0.3421179966535419
375,375,375,375,375,MLG14,14,4,MLG14,232,77,0,19,77.25882949959487,0.3330121961189434
345,345,345,345,345,1-1131,14,4,1-1131,138,45,0,7,45.095358236692846,0.3267779582369047
499,499,499,499,499,1-8627,9,6,1-8627,25,8,0,4,8.05449042096734,0.3221796168386936
305,305,305,305,305,1-7866,7,11,1-7866,318,102,0,33,102.44954597298056,0.32216838356283195
250,250,250,250,250,1-9333,12,12,1-9333,102,32,0,34,32.463168578222394,0.31826635861002345
331,331,331,331,331,MLG75,11,2,MLG75,185,57,0,7,57.095358236692846,0.3086235580361775
393,393,393,393,393,1-7819,7,13,1-7819,59,18,0,2,18.02724521048367,0.3055465289912486
483,483,483,483,483,1-9491,1,9,1-9491,80,22,0,17,22.231584289111197,0.27789480361388996
440,440,440,440,440,MLG52,8,16,MLG52,125,34,0,24,34.32694252580404,0.27461554020643236
149,149,149,149,149,MLG58,8,16,MLG58,71,19,0,16,19.217961683869362,0.27067551667421635
347,347,347,347,347,1-8188,15,13,1-8188,140,37,0,32,37.435923367738724,0.26739945262670517
427,427,427,427,427,1-9379,11,2,1-9379,58,15,0,2,15.02724521048367,0.25909043466351156
302,302,302,302,302,MLG51,10,15,MLG51,248,63,0,78,64.06256320886314,0.25831678713251266
282,282,282,282,282,1-1608,15,13,1-1608,307,76,0,86,77.17154405079782,0.2513731076573219
292,292,292,292,292,1-9997,10,8,1-9997,16,4,0,1,4.013622605241835,0.2508514128276147
272,272,272,272,272,1-1570,6,8,1-1570,142,35,0,38,35.517658999189734,0.2501243591492235
246,246,246,246,246,MLG56,15,13,MLG56,511,125,0,88,126.19878926128149,0.2469643625465391
364,364,364,364,364,1-7682,21,6,1-7682,141,34,0,41,34.55852681491524,0.2450959348575549
192,192,192,192,192,1-9770,12,15,1-9770,50,12,0,18,12.245206894353032,0.24490413788706064
268,268,268,268,268,MLG44,2,18,MLG44,59,14,0,12,14.163471262902021,0.24005883496444105
208,208,208,208,208,1-10468,19,14,1-10468,549,128,0,133,129.81180649716407,0.2364513779547615
333,333,333,333,333,1-11329,11,8,1-11329,14,3,0,4,3.0544904209673405,0.2181778872119529
300,300,300,300,300,1-4020,9,13,1-4020,37,8,0,3,8.040867815725505,0.217320751776365
382,382,382,382,382,1-18558,7,11,1-18558,307,66,0,39,66.53128160443157,0.21671427232713866
22,22,22,22,22,1-7995,15,13,1-7995,14,3,0,1,3.013622605241835,0.21525875751727394
152,152,152,152,152,1-9500,7,11,1-9500,33,7,0,4,7.0544904209673405,0.21377243699901033
381,381,381,381,381,1-2335,12,12,1-2335,145,30,0,39,30.53128160443157,0.21056056278918323
261,261,261,261,261,1-1942,4,21,1-1942,34,7,0,4,7.0544904209673405,0.20748501238139236
384,384,384,384,384,1-9270,6,8,1-9270,128,26,0,36,26.490413788706064,0.20695635772426613
518,518,518,518,518,1-1850,21,7,1-1850,30,6,0,13,6.1770938681438565,0.20590312893812854
538,538,538,538,538,1-9576,17,10,1-9576,10,2,0,4,2.0544904209673405,0.20544904209673404
318,318,318,318,318,1-2324,1,9,1-2324,25,5,0,8,5.108980841934681,0.20435923367738723
141,141,141,141,141,MLG45,1,9,MLG45,70,14,0,20,14.272452104836702,0.2038921729262386
337,337,337,337,337,1-18613,1,9,1-18613,25,5,0,7,5.095358236692846,0.20381432946771383
5,5,5,5,5,1-5549,19,14,1-5549,35,7,0,9,7.122603447176516,0.20350295563361476
220,220,220,220,220,MLG73,8,16,MLG73,10,2,0,1,2.013622605241835,0.20136226052418352
92,92,92,92,92,1-7807,16,17,1-7807,239,48,0,7,48.095358236692846,0.2012358085217274
8,8,8,8,8,1-8181,11,2,1-8181,30,6,0,0,6.0,0.2
211,211,211,211,211,1-5406,11,2,1-5406,10,2,0,0,2.0,0.2
153,153,153,153,153,1-1350,1,9,1-1350,195,38,0,53,38.72199807781726,0.1985743491170116
47,47,47,47,47,1-19547,16,17,1-19547,66,13,0,6,13.08173563145101,0.1982081156280456
86,86,86,86,86,1-9345,7,11,1-9345,47,9,0,6,9.08173563145101,0.19322841769044705
404,404,404,404,404,1-4682,21,7,1-4682,16,3,0,5,3.0681130262091756,0.19175706413807347
230,230,230,230,230,1-3089,5,3,1-3089,16,3,0,5,3.0681130262091756,0.19175706413807347
351,351,351,351,351,1-19229,17,10,1-19229,38,7,0,16,7.217961683869362,0.1899463601018253
517,517,517,517,517,1-18028,9,6,1-18028,309,58,0,24,58.32694252580404,0.1887603317987186
547,547,547,547,547,MLG67,17,10,MLG67,27,5,0,5,5.068113026209176,0.1877078898595991
451,451,451,451,451,1-4098,15,13,1-4098,16,3,0,0,3.0,0.1875
374,374,374,374,374,1-6919,21,7,1-6919,43,8,0,4,8.05449042096734,0.1873137307201707
168,168,168,168,168,1-9655,3,20,1-9655,27,5,0,3,5.040867815725505,0.18669880798983354
515,515,515,515,515,1-6531,9,6,1-6531,27,5,0,1,5.013622605241835,0.18568972612006795
472,472,472,472,472,1-9518,1,9,1-9518,22,4,0,4,4.0544904209673405,0.1842950191348791
339,339,339,339,339,1-3523,7,11,1-3523,543,99,0,68,99.92633715644479,0.18402640360302908
466,466,466,466,466,1-5981,21,15,1-5981,28,5,0,11,5.149848657660186,0.18392316634500666
470,470,470,470,470,1-1204,12,12,1-1204,39,7,0,12,7.163471262902021,0.18367875033082107
259,259,259,259,259,1-3596,21,7,1-3596,223,40,0,50,40.681130262091756,0.18242659310355047
562,562,562,562,562,1-0003,8,16,1-0003,17,3,0,7,3.095358236692846,0.18207989627604976
124,124,124,124,124,1-8427,8,16,1-8427,189,34,0,28,34.38143294677138,0.18191234363371103
81,81,81,81,81,1-7770,14,4,1-7770,11,2,0,0,2.0,0.18181818181818182
471,471,471,471,471,1-9794,11,12,1-9794,46,8,0,24,8.326942525804043,0.18102048969139223
154,154,154,154,154,1-18994,14,4,1-18994,28,5,0,3,5.040867815725505,0.18003099341876805
522,522,522,522,522,1-5282,8,16,1-5282,17,3,0,4,3.0544904209673405,0.1796759071157259
327,327,327,327,327,P-16616,9,21,P-16616,28,5,0,2,5.02724521048367,0.17954447180298821
162,162,162,162,162,1-8067,19,14,1-8067,322,57,0,51,57.69475286733359,0.17917625114078756
226,226,226,226,226,1-9996,7,11,1-9996,28,5,0,0,5.0,0.17857142857142858
560,560,560,560,560,1-0027,5,3,1-0027,29,5,0,12,5.163471262902021,0.17805073320351797
236,236,236,236,236,1-7024,11,2,1-7024,498,86,0,185,88.5201819697395,0.1777513694171476
486,486,486,486,486,1-8678,3,20,1-8678,17,3,0,1,3.013622605241835,0.17727191795540206
448,448,448,448,448,1-3106,8,2,1-3106,34,6,0,2,6.02724521048367,0.17727191795540206
301,301,301,301,301,1-1177,9,6,1-1177,17,3,0,0,3.0,0.17647058823529413
415,415,415,415,415,1-1957,10,15,1-1957,47,8,0,16,8.217961683869362,0.17485024859296514
403,403,403,403,403,1-1770,8,16,1-1770,35,6,0,8,6.108980841934681,0.1745423097695623
380,380,380,380,380,1-7004,16,17,1-7004,381,65,0,104,66.41675094515085,0.17432218095840118
363,363,363,363,363,1-10785,6,8,1-10785,279,48,0,30,48.40867815725505,0.1735078070152511
95,95,95,95,95,1-3312,15,14,1-3312,36,6,0,12,6.163471262902021,0.1712075350806117
224,224,224,224,224,1-9227,18,5,1-9227,801,134,0,169,136.30222028587013,0.17016506902106135
283,283,283,283,283,1-3535,12,12,1-3535,315,52,0,98,53.33501531369984,0.16931750893238046
507,507,507,507,507,1-6909,8,16,1-6909,36,6,0,6,6.081735631451011,0.1689371008736392
549,549,549,549,549,1-4842,1,9,1-4842,6,1,0,1,1.0136226052418351,0.1689371008736392
209,209,209,209,209,1-9938,19,14,1-9938,55,9,0,17,9.231584289111197,0.16784698707474904
558,558,558,558,558,1-0055,11,15,1-0055,18,3,0,1,3.013622605241835,0.16742347806899083
94,94,94,94,94,1-3083,7,11,1-3083,78,13,0,4,13.05449042096734,0.1673652618072736
269,269,269,269,269,1-7839,11,2,1-7839,24,4,0,1,4.013622605241835,0.1672342752184098
314,314,314,314,314,1-3139,18,5,1-3139,93,15,0,18,15.245206894353032,0.16392695585325842
133,133,133,133,133,1-8576,11,2,1-8576,55,9,0,1,9.013622605241835,0.16388404736803336
121,121,121,121,121,1-7070,14,4,1-7070,129,21,0,5,21.068113026209176,0.1633187056295285
388,388,388,388,388,MLG49,2,18,MLG49,185,30,0,13,30.177093868143857,0.1631194263142911
114,114,114,114,114,1-7496,16,17,1-7496,246,40,0,8,40.10898084193468,0.16304463756884016
450,450,450,450,450,1-2297,19,14,1-2297,25,4,0,5,4.068113026209176,0.16272452104836702
51,51,51,51,51,1-9925,19,14,1-9925,93,15,0,9,15.122603447176516,0.1626086392169518
447,447,447,447,447,1-7152,17,10,1-7152,109,17,0,48,17.653885051608086,0.1619622481798907
533,533,533,533,533,1-7530,3,17,1-7530,25,4,0,3,4.040867815725505,0.1616347126290202
171,171,171,171,171,1-8100,5,3,1-8100,19,3,0,5,3.0681130262091756,0.16147963295837767
166,166,166,166,166,MLG40,17,10,MLG40,51,8,0,14,8.190716473385692,0.1606022837918763
392,392,392,392,392,1-9609,20,1,1-9609,25,4,0,0,4.0,0.16
91,91,91,91,91,72-12171,3,20,72-12171,19,3,0,2,3.0272452104836702,0.15932869528861424
311,311,311,311,311,1-20578,2,18,1-20578,19,3,0,2,3.0272452104836702,0.15932869528861424
396,396,396,396,396,1-9963,6,8,1-9963,116,18,0,26,18.354187736287713,0.15822575634730787
4,4,4,4,4,1-6240,10,15,1-6240,698,109,0,96,110.30777010321617,0.15803405458913491
25,25,25,25,25,1-9607,9,6,1-9607,19,3,0,0,3.0,0.15789473684210525
65,65,65,65,65,1-8659,15,13,1-8659,91,14,0,20,14.272452104836702,0.15684013302018354
231,231,231,231,231,1-8450,12,12,1-8450,52,8,0,10,8.136226052418351,0.15646588562342983
528,528,528,528,528,1-6718,2,6,1-6718,20,3,0,7,3.095358236692846,0.15476791183464228
463,463,463,463,463,1-1989,12,12,1-1989,46,7,0,8,7.108980841934681,0.1545430617811887
217,217,217,217,217,1-9630,6,8,1-9630,33,5,0,6,5.081735631451011,0.1539919888318488
321,321,321,321,321,1-5172,6,8,1-5172,120,18,0,30,18.408678157255054,0.15340565131045877
88,88,88,88,88,1-5626,6,8,1-5626,125,19,0,10,19.13622605241835,0.1530898084193468
294,294,294,294,294,1-3509,17,10,1-3509,35,5,0,25,5.340565131045878,0.15258757517273938
