Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,15,13,1-3535,315,89,8,75,8158.2749589681625,25.89928558402591
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,19,9,MLG44,59,18,1,14,1030.931325674057,17.473412299560287
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,16,1,MLG49,185,49,3,16,3063.778657913208,16.560965718449772
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,14,20,MLG52,125,15,2,8,2022.389328956604,16.179114631652833
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,9,8,1-9491,80,26,1,19,1043.5496562719345,13.044370703399181
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,16,1,MLG50,319,40,4,20,4058.47332239151,12.72248690404862
189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,1-9156,14,20,1-9156,268,17,3,22,3037.320654630661,11.333286024741273
350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,1-2282,10,3,1-2282,219,66,2,50,2112.183305978775,9.644672630040068
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1-6098,15,13,1-6098,1327,427,8,256,8663.458526611328,6.528604767604618
375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,8,6,MLG14,232,27,1,52,1075.030638217926,4.633752750939336
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,1-9768,16,1,1-9768,241,24,1,3,1026.7709983587265,4.260460574102599
390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,MLG64,14,20,MLG64,245,3,1,17,1018.7023240327835,4.157968669521566
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,9,8,1-1608,307,36,1,193,1214.2675610780716,3.955268928593067
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,10,3,MLG54,595,99,2,264,2342.847855567932,3.937559421122575
352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,MLG63,7,11,MLG63,380,108,1,47,1151.4123076200485,3.030032388473812
371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,1-1580,7,11,1-1580,400,49,1,51,1096.1069720983505,2.7402674302458765
370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,MLG62,19,9,MLG62,525,53,1,160,1200.78657913208,2.2872125316801526
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,8,6,MLG68,642,91,1,299,1367.1761697530746,2.129557896811643
431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,1-7614,7,11,1-7614,72,83,0,23,104.24432075023651,1.4478377881977293
372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,1-6916,17,4,1-6916,43,47,0,5,51.6183305978775,1.2004262929738954
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1-18423,4,16,1-18423,47,10,0,50,56.183305978775024,1.1953894889101069
367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,1-8544,15,13,1-8544,54,45,0,20,63.47332239151001,1.1754318961390742
432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1-6914,11,10,1-6914,73,73,0,12,84.083993434906,1.1518355265055618
374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,1-6919,10,3,1-6919,43,45,0,4,48.694664478302,1.1324340576349303
474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,1-8400,7,11,1-8400,33,32,0,4,35.694664478302,1.0816564993424849
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,20,7,1-6980,128,34,0,112,137.45060539245605,1.073832854628563
418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,1-6216,1,14,1-6216,45,1,0,47,44.41230762004852,0.9869401693344116
467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,1-13247,10,3,1-13247,29,7,0,23,28.24432075023651,0.9739420948357418
186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,72-11994,4,16,72-11994,8,5,0,3,7.7709983587265015,0.9713747948408127
335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,1-8910,19,9,1-8910,137,27,0,114,132.29793763160706,0.9656783768730443
563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,1-21192,15,13,1-21192,4,2,0,2,3.847332239151001,0.9618330597877502
444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,1,14,1-3217,5,2,0,3,4.7709983587265015,0.9541996717453003
535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,1-5990,1,14,1-5990,5,1,0,4,4.694664478302002,0.9389328956604004
452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,1-8529,1,14,1-8529,56,18,0,33,48.480981945991516,0.8657318204641342
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,7,11,1-7866,318,224,0,44,264.641309261322,0.8322053750356039
333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,1-11329,1,14,1-11329,14,5,0,7,11.465662837028503,0.8189759169306073
278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,1-10762,12,5,1-10762,6,2,0,3,4.7709983587265015,0.7951663931210836
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1-5775,8,6,1-5775,244,92,0,109,192.67960703372955,0.7896705206300392
274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,1-0033,1,14,1-0033,10,5,0,3,7.7709983587265015,0.7770998358726502
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,7,11,1-5981,28,18,0,4,21.694664478302002,0.774809445653643
409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,1-9645,4,16,1-9645,69,2,0,55,52.80163657665253,0.7652411098065584
413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,1-8314,19,9,1-8314,36,9,0,20,27.47332239151001,0.7631478442086114
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,1-1207,4,16,1-1207,66,23,0,29,49.786317467689514,0.7543381434498411
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,1-9237,3,15,1-9237,38,26,0,2,27.847332239151,0.7328245326092369
417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,1-10451,19,9,1-10451,46,18,0,17,33.70232403278351,0.7326592181039893
236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,1-7024,12,5,1-7024,498,99,0,280,357.62651348114014,0.7181255290785946
361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,1-0008,13,12,1-0008,230,88,0,82,163.74062180519104,0.7119157469790914
269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,1-7839,3,15,1-7839,24,17,0,0,17.0,0.7083333333333334
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,1-2573,1,14,1-2573,37,16,0,11,26.160327315330505,0.707035873387311
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,1-7509,1,14,1-7509,40,7,0,23,28.24432075023651,0.7061080187559128
279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,MLG43,3,15,MLG43,14,8,0,2,9.847332239151001,0.7033808742250715
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,9,8,1-7682,141,37,0,67,98.88563001155853,0.7013165249046704
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,12,5,1-1258,435,153,0,160,300.7865791320801,0.6914634003036324
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,18,2,1-6858,23,14,0,2,15.847332239151001,0.6890144451804783
520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,1-2034,7,11,1-2034,16,10,0,1,10.9236661195755,0.6827291324734688
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,12,5,1-6227,52,15,0,22,35.32065463066101,0.6792433582819425
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,20,7,MLG56,511,105,0,262,347.0005233287811,0.6790616894888085
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,1,14,1-9277,48,14,0,20,32.47332239151001,0.6765275498231252
130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,1-1833,16,1,1-1833,124,81,0,3,83.7709983587265,0.6755725674090847
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1-7140,13,12,1-7140,397,139,0,139,267.38959062099457,0.6735254171813465
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,13,12,1-6878,167,56,0,60,111.41996717453003,0.6671854321828146
538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,1-9576,10,3,1-9576,10,1,0,6,6.541996717453003,0.6541996717453002
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1-1224,18,2,1-1224,151,92,0,6,97.541996717453,0.645973488195053
551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,1-9838,8,6,1-9838,3,1,0,1,1.9236661195755005,0.6412220398585001
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,11,10,1-7005,285,56,0,137,182.54225838184357,0.6404991522169949
293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,1-8066,13,12,1-8066,86,31,0,26,55.01531910896301,0.6397130128949188
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1-0405,15,13,1-0405,64,3,0,41,40.87031090259552,0.638598607853055
338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,1-6296,13,12,1-6296,254,100,0,65,160.03829777240753,0.6300720384740454
320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,MLG13,1,14,MLG13,140,44,0,47,87.41230762004852,0.6243736258574895
271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,1-7897,14,20,1-7897,95,7,0,56,58.72530269622803,0.6181610810129265
380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,1-7004,17,4,1-7004,381,177,0,62,234.26729941368103,0.6148748016107114
500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,13,12,1-0292,99,31,0,32,60.557315826416016,0.611690058852687
