Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
387,387,387,387,387,387,387,387,387,387,1-10539,9,4,1-10539,63,37,0,5,40.447793424129486,0.6420284670496744
130,130,130,130,130,130,130,130,130,130,1-1833,12,10,1-1833,124,17,0,89,78.37072294950485,0.6320219592702004
57,57,57,57,57,57,57,57,57,57,1-1224,19,8,1-1224,151,18,0,104,89.71410322189331,0.5941331339198233
124,124,124,124,124,124,124,124,124,124,1-8427,8,11,1-8427,189,74,0,49,107.78837555646896,0.5703088653781426
412,412,412,412,412,412,412,412,412,412,1-6858,19,8,1-6858,23,11,0,3,13.068676054477692,0.5682033067164214
390,390,390,390,390,390,390,390,390,390,MLG64,17,14,MLG64,245,91,0,64,135.13175582885742,0.5515581870565609
462,462,462,462,462,462,462,462,462,462,1-1183,13,22,1-1183,45,22,0,2,23.379117369651794,0.5195359415478177
131,131,131,131,131,131,131,131,131,131,1-9283,21,4,1-9283,235,97,0,32,119.06587791442871,0.5066633102741648
272,272,272,272,272,272,272,272,272,272,1-1570,6,3,1-1570,142,51,0,27,69.61808449029922,0.49026820063591003
364,364,364,364,364,364,364,364,364,364,1-7682,21,7,1-7682,141,46,0,31,67.37631922960281,0.4778462356709419
302,302,302,302,302,302,302,302,302,302,MLG51,10,12,MLG51,248,80,0,54,117.23616898059845,0.47272648782499377
470,470,470,470,470,470,470,470,470,470,1-1204,12,13,1-1204,39,15,0,4,17.75823473930359,0.45533935228983563
342,342,342,342,342,342,342,342,342,342,MLG65,17,14,MLG65,201,47,0,64,91.13175582885742,0.45339182004406675
209,209,209,209,209,209,209,209,209,209,1-9938,19,8,1-9938,55,7,0,26,24.928525805473328,0.4532459237358787
166,166,166,166,166,166,166,166,166,166,MLG40,17,14,MLG40,51,20,0,4,22.75823473930359,0.44623989684909
488,488,488,488,488,488,488,488,488,488,1-11350,7,13,1-11350,100,18,0,37,43.5136713385582,0.43513671338558196
354,354,354,354,354,354,354,354,354,354,1-9417,19,8,1-9417,76,12,0,30,32.68676054477692,0.4300889545365384
282,282,282,282,282,282,282,282,282,282,1-1608,15,9,1-1608,307,73,0,85,131.61248821020126,0.42870517332313113
339,339,339,339,339,339,339,339,339,339,1-3523,7,13,1-3523,543,105,0,184,231.8787980079651,0.4270327771785729
