,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
0,MLG45,6,MLG45,5,70,18,1,18,1022.0483881533146,14.600691259333066
1,1-10468,6,1-10468,5,549,55,1,147,1088.0618365854025,1.9818976986983647
2,1-9379,2,1-9379,9,58,43,0,2,43.44982090592384,0.7491348432055835
3,1-0008,11,1-0008,18,230,161,0,25,166.62276132404804,0.7244467883654263
4,1-18028,10,1-18028,13,309,190,0,12,192.69892543554303,0.6236211179143788
5,1-1224,16,1-1224,16,151,67,0,27,73.07258222997189,0.4839243856289529
6,MLG60,4,MLG60,2,47,20,0,10,22.249104529619217,0.4733852027578556
7,1-7268,15,1-7268,11,70,28,0,13,30.923835888504986,0.4417690841214997
8,1-2423,12,1-2423,12,79,31,0,8,32.79928362369537,0.4151808053632326
9,1-18558,12,1-18558,17,307,119,0,27,125.07258222997189,0.4074025479803644
10,1-3447,7,1-3447,4,110,36,0,38,44.546597212553024,0.4049690655686638
11,MLG51,16,MLG51,16,248,92,0,26,97.84767177700996,0.3945470636169756
12,1-7866,17,1-7866,3,318,93,0,116,119.08961254358292,0.374495636929506
13,1-11350,4,1-11350,2,100,33,0,18,37.04838815331459,0.3704838815331459
14,1-8084,13,1-8084,7,82,26,0,19,30.273298606276512,0.3691865683692257
15,1-4649,10,1-4649,13,244,74,0,52,85.69534355401993,0.351210424401721
16,1-0296,14,1-0296,3,41,10,0,19,14.273298606276512,0.3481292342994271
17,MLG29,13,MLG29,7,164,47,0,43,56.67114947736263,0.3455557894961136
18,1-3265,4,1-3265,3,19,6,0,2,6.449820905923843,0.3394642582065181
19,MLG75,2,MLG75,9,185,61,0,3,61.674731358885765,0.3333769262642473
20,1-5413,16,1-5413,16,39,11,0,7,12.574373170733452,0.3224198248906013
21,1-0278,8,1-0278,15,79,18,0,33,25.422044947743416,0.3217980373132078
22,1-4355,17,1-4355,3,49,13,0,11,15.47401498258114,0.3157962241343089
23,MLG11,8,MLG11,15,87,27,0,2,27.449820905923843,0.3155151828267108
24,1-3587,10,1-3587,13,46,10,0,20,14.498209059238434,0.3151784578095312
25,MLG14,4,MLG14,2,232,62,0,45,72.12097038328648,0.3108662516520968
26,1-1390,16,1-1390,16,98,25,0,24,30.39785087108612,0.3101821517457767
27,1-7024,2,1-7024,9,498,142,0,49,153.02061219513416,0.3072703056127192
28,1-6532,15,1-6532,9,27,6,0,10,8.249104529619217,0.3055223899858969
29,1-18709,17,1-18709,3,33,9,0,4,9.899641811847689,0.2999891458135663
30,1-4531,3,1-4531,1,94,21,0,32,28.19713449478149,0.2999695159019307
31,1-8622,16,1-8622,16,54,15,0,5,16.12455226480961,0.2986028197186964
32,1-1258,8,1-1258,15,435,109,0,92,129.6917616724968,0.2981419808563145
33,1-0292,12,1-0292,18,99,18,0,49,29.020612195134163,0.2931374969205471
34,MLG59,6,MLG59,5,71,18,0,11,20.47401498258114,0.2883664082053681
35,1-1608,15,1-1608,11,307,69,0,86,88.34229895472527,0.2877599314486165
36,1-2382,7,1-2382,4,139,31,0,39,39.77150766551495,0.2861259544281651
37,1-0358,2,1-0358,9,22,6,0,1,6.224910452961922,0.2829504751346328
38,1-4417,11,1-4417,18,151,28,0,64,42.39426898956299,0.2807567482752516
39,1-1131,14,1-1131,12,138,36,0,12,38.69892543554306,0.2804269959097323
40,1-1183,6,1-1183,10,45,9,0,16,12.598567247390749,0.2799681610531277
41,MLG15,7,MLG15,4,105,28,0,6,29.34946271777153,0.279518692550205
42,1-4682,14,1-4682,16,16,4,0,2,4.449820905923843,0.2781138066202402
43,1-3089,2,1-3089,9,16,4,0,2,4.449820905923843,0.2781138066202402
44,1-4760,12,1-4760,17,40,10,0,5,11.124552264809608,0.2781138066202402
45,1-8421,9,1-8421,14,109,19,0,49,30.020612195134163,0.275418460505818
46,MLG58,14,MLG58,12,71,16,0,15,19.373656794428825,0.2728684055553356
47,1-8066,12,1-8066,17,86,16,0,33,23.422044947743416,0.2723493598574816
48,1-6296,11,1-6296,18,254,47,0,96,68.59140348434448,0.2700448956076554
49,1-2282,7,1-2282,4,219,44,0,67,59.06900034844875,0.2697214627783048
50,MLG56,10,MLG56,13,511,109,0,127,137.56362752616403,0.2692047505404384
51,1-5980,7,1-5980,4,29,6,0,8,7.799283623695373,0.2689408146101853
52,1-3523,17,1-3523,3,543,136,0,43,145.67114947736263,0.2682709935126384
53,1-9650,16,1-9650,16,25,6,0,3,6.674731358885765,0.2669892543554306
54,MLG38,7,MLG38,4,77,15,0,24,20.39785087108612,0.2649071541699496
55,1-9110,12,1-9110,17,29,7,0,3,7.674731358885765,0.2646459089270953
56,MLG48,5,MLG48,6,159,17,0,111,41.96506027877331,0.2639311967218447
57,1-8678,20,1-8678,3,17,4,0,2,4.449820905923843,0.2617541709366967
58,MLG53,8,MLG53,15,91,21,0,11,23.47401498258114,0.2579562085997927
59,MLG78,8,MLG78,15,80,14,0,29,20.52240313589573,0.2565300391986966
60,1-6909,10,1-6909,4,36,4,0,23,9.1729404181242,0.25480390050345
61,1-19166,10,1-19166,13,45,11,0,2,11.449820905923843,0.2544404645760854
62,1-5002,13,1-5002,7,45,8,0,15,11.373656794428824,0.252747928765085
63,1-3589,3,1-3589,1,27,5,0,8,6.7992836236953735,0.2518253193961249
