Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
442,442,442,442,MLG11,6,3,MLG11,87,18,0,17,24.476074069738388,0.28133418470963667
452,452,452,452,1-8529,15,6,1-8529,56,5,0,28,15.66647493839264,0.2797584810427257
117,117,117,117,1-0358,16,4,1-0358,22,5,0,3,6.1428366005420685,0.27921984547918494
293,293,293,293,1-8066,1,2,1-8066,86,23,0,2,23.761891067028046,0.27630105891893075
532,532,532,532,1-19447,15,6,1-19447,15,3,0,3,4.1428366005420685,0.27618910670280455
499,499,499,499,1-8627,20,9,1-8627,25,5,0,5,6.904727667570114,0.27618910670280455
245,245,245,245,1-6647,7,10,1-6647,62,6,0,29,17.047420471906662,0.27495839470817196
89,89,89,89,1-18004,11,5,1-18004,12,1,0,6,3.285673201084137,0.27380610009034473
128,128,128,128,1-19286,13,12,1-19286,40,9,0,5,10.904727667570114,0.27261819168925283
367,367,367,367,1-8544,7,10,1-8544,54,4,0,28,14.66647493839264,0.27160138774801185
259,259,259,259,1-3596,18,8,1-3596,223,43,0,46,60.52349454164505,0.27140580511948453
97,97,97,97,1-9237,7,10,1-9237,38,8,0,6,10.285673201084137,0.27067561055484574
237,237,237,237,1-9667,13,12,1-9667,14,3,0,2,3.7618910670280457,0.26870650478771757
533,533,533,533,1-7530,9,13,1-7530,25,1,0,15,6.714183002710342,0.2685673201084137
123,123,123,123,MLG55,1,2,MLG55,92,22,0,7,24.66661873459816,0.2681154210282409
416,416,416,416,1-18203,4,14,1-18203,29,7,0,2,7.761891067028046,0.26765141610441534
379,379,379,379,1-4640,9,13,1-4640,87,13,0,27,23.285529404878616,0.2676497632744669
536,536,536,536,1-9971,18,8,1-9971,15,4,0,0,4.0,0.26666666666666666
437,437,437,437,1-6980,6,3,1-6980,128,20,0,37,34.094984740018845,0.2663670682813972
562,562,562,562,1-0003,20,10,1-0003,17,3,0,4,4.523782134056091,0.2661048314150642
461,461,461,461,1-9651,6,3,1-9651,38,4,0,16,10.095128536224365,0.26566127726906225
448,448,448,448,1-3106,6,5,1-3106,34,7,0,5,8.904727667570114,0.2619037549285328
271,271,271,271,1-7897,19,20,1-7897,95,0,0,65,24.761459678411484,0.26064694398327876
179,179,179,179,1-4052,7,18,1-4052,13,3,0,1,3.380945533514023,0.2600727333472325
509,509,509,509,1-18935,4,14,1-18935,30,7,0,2,7.761891067028046,0.25872970223426817
228,228,228,228,1-17835,13,12,1-17835,17,4,0,1,4.380945533514023,0.25770267844200134
296,296,296,296,1-9404,10,11,1-9404,100,15,0,28,25.66647493839264,0.2566647493839264
143,143,143,143,1-8928,16,2,1-8928,39,10,0,0,10.0,0.2564102564102564
484,484,484,484,MLG31,6,3,MLG31,33,5,0,9,8.428509801626205,0.25540938792806683
459,459,459,459,1-2545,15,6,1-2545,145,23,0,36,36.71403920650482,0.25320027038968845
505,505,505,505,1-4747,6,3,1-4747,25,4,0,6,6.285673201084137,0.25142692804336547
417,417,417,417,1-10451,16,4,1-10451,46,10,0,4,11.523782134056091,0.2505170029142629
407,407,407,407,1-8421,12,7,1-8421,109,17,0,27,27.285529404878616,0.2503259578429231
80,80,80,80,1-9115,4,14,1-9115,16,4,0,0,4.0,0.25
119,119,119,119,1-5929,1,2,1-5929,4,1,0,0,1.0,0.25
366,366,366,366,1-5163,18,8,1-5163,16,4,0,0,4.0,0.25
213,213,213,213,1-18563,7,10,1-18563,8,2,0,0,2.0,0.25
406,406,406,406,1-17907,9,13,1-17907,119,11,0,49,29.66633114218712,0.2492969003545136
319,319,319,319,1-3584,11,5,1-3584,26,3,0,9,6.4285098016262054,0.2472503769856233
64,64,64,64,1-9674,10,11,1-9674,144,21,0,38,35.47593027353287,0.2463606268995338
321,321,321,321,1-5172,12,7,1-5172,120,7,0,59,29.475786477327347,0.2456315539777279
398,398,398,398,1-0303,16,4,1-0303,212,42,0,26,51.90458387136459,0.24483294278945564
475,475,475,475,1-18234,1,2,1-18234,43,9,0,4,10.523782134056091,0.2447391193966533
343,343,343,343,1-4319,10,11,1-4319,163,26,0,36,39.71403920650482,0.24364441230984554
424,424,424,424,1-4700,9,13,1-4700,31,6,0,4,7.523782134056091,0.24270264948568038
479,479,479,479,1-9286,4,9,1-9286,81,5,0,38,19.475930273532867,0.24044358362386256
282,282,282,282,1-1608,4,14,1-1608,307,58,0,41,73.61876687407494,0.23980054356376201
466,466,466,466,1-5981,3,17,1-5981,28,4,0,7,6.66661873459816,0.23809352623564856
145,145,145,145,MLG06,12,7,MLG06,18,2,0,6,4.285673201084137,0.2380929556157854
13,13,13,13,1-9805,16,4,1-9805,26,5,0,3,6.1428366005420685,0.23626294617469495
412,412,412,412,1-6858,14,18,1-6858,23,2,0,9,5.4285098016262054,0.2360221652880959
405,405,405,405,1-3104,18,8,1-3104,16,3,0,2,3.7618910670280457,0.23511819168925285
200,200,200,200,1-4634,11,5,1-4634,48,9,0,6,11.285673201084137,0.23511819168925285
344,344,344,344,1-6035,11,5,1-6035,23,5,0,1,5.380945533514023,0.23395415363104446
124,124,124,124,1-8427,20,9,1-8427,189,1,0,113,44.04684528708458,0.233052091466056
355,355,355,355,1-9498,12,7,1-9498,64,5,0,26,14.904583871364594,0.23288412299007177
394,394,394,394,1-2423,3,17,1-2423,79,10,0,22,18.380801737308502,0.2326683764216266
159,159,159,159,1-10696,12,7,1-10696,24,1,0,12,5.571346402168274,0.23213943342367807
140,140,140,140,1-2294,4,6,1-2294,75,17,0,1,17.380945533514023,0.23174594044685365
215,215,215,215,1-19839,1,2,1-19839,13,3,0,0,3.0,0.23076923076923078
476,476,476,476,1-19205,1,2,1-19205,12,2,0,2,2.7618910670280457,0.2301575889190038
386,386,386,386,MLG68,15,6,MLG68,642,119,0,74,147.1899694800377,0.22926786523370357
221,221,221,221,1-8023,9,13,1-8023,16,1,0,7,3.66661873459816,0.229163670912385
548,548,548,548,1-3087,3,17,1-3087,26,1,0,13,5.952291935682297,0.22893430521854988
541,541,541,541,1-5424,5,15,1-5424,5,0,0,3,1.1428366005420685,0.22856732010841369
408,408,408,408,MLG53,13,12,MLG53,91,20,0,2,20.761891067028046,0.22815264908822028
430,430,430,430,1-3141,12,7,1-3141,136,18,0,34,30.952148139476776,0.2275893245549763
368,368,368,368,1-5197,10,11,1-5197,72,8,0,22,16.380801737308502,0.22751113524039587
244,244,244,244,MLG57,6,3,MLG57,629,77,0,172,142.52263176441193,0.22658606003881068
58,58,58,58,1-17733,10,11,1-17733,74,8,0,23,16.761747270822525,0.22651009825435844
256,256,256,256,1-9277,5,15,1-9277,48,4,0,18,10.857019603252411,0.2261879084010919
351,351,351,351,1-19229,16,4,1-19229,38,4,0,12,8.571346402168274,0.22556174742548088
72,72,72,72,1-9614,18,8,1-9614,30,6,0,2,6.761891067028046,0.22539636890093487
12,12,12,12,MLG84,15,6,MLG84,63,10,0,11,14.190400868654251,0.22524445823260716
57,57,57,57,1-1224,10,11,1-1224,151,18,0,42,33.99971240758896,0.2251636583284037
324,324,324,324,1-6734,12,7,1-6734,44,8,0,5,9.904727667570114,0.22510744699022986
138,138,138,138,1-5515,2,1,1-5515,29,5,0,4,6.523782134056091,0.22495800462262383
503,503,503,503,1-9076,4,14,1-9076,9,2,0,0,2.0,0.2222222222222222
31,31,31,31,1-8938,11,5,1-8938,30,4,0,7,6.66661873459816,0.22222062448660532
400,400,400,400,1-18709,11,5,1-18709,33,2,0,14,7.33323746919632,0.22221931724837332
560,560,560,560,1-0027,11,5,1-0027,29,3,0,9,6.4285098016262054,0.22167275178021398
87,87,87,87,MLG35,6,3,MLG35,49,7,0,10,10.809455335140228,0.2206011292885761
329,329,329,329,1-1317,10,11,1-1317,414,60,0,82,91.23753374814987,0.22038051629987893
334,334,334,334,1-20641,4,14,1-20641,16,2,0,4,3.5237821340560913,0.2202363833785057
180,180,180,180,1-0037,4,14,1-0037,35,5,0,7,7.66661873459816,0.21904624955994742
24,24,24,24,1-7140,16,4,1-7140,397,74,0,33,86.57120260596275,0.21806348263466688
43,43,43,43,1-8705,15,6,1-8705,48,7,0,9,10.428509801626205,0.21726062086721262
472,472,472,472,1-9518,1,2,1-9518,22,4,0,2,4.761891067028046,0.21644959395582025
458,458,458,458,1-7182,20,9,1-7182,22,4,0,2,4.761891067028046,0.21644959395582025
14,14,14,14,1-6098,11,5,1-6098,1327,161,0,328,285.9501349925995,0.21548616050685718
294,294,294,294,1-3509,16,4,1-3509,35,6,0,4,7.523782134056091,0.21496520383017403
156,156,156,156,1-8634,10,11,1-8634,10,1,0,3,2.1428366005420685,0.21428366005420685
358,358,358,358,1-9831,10,11,1-9831,132,9,0,50,28.04727667570114,0.21247936875531168
236,236,236,236,1-7024,16,4,1-7024,498,68,0,96,104.57077121734619,0.20998146830792408
185,185,185,185,1-8906,13,12,1-8906,15,2,0,3,3.1428366005420685,0.2095224400361379
39,39,39,39,1-7467,14,18,1-7467,64,13,0,1,13.380945533514023,0.2090772739611566
129,129,129,129,1-2573,5,15,1-2573,37,2,0,15,7.714183002710342,0.20849143250568494
418,418,418,418,1-6216,2,1,1-6216,45,9,0,1,9.380945533514023,0.20846545630031163
288,288,288,288,1-8590,4,14,1-8590,24,5,0,0,5.0,0.20833333333333334
214,214,214,214,1-0053,11,5,1-0053,142,15,0,38,29.475930273532867,0.20757697375727371
316,316,316,316,1-7441,12,7,1-7441,111,5,0,47,22.904440075159073,0.20634630698341508
520,520,520,520,1-2034,11,5,1-2034,16,1,0,6,3.285673201084137,0.20535457506775856
106,106,106,106,MLG69,18,8,MLG69,576,83,0,92,118.0469890832901,0.20494268938071197
335,335,335,335,1-8910,5,15,1-8910,137,1,0,71,28.04713287949562,0.20472359766055198
241,241,241,241,1-19448,16,4,1-19448,45,5,0,11,9.190400868654251,0.20423113041453891
330,330,330,330,1-4531,5,15,1-4531,94,13,0,16,19.095128536224365,0.2031396652789826
410,410,410,410,MLG12,13,12,MLG12,146,17,0,33,29.571202605962753,0.2025424836024846
99,99,99,99,1-5775,13,12,1-5775,244,41,0,22,49.3808017373085,0.20238033498896926
383,383,383,383,1-8551,9,13,1-8551,38,5,0,7,7.66661873459816,0.20175312459468842
291,291,291,291,MLG02,1,2,MLG02,320,58,0,17,64.47607406973839,0.20148773146793247
440,440,440,440,MLG52,7,10,MLG52,125,22,0,8,25.047564268112183,0.20038051414489746
535,535,535,535,1-5990,7,10,1-5990,5,1,0,0,1.0,0.2
201,201,201,201,1-9902,1,2,1-9902,30,6,0,0,6.0,0.2
313,313,313,313,1-7521,1,2,1-7521,10,2,0,0,2.0,0.2
401,401,401,401,1-7204,15,6,1-7204,26,4,0,3,5.1428366005420685,0.1978014077131565
243,243,243,243,1-1015,9,13,1-1015,155,5,0,67,30.52335074543953,0.1969248435189647
482,482,482,482,1-4390,5,15,1-4390,45,5,0,10,8.809455335140228,0.1957656741142273
439,439,439,439,MLG72,6,3,MLG72,9,1,0,2,1.7618910670280457,0.1957656741142273
74,74,74,74,1-8124,16,4,1-8124,18,2,0,4,3.5237821340560913,0.1957656741142273
146,146,146,146,1-7453,9,13,1-7453,13,1,0,4,2.5237821340560913,0.19413708723508394
348,348,348,348,1-17758,2,1,1-17758,40,7,0,2,7.761891067028046,0.19404727667570115
413,413,413,413,1-8314,16,4,1-8314,36,2,0,13,6.952291935682297,0.19311922043561935
114,114,114,114,1-7496,3,17,1-7496,246,22,0,66,47.14240521192551,0.19163579354441262
561,561,561,561,1-9455,6,3,1-9455,2,0,0,1,0.3809455335140228,0.1904727667570114
122,122,122,122,MLG42,20,9,MLG42,14,0,0,7,2.66661873459816,0.1904727667570114
397,397,397,397,1-9808,1,2,1-9808,74,12,0,5,13.904727667570114,0.18790172523743398
263,263,263,263,1-6927,14,18,1-6927,179,18,0,41,33.618766874074936,0.18781434007863093
318,318,318,318,1-2324,15,10,1-2324,25,2,0,7,4.66661873459816,0.18666474938392638
481,481,481,481,1-10038,6,8,1-10038,76,13,0,3,14.142836600542068,0.18608995527029037
552,552,552,552,MLG46,7,18,MLG46,17,2,0,3,3.1428366005420685,0.18487274120835698
438,438,438,438,MLG10,17,22,MLG10,60,0,0,29,11.047420471906662,0.1841236745317777
191,191,191,191,1-8328,2,1,1-8328,114,16,0,13,20.952291935682297,0.1837920345235289
154,154,154,154,1-18994,2,1,1-18994,28,4,0,3,5.1428366005420685,0.18367273573364531
356,356,356,356,1-9761,6,3,1-9761,35,3,0,9,6.4285098016262054,0.1836717086178916
247,247,247,247,1-20467,7,10,1-20467,13,2,0,1,2.380945533514023,0.1831496564241556
360,360,360,360,1-6611,9,13,1-6611,89,9,0,19,16.237965136766434,0.18244904648052174
501,501,501,501,1-18487,17,22,1-18487,23,0,0,11,4.190400868654251,0.18219134211540222
219,219,219,219,1-5653,1,2,1-5653,11,2,0,0,2.0,0.18181818181818182
473,473,473,473,1-9452,3,17,1-9452,16,1,0,5,2.904727667570114,0.18154547922313213
352,352,352,352,MLG63,6,3,MLG63,380,44,0,65,68.76145967841148,0.18095120968003023
516,516,516,516,1-5036,11,5,1-5036,14,1,0,4,2.5237821340560913,0.18027015243257796
255,255,255,255,1-9946,10,11,1-9946,12,1,0,3,2.1428366005420685,0.17856971671183905
286,286,286,286,1-3587,3,17,1-3587,46,4,0,11,8.190400868654251,0.17805219279683154
233,233,233,233,MLG07,5,13,MLG07,90,9,0,18,15.857019603252411,0.17618910670280458
73,73,73,73,1-5355,12,7,1-5355,53,7,0,6,9.285673201084137,0.1752013811525309
393,393,393,393,1-7819,20,9,1-7819,59,5,0,14,10.33323746919632,0.1751396181219715
5,5,5,5,1-5549,10,11,1-5549,35,3,0,8,6.047564268112183,0.17278755051749092
260,260,260,260,1-0129,12,7,1-0129,142,18,0,17,24.476074069738388,0.17236671880097457
540,540,540,540,1-5413,3,17,1-5413,39,1,0,15,6.714183002710342,0.1721585385310344
22,22,22,22,1-7995,7,10,1-7995,14,2,0,1,2.380945533514023,0.17006753810814448
103,103,103,103,1-8820,6,11,1-8820,83,7,0,18,13.857019603252411,0.16695204341267966
402,402,402,402,1-5744,1,2,1-5744,18,3,0,0,3.0,0.16666666666666666
549,549,549,549,1-4842,1,2,1-4842,6,1,0,0,1.0,0.16666666666666666
490,490,490,490,1-3551,1,2,1-3551,6,1,0,0,1.0,0.16666666666666666
37,37,37,37,1-5508,9,13,1-5508,38,4,0,6,6.285673201084137,0.16541245266010887
354,354,354,354,1-9417,10,11,1-9417,76,6,0,17,12.476074069738388,0.164158869338663
309,309,309,309,1-3516,9,13,1-3516,156,13,0,33,25.571202605962753,0.16391796542283815
8,8,8,8,1-8181,11,5,1-8181,30,3,0,5,4.904727667570114,0.16349092225233713
514,514,514,514,1-11206,4,22,1-11206,14,0,0,6,2.285673201084137,0.16326237150600978
172,172,172,172,1-8573,1,2,1-8573,184,22,0,20,29.618910670280457,0.1609723405993503
206,206,206,206,1-9752,1,18,1-9752,22,2,0,4,3.5237821340560913,0.1601719151843678
534,534,534,534,1-9457,13,12,1-9457,11,1,0,2,1.7618910670280457,0.1601719151843678
2,2,2,2,MLG17,13,12,MLG17,153,2,0,59,24.475786477327347,0.15997246063612644
395,395,395,395,1-6787,18,8,1-6787,56,7,0,5,8.904727667570114,0.15901299406375205
543,543,543,543,1-5803,2,1,1-5803,15,2,0,1,2.380945533514023,0.1587297022342682
328,328,328,328,1-9497,11,5,1-9497,150,12,0,31,23.809311538934708,0.15872874359289804
453,453,453,453,1-8397,4,24,1-8397,51,0,0,21,7.999856203794479,0.15685992556459763
450,450,450,450,1-2297,10,11,1-2297,25,2,0,5,3.904727667570114,0.15618910670280456
524,524,524,524,1-9338,10,11,1-9338,29,3,0,4,4.523782134056091,0.15599248738124452
314,314,314,314,1-3139,5,15,1-3139,93,3,0,30,14.428366005420685,0.15514372048839445
