Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.2,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
484,484,484,484,484,484,484,MLG31,3,17,MLG31,33,7,0,13,9.863816946744919,0.2989035438407551
341,341,341,341,341,341,341,1-0031,14,12,1-0031,13,3,0,4,3.8811744451522827,0.29855188039632946
290,290,290,290,290,290,290,1-8341,1,10,1-8341,197,49,0,44,58.69291889667511,0.2979335984602797
101,101,101,101,101,101,101,1-9892,4,3,1-9892,22,5,0,7,6.542055279016495,0.2973661490462043
321,321,321,321,321,321,321,1-5172,5,23,1-5172,120,25,0,47,35.35379973053932,0.29461499775449435
466,466,466,466,466,466,466,1-5981,4,3,1-5981,28,6,0,10,8.202936112880707,0.29296200403145384
427,427,427,427,427,427,427,1-9379,15,2,1-9379,58,15,0,8,16.762348890304565,0.2890060153500787
420,420,420,420,420,420,420,1-8172,4,3,1-8172,40,8,0,16,11.52469778060913,0.28811744451522825
237,237,237,237,237,237,237,1-9667,15,2,1-9667,14,4,0,0,4.0,0.2857142857142857
311,311,311,311,311,311,311,1-20578,3,17,1-20578,19,3,0,11,5.4232297241687775,0.2854331433773041
382,382,382,382,382,382,382,1-18558,21,16,1-18558,307,81,0,28,87.16822111606598,0.28393557366796734
257,257,257,257,257,257,257,1-9504,11,14,1-9504,30,8,0,2,8.440587222576141,0.2813529074192047
223,223,223,223,223,223,223,1-0205,1,10,1-0205,34,8,0,7,9.542055279016495,0.28064868467695575
383,383,383,383,383,383,383,1-8551,1,10,1-8551,38,8,0,12,10.643523335456848,0.2800927193541276
66,66,66,66,66,66,66,1-7536,3,17,1-7536,17,1,0,17,4.7449913918972015,0.2791171406998354
554,554,554,554,554,554,554,1-10444,1,10,1-10444,8,2,0,1,2.2202936112880707,0.27753670141100883
353,353,353,353,353,353,353,MLG50,19,8,MLG50,319,82,0,26,87.72763389348984,0.2750082567194039
270,270,270,270,270,270,270,1-1390,4,3,1-1390,98,20,0,30,26.60880833864212,0.2715184524351237
436,436,436,436,436,436,436,1-5161,15,2,1-5161,12,3,0,1,3.2202936112880707,0.2683578009406726
562,562,562,562,562,562,562,1-0003,22,7,1-0003,17,3,0,7,4.542055279016495,0.2671797222950879
414,414,414,414,414,414,414,1-8285,18,4,1-8285,72,17,0,10,19.202936112880707,0.26670744601223206
411,411,411,411,411,411,411,MLG15,19,8,MLG15,105,20,0,36,27.930570006370544,0.2660054286321004
360,360,360,360,360,360,360,1-6611,1,10,1-6611,89,23,0,3,23.660880833864212,0.2658525936389237
424,424,424,424,424,424,424,1-4700,6,1,1-4700,31,8,0,1,8.22029361128807,0.2651707616544539
146,146,146,146,146,146,146,1-7453,1,10,1-7453,13,3,0,2,3.4405872225761414,0.2646605555827801
138,138,138,138,138,138,138,1-5515,18,4,1-5515,29,7,0,3,7.660880833864212,0.2641683046160073
152,152,152,152,152,152,152,1-9500,21,16,1-9500,33,8,0,3,8.660880833864212,0.2624509343595216
462,462,462,462,462,462,462,1-1183,1,10,1-1183,45,8,0,17,11.744991391897202,0.2609998087088267
499,499,499,499,499,499,499,1-8627,18,4,1-8627,25,6,0,2,6.440587222576141,0.25762348890304565
209,209,209,209,209,209,209,1-9938,4,3,1-9938,55,8,0,28,14.168221116065979,0.2576040202921087
