Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,1-1005,2,16,1-1005,125,12,1,59,1036.1665928065777,8.289332742452622
517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,1-18028,2,16,1-18028,309,61,1,61,1085.9857993423939,3.5145171499753847
374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,1-6919,13,15,1-6919,43,49,0,0,49.0,1.1395348837209303
372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,1-6916,2,16,1-6916,43,43,0,6,45.45761960744858,1.0571539443592692
453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,1-8397,13,15,1-8397,51,49,0,2,49.81920653581619,0.9768471869767881
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1-3521,8,9,1-3521,22,21,0,0,21.0,0.9545454545454546
233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,MLG07,22,6,MLG07,90,84,0,3,85.22880980372429,0.9469867755969366
418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,1-6216,18,18,1-6216,45,39,0,7,41.867222875356674,0.9303827305634816
495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,MLG08,20,5,MLG08,107,92,0,7,94.86722287535667,0.8866095595827727
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1-5167,1,8,1-5167,24,21,0,0,21.0,0.875
280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,1-7608,2,16,1-7608,4,3,0,1,3.4096032679080963,0.8524008169770241
421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,1-8398,16,20,1-8398,54,37,0,14,42.73444575071335,0.7913786250132101
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1-18423,13,15,1-18423,47,26,0,27,37.0592882335186,0.788495494330183
