,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
315,1-7140,13,16,1-7140,397,0,0,133,29.631595566868786,0.0746387797654125
316,1-8157,2,21,1-8157,75,4,0,7,5.559557661414146,0.0741274354855219
317,1-7722,11,9,1-7722,60,4,0,2,4.445587903261185,0.0740931317210197
318,1-1989,1,19,1-1989,46,2,0,6,3.336763709783554,0.0725383415170337
319,1-9907,17,5,1-9907,17,1,0,1,1.2227939516305923,0.0719290559782701
320,1-18994,16,18,1-18994,28,0,0,9,2.005145564675331,0.0716123415955475
321,1-7995,1,19,1-7995,14,1,0,0,1.0,0.0714285714285714
322,1-9609,18,16,1-9609,25,0,0,8,1.7823516130447388,0.0712940645217895
323,MLG30,13,16,MLG30,208,3,0,53,14.808079436421394,0.0711926895981797
324,1-3052,4,22,1-3052,166,5,0,30,11.68381854891777,0.070384449089866
325,1-6531,11,9,1-6531,27,1,0,4,1.8911758065223687,0.0700435483897173
326,1-7839,6,6,1-7839,24,1,0,3,1.668381854891777,0.0695159106204907
327,1-9610,8,3,1-9610,49,0,0,15,3.341909274458885,0.0682022300909976
328,MLG38,4,22,MLG38,77,1,0,19,5.233085080981255,0.0679621439088474
329,1-9500,5,24,1-9500,33,0,0,10,2.2279395163059235,0.067513318675937
330,1-5555,8,3,1-5555,10,0,0,3,0.668381854891777,0.0668381854891777
331,1-9331,10,8,1-9331,25,1,0,3,1.668381854891777,0.066735274195671
332,1-8084,19,11,1-8084,82,3,0,11,5.450733467936516,0.0664723593650794
333,1-6914,9,14,1-6914,73,1,0,17,4.78749717772007,0.065582153119453
334,1-5425,12,1,1-5425,17,0,0,5,1.1139697581529615,0.0655276328325271
335,1-1942,2,21,1-1942,34,2,0,1,2.2227939516305923,0.0653762926950174
336,1-1250,2,21,1-1250,34,2,0,1,2.2227939516305923,0.0653762926950174
337,1-8493,12,1,1-8493,38,0,0,11,2.450733467936516,0.0644929859983293
338,1-19547,3,20,1-19547,66,2,0,10,4.227939516305924,0.0640596896409988
339,1-9345,15,8,1-9345,47,1,0,9,3.005145564675331,0.0639392673335176
340,P-16616,20,24,P-16616,28,0,0,8,1.7823516130447388,0.0636554147515978
341,1-3646,16,18,1-3646,7,0,0,2,0.4455879032611847,0.0636554147515978
342,1-7441,4,22,1-7441,111,5,0,9,7.005145564675331,0.0631094195015795
343,1-9614,19,11,1-9614,30,1,0,4,1.8911758065223687,0.0630391935507456
344,1-20167,19,11,1-20167,56,1,0,11,3.450733467936516,0.0616202404988663
345,1-7070,10,8,1-7070,129,5,0,13,7.8963213711977,0.0612117935751759
346,1-6718,15,19,1-6718,20,1,0,1,1.2227939516305923,0.0611396975815296
347,1-18615,4,22,1-18615,22,0,0,6,1.336763709783554,0.0607619868083433
348,1-9722,6,6,1-9722,22,0,0,6,1.336763709783554,0.0607619868083433
349,1-9444,6,6,1-9444,24,1,0,2,1.4455879032611847,0.0602328293025493
350,1-7004,11,9,1-7004,381,12,0,48,22.69410967826844,0.0595645923314132
351,1-5877,14,13,1-5877,79,4,0,3,4.668381854891777,0.0590934412011617
352,1-7536,3,20,1-7536,17,1,0,0,1.0,0.0588235294117647
353,1-5282,1,19,1-5282,17,1,0,0,1.0,0.0588235294117647
354,1-8488,17,5,1-8488,23,0,0,6,1.336763709783554,0.0581201612949371
355,1-4634,19,11,1-4634,48,1,0,8,2.7823516130447388,0.0579656586050987
356,1-18613,9,14,1-18613,25,1,0,2,1.4455879032611847,0.0578235161304473
357,1-9768,8,3,1-9768,241,5,0,40,13.911758065223694,0.0577251372000983
358,1-2596,8,3,1-2596,35,2,0,0,2.0,0.0571428571428571
359,1-6594,15,15,1-6594,70,4,0,0,4.0,0.0571428571428571
360,MLG17,4,22,MLG17,153,6,0,12,8.673527419567108,0.056689721696517
361,1-8093,16,18,1-8093,4,0,0,1,0.2227939516305923,0.055698487907648
362,72-18936,9,14,72-18936,20,0,0,5,1.1139697581529615,0.055698487907648
363,1-4926,2,12,1-4926,4,0,0,1,0.2227939516305923,0.055698487907648
364,1-10444,9,14,1-10444,8,0,0,2,0.4455879032611847,0.055698487907648
365,1-9504,13,16,1-9504,30,1,0,3,1.668381854891777,0.0556127284963925
366,1-8767,7,12,1-8767,48,2,0,3,2.668381854891777,0.0555912886435786
367,1-7509,15,15,1-7509,40,2,0,1,2.2227939516305923,0.0555698487907648
368,MLG37,16,18,MLG37,116,1,0,24,6.347054839134216,0.0547159899925363
369,1-19897,17,5,1-19897,53,2,0,4,2.8911758065223694,0.0545504869155164
370,1-0008,16,18,1-0008,230,9,0,15,12.341909274458883,0.0536604751063429
371,1-9417,12,1,1-9417,76,0,0,18,4.010291129350662,0.0527669885440876
372,1-8100,11,9,1-8100,19,1,0,0,1.0,0.0526315789473684
373,1-0001,6,6,1-0001,17,0,0,4,0.8911758065223694,0.0524221062660217
374,1-8188,18,4,1-8188,140,6,0,6,7.336763709783554,0.0524054550698825
375,1-1972,4,22,1-1972,32,1,0,3,1.668381854891777,0.052136932965368
376,72-0103,6,6,72-0103,71,3,0,3,3.668381854891777,0.0516673500688982
377,1-9794,14,22,1-9794,46,1,0,6,2.336763709783554,0.0507992110822511
378,1-1836,18,4,1-1836,20,1,0,0,1.0,0.05
379,1-9674,12,1,1-9674,144,0,0,32,7.129406452178955,0.0495097670290205
380,MLG72,13,16,MLG72,9,0,0,2,0.4455879032611847,0.0495097670290205
381,1-9938,12,1,1-9938,55,0,0,12,2.673527419567108,0.0486095894466746
382,1-6858,12,1,1-6858,23,0,0,5,1.1139697581529615,0.0484334677457809
383,1-8181,19,11,1-8181,30,1,0,2,1.4455879032611847,0.0481862634420394
384,MLG84,4,22,MLG84,63,1,0,9,3.005145564675331,0.0477007232488147
385,1-8074,16,18,1-8074,145,3,0,17,6.78749717772007,0.0468103253635866
386,1-9740,14,24,1-9740,34,0,0,7,1.5595576614141464,0.045869342982769
387,1-18714,9,14,1-18714,32,1,0,2,1.4455879032611847,0.045174621976912
388,1-3217,16,18,1-3217,5,0,0,1,0.2227939516305923,0.0445587903261184
389,1-17758,4,22,1-17758,40,0,0,8,1.7823516130447388,0.0445587903261184
390,1-5549,12,1,1-5549,35,0,0,7,1.5595576614141464,0.0445587903261184
391,1-4361,8,3,1-4361,10,0,0,2,0.4455879032611847,0.0445587903261184
392,1-9650,12,1,1-9650,25,0,0,5,1.1139697581529615,0.0445587903261184
393,1-7721,13,16,1-7721,20,0,0,4,0.8911758065223694,0.0445587903261184
394,1-8566,17,16,1-8566,5,0,0,1,0.2227939516305923,0.0445587903261184
395,1-6216,4,13,1-6216,45,1,0,4,1.8911758065223687,0.0420261290338304
396,1-4494,16,18,1-4494,16,0,0,3,0.668381854891777,0.041773865930736
397,1-1317,12,1,1-1317,414,0,0,77,17.15513427555561,0.0414375224047236
398,1-3083,17,5,1-3083,78,1,0,10,3.2279395163059235,0.04138383995264
399,1-9578,16,18,1-9578,42,1,0,3,1.668381854891777,0.0397233774974232
400,1-17835,15,9,1-17835,17,0,0,3,0.668381854891777,0.0393165796995162
401,1-6927,12,1,1-6927,179,0,0,31,6.906612500548363,0.0385844273773651
