,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
209,1-1608,16,5,1-1608,307,40,0,44,75.8372015953064,0.2470267152941576
210,1-18487,17,9,1-18487,23,4,0,2,5.628963708877564,0.244737552559894
211,1-5555,1,24,1-5555,10,0,0,3,2.443445563316345,0.2443445563316345
212,1-5626,5,10,1-5626,125,8,0,27,29.991010069847107,0.2399280805587768
213,MLG45,19,20,MLG45,70,7,0,12,16.77378225326538,0.239625460760934
214,1-0358,18,9,1-0358,22,2,0,4,5.257927417755127,0.2389967008070512
215,1-7070,21,7,1-7070,129,23,0,9,30.33033668994904,0.2351188890693723
216,1-9610,12,19,1-9610,49,5,0,8,11.515854835510254,0.2350174456226582
217,1-9394,9,21,1-9394,117,25,0,3,27.443445563316345,0.2345593637890285
218,1-7321,12,19,1-7321,7,0,0,2,1.6289637088775637,0.2327091012682233
219,1-9283,14,15,1-9283,235,40,0,18,54.66067337989807,0.2325986101272258
220,1-9697,19,5,1-9697,20,3,0,2,4.628963708877564,0.2314481854438781
221,1-7496,3,17,1-7496,246,34,0,28,56.80549192428589,0.2309166338385605
222,1-6980,21,7,1-6980,128,10,0,24,29.54756450653076,0.2308403477072715
223,1-9752,23,22,1-9752,22,1,0,5,5.072409272193909,0.2305640578269958
224,1-3523,15,4,1-3523,543,72,0,65,124.9413205385208,0.2300945129622851
225,1-18028,2,8,1-18028,309,14,0,70,71.01372981071472,0.2298178958275557
226,1-1258,18,9,1-1258,435,18,0,100,99.44818544387816,0.2286165182617889
227,1-18563,5,10,1-18563,8,1,0,1,1.8144818544387813,0.2268102318048477
228,1-7874,5,10,1-7874,258,5,0,65,57.94132053852081,0.2245787617772124
229,1-1207,9,21,1-1207,66,5,0,12,14.77378225326538,0.223845185655536
230,1-8181,10,16,1-8181,30,1,0,7,6.701372981071472,0.223379099369049
231,1-9497,11,14,1-9497,150,9,0,30,33.43445563316345,0.2228963708877563
232,1-7268,13,6,1-7268,70,5,0,13,15.588264107704164,0.2226894872529166
233,1-7481,1,24,1-7481,33,0,0,9,7.330336689949036,0.2221314148469404
234,1-9055,3,17,1-9055,12,1,0,2,2.6289637088775635,0.2190803090731302
235,1-9946,18,9,1-9946,12,1,0,2,2.6289637088775635,0.2190803090731302
236,1-5161,21,7,1-5161,12,1,0,2,2.6289637088775635,0.2190803090731302
237,1-17907,3,17,1-17907,119,13,0,16,26.031709671020508,0.2187538627816849
238,MLG37,20,18,MLG37,116,17,0,10,25.144818544387817,0.2167656771067915
239,1-4052,13,20,1-4052,13,2,0,1,2.8144818544387817,0.2164986041875986
240,1-8018,14,15,1-8018,58,6,0,8,12.515854835510254,0.2157906006122457
241,MLG50,20,18,MLG50,319,49,0,24,68.54756450653076,0.2148826473558958
242,1-7722,3,17,1-7722,60,12,0,1,12.814481854438782,0.2135746975739797
243,1-6240,16,5,1-6240,698,54,0,116,148.47989511489868,0.2127219127720611
244,1-18603,5,10,1-18603,19,4,0,0,4.0,0.2105263157894736
245,1-0278,8,2,1-0278,79,15,0,2,16.628963708877563,0.2104932115047793
246,1-9650,18,9,1-9650,25,2,0,4,5.257927417755127,0.210317096710205
247,1-7682,1,24,1-7682,141,0,0,36,29.321346759796143,0.2079528138992634
248,1-1769,22,2,1-1769,89,16,0,3,18.443445563316345,0.2072297254305207
249,1-3516,21,7,1-3516,156,11,0,26,32.176528215408325,0.2062597962526174
250,1-4417,23,22,1-4417,151,14,0,21,31.104118943214417,0.2059875426702941
251,MLG53,14,15,MLG53,91,13,0,7,18.701372981071472,0.2055095931985876
252,1-5891,2,8,1-5891,96,9,0,13,19.588264107704163,0.204044417788585
253,1-3596,21,7,1-3596,223,21,0,30,45.43445563316345,0.2037419535119437
254,1-4926,9,21,1-4926,4,0,0,1,0.8144818544387817,0.2036204636096954
255,1-9733,1,24,1-9733,4,0,0,1,0.8144818544387817,0.2036204636096954
256,1-8532,3,17,1-8532,4,0,0,1,0.8144818544387817,0.2036204636096954
257,1-4910,12,19,1-4910,4,0,0,1,0.8144818544387817,0.2036204636096954
258,1-7897,16,5,1-7897,95,12,0,9,19.33033668994904,0.203477228315253
259,1-0055,10,5,1-0055,18,2,0,2,3.628963708877564,0.2016090949376424
260,1-1972,22,2,1-1972,32,4,0,3,6.443445563316345,0.2013576738536358
261,MLG43,9,5,MLG43,14,2,0,1,2.8144818544387817,0.2010344181741987
262,1-3647,2,8,1-3647,5,1,0,0,1.0,0.2
263,1-4361,8,11,1-4361,10,2,0,0,2.0,0.2
264,1-6296,23,22,1-6296,254,17,0,41,50.39375603199005,0.1984006142991734
265,1-3206,15,4,1-3206,45,8,0,1,8.814481854438782,0.195877374543084
266,1-8095,2,8,1-8095,46,9,0,0,9.0,0.1956521739130435
267,1-1592,3,17,1-1592,32,3,0,4,6.257927417755127,0.1955602318048477
268,1-8084,14,15,1-8084,82,3,0,16,16.031709671020508,0.1955086545246403
269,1-3106,20,18,1-3106,34,5,0,2,6.628963708877564,0.1949695208493401
270,1-9110,21,7,1-9110,29,4,0,2,5.628963708877564,0.194102196857847
271,1-1827,23,22,1-1827,24,3,0,2,4.628963708877564,0.1928734878698984
272,1-1177,20,10,1-1177,17,0,0,4,3.257927417755127,0.1916427892797133
273,1-1462,4,1,1-1462,192,11,0,31,36.24893748760224,0.1887965494145949
274,1-19915,8,11,1-19915,62,10,0,2,11.628963708877563,0.1875639307883478
275,1-8127,20,18,1-8127,32,6,0,0,6.0,0.1875
276,1-8066,23,22,1-8066,86,3,0,16,16.031709671020508,0.1864152287327966
277,MLG63,22,2,MLG63,380,61,0,12,70.77378225326538,0.1862467954033299
278,1-4634,3,17,1-4634,48,4,0,6,8.88689112663269,0.185143565138181
279,1-6647,13,24,1-6647,62,0,0,14,11.402745962142944,0.1839152574539184
280,1-4929,11,14,1-4929,10,1,0,1,1.8144818544387813,0.1814481854438781
281,1-10539,10,16,1-10539,63,4,0,9,11.330336689949036,0.1798466141261751
282,1-7004,10,16,1-7004,381,7,0,75,68.08613908290863,0.1787037771204951
283,1-8659,13,6,1-8659,91,8,0,10,16.144818544387817,0.1774155883998661
284,1-17835,12,17,1-17835,17,3,0,0,3.0,0.1764705882352941
285,1-9606,7,12,1-9606,16,2,0,1,2.8144818544387817,0.1759051159024238
286,1-5163,15,4,1-5163,16,2,0,1,2.8144818544387817,0.1759051159024238
287,1-11206,1,24,1-11206,14,0,0,3,2.443445563316345,0.1745318259511675
288,1-18423,4,1,1-18423,47,0,0,10,8.144818544387817,0.1732940115827195
289,1-9436,23,22,1-9436,21,2,0,2,3.628963708877564,0.1728077956608363
290,1-8042,16,5,1-8042,52,0,0,11,8.9593003988266,0.172294238438973
291,MLG57,12,19,MLG57,629,39,0,84,107.41647577285768,0.1707734114035893
292,1-9331,11,14,1-9331,25,1,0,4,4.257927417755127,0.1703170967102051
293,1-7005,22,2,1-7005,285,7,0,51,48.53857457637787,0.1703107879872907
294,1-9496,11,14,1-9496,39,5,0,2,6.628963708877564,0.169973428432758
295,1-18935,6,3,1-18935,30,1,0,5,5.072409272193909,0.1690803090731303
296,1-7845,6,7,1-7845,36,2,0,5,6.072409272193909,0.1686780353387197
297,1-8427,10,16,1-8427,189,13,0,23,31.73308265209198,0.1678999082121268
298,1-9740,1,24,1-9740,34,0,0,7,5.701372981071472,0.1676874406197492
