Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
265,265,265,265,265,265,265,265,265,265,265,265,265,1-1204,19,1-1204,20,39,5,0,13,11.952536284923553,0.3064752893570142
267,267,267,267,267,267,267,267,267,267,267,267,267,1-5413,5,1-5413,10,39,5,0,13,11.952536284923553,0.3064752893570142
129,129,129,129,129,129,129,129,129,129,129,129,129,1-4531,8,1-4531,21,94,18,0,20,28.69620966911316,0.30527882626716124
43,43,43,43,43,43,43,43,43,43,43,43,43,MLG14,20,MLG14,6,232,32,0,72,70.50635480880737,0.3039067017621008
47,47,47,47,47,47,47,47,47,47,47,47,47,1-0303,14,1-0303,15,212,16,0,90,64.13294351100922,0.3025138844858925
269,269,269,269,269,269,269,269,269,269,269,269,269,1-8551,8,1-8551,14,38,4,0,14,11.487346768379211,0.302298599167874
386,386,386,386,386,386,386,386,386,386,386,386,386,1-4855,7,1-4855,12,22,5,0,3,6.604431450366974,0.3002014295621352
174,174,174,174,174,174,174,174,174,174,174,174,174,MLG41,4,MLG41,9,66,16,0,7,19.743673384189606,0.29914656642711523
425,425,425,425,425,425,425,425,425,425,425,425,425,1-0003,20,1-0003,6,17,4,0,2,5.069620966911316,0.2982129980536068
345,345,345,345,345,345,345,345,345,345,345,345,345,1-3584,18,1-3584,21,26,4,0,7,7.743673384189606,0.2978335916996002
155,155,155,155,155,155,155,155,155,155,155,155,155,1-8157,12,1-8157,17,75,19,0,6,22.208862900733948,0.29611817200978596
46,46,46,46,46,46,46,46,46,46,46,46,46,1-2282,19,1-2282,20,219,52,0,24,64.83545160293579,0.2960522904243643
455,455,455,455,455,455,455,455,455,455,455,455,455,1-18377,8,1-18377,14,14,2,0,4,4.139241933822632,0.295660138130188
143,143,143,143,143,143,143,143,143,143,143,143,143,1-9286,5,1-9286,10,81,10,0,26,23.905072569847107,0.2951243527141618
