Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
478,478,478,478,478,478,478,478,478,478,1-9394,11,17,1-9394,117,60,0,22,78.91594314575195,0.6744952405619825
282,282,282,282,282,282,282,282,282,282,1-1608,14,11,1-1608,307,33,0,202,206.6827507019043,0.6732337156413821
434,434,434,434,434,434,434,434,434,434,MLG59,17,9,MLG59,71,26,0,25,47.49538993835449,0.6689491540613309
359,359,359,359,359,359,359,359,359,359,1-4417,18,15,1-4417,151,13,0,102,100.70119094848633,0.6668953042946114
68,68,68,68,68,68,68,68,68,68,1-7845,16,3,1-7845,36,4,0,22,22.915943145751953,0.6365539762708876
342,342,342,342,342,342,342,342,342,342,MLG65,7,12,MLG65,201,40,0,102,127.70119094848633,0.6353293082014245
426,426,426,426,426,426,426,426,426,426,1-4355,9,5,1-4355,49,25,0,5,29.2990779876709,0.5979403670953245
462,462,462,462,462,462,462,462,462,462,1-1183,20,14,1-1183,45,4,0,26,26.355205535888672,0.5856712341308594
443,443,443,443,443,443,443,443,443,443,1-3447,16,3,1-3447,110,13,0,59,63.7291202545166,0.5793556386774237
271,271,271,271,271,271,271,271,271,271,1-7897,11,17,1-7897,95,2,0,61,54.44875144958496,0.5731447521008943
174,174,174,174,174,174,174,174,174,174,MLG38,7,12,MLG38,77,26,0,21,44.05612754821777,0.5721575006262049
234,234,234,234,234,234,234,234,234,234,MLG29,10,6,MLG29,164,39,0,59,89.7291202545166,0.5471287820397354
437,437,437,437,437,437,437,437,437,437,1-6980,20,14,1-6980,128,41,0,33,69.37391471862793,0.5419837087392807
370,370,370,370,370,370,370,370,370,370,MLG62,7,12,MLG62,525,26,0,289,274.48670768737793,0.5228318241664341
353,353,353,353,353,353,353,353,353,353,MLG50,16,3,MLG50,319,67,0,113,164.1591625213623,0.5146055251453364
236,236,236,236,236,236,236,236,236,236,1-7024,20,14,1-7024,498,89,0,194,255.80422592163086,0.5136631042603029
311,311,311,311,311,311,311,311,311,311,1-20578,1,18,1-20578,19,8,0,2,9.71963119506836,0.5115595365825453
422,422,422,422,422,422,422,422,422,422,1-6878,18,15,1-6878,167,47,0,44,84.8318862915039,0.5079753670149935
244,244,244,244,244,244,244,244,244,244,MLG57,21,10,MLG57,629,63,0,290,312.3465232849121,0.49657634862466155
250,250,250,250,250,250,250,250,250,250,1-9333,11,17,1-9333,102,28,0,26,50.35520553588867,0.4936784856459674
346,346,346,346,346,346,346,346,346,346,MLG32,2,21,MLG32,52,11,0,17,25.616865158081055,0.4926320222707895
485,485,485,485,485,485,485,485,485,485,1-5980,10,6,1-5980,29,9,0,6,14.158893585205078,0.48823770983465786
390,390,390,390,390,390,390,390,390,390,MLG64,12,2,MLG64,245,23,0,112,119.29934692382812,0.48693610989317604
24,24,24,24,24,24,24,24,24,24,1-7140,18,15,1-7140,397,96,0,113,193.1591625213623,0.48654700886993024
384,384,384,384,384,384,384,384,384,384,1-9270,1,13,1-9270,128,21,0,48,62.271148681640625,0.4864933490753174
170,170,170,170,170,170,170,170,170,170,1-5043,1,13,1-5043,123,14,0,53,59.57022666931152,0.484310785929362
427,427,427,427,427,427,427,427,427,427,1-9379,7,12,1-9379,58,16,0,14,28.037418365478516,0.4834037649220434
260,260,260,260,260,260,260,260,260,260,1-0129,1,13,1-0129,142,24,0,51,67.85059547424316,0.47782109488903635
10,10,10,10,10,10,10,10,10,10,1-7964,18,15,1-7964,202,14,0,94,94.82266616821289,0.46941913944659847
399,399,399,399,399,399,399,399,399,399,MLG60,13,19,MLG60,47,9,0,15,21.897233963012695,0.4658985949577169
429,429,429,429,429,429,429,429,429,429,1-6693,10,6,1-6693,98,19,0,31,45.65428352355957,0.4658600359546895
519,519,519,519,519,519,519,519,519,519,1-4926,10,2,1-4926,4,1,0,1,1.8598155975341797,0.4649538993835449
294,294,294,294,294,294,294,294,294,294,1-3509,21,10,1-3509,35,11,0,6,16.158893585205078,0.4616826738630022
321,321,321,321,321,321,321,321,321,321,1-5172,1,13,1-5172,120,5,0,58,54.86930465698242,0.4572442054748535
