,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
468,72-12387,8,2,72-12387,71,1,0,3,2.829775273799896,0.0398559897718295
469,1-18735,15,13,1-18735,27,1,0,0,1.0,0.037037037037037
470,1-6531,1,18,1-6531,27,1,0,0,1.0,0.037037037037037
471,1-8021,8,2,1-8021,58,2,0,0,2.0,0.0344827586206896
472,1-18203,16,13,1-18203,29,1,0,0,1.0,0.0344827586206896
473,1-3108,3,23,1-3108,18,0,0,1,0.6099250912666321,0.0338847272925906
474,1-9495,12,4,1-9495,18,0,0,1,0.6099250912666321,0.0338847272925906
475,1-1836,3,23,1-1836,20,0,0,1,0.6099250912666321,0.0304962545633316
476,1-20003,5,9,1-20003,21,0,0,1,0.6099250912666321,0.0290440519650777
477,MLG15,3,23,MLG15,105,0,0,5,3.0496254563331604,0.0290440519650777
478,1-6916,8,2,1-6916,43,0,0,2,1.2198501825332642,0.0283686088961224
479,1-7341,3,23,1-7341,110,0,0,5,3.0496254563331604,0.0277238677848469
480,1-7722,11,7,1-7722,60,1,0,1,1.609925091266632,0.0268320848544438
481,1-7066,8,2,1-7066,23,0,0,1,0.6099250912666321,0.026518482228984
482,1-9394,3,23,1-9394,117,0,0,5,3.0496254563331604,0.0260651748404543
483,1-10696,10,23,1-10696,24,0,0,1,0.6099250912666321,0.025413545469443
484,1-8186,17,21,1-8186,26,0,0,1,0.6099250912666321,0.0234586573564089
485,1-9850,1,18,1-9850,27,0,0,1,0.6099250912666321,0.0225898181950604
486,1-19549,22,20,1-19549,29,0,0,1,0.6099250912666321,0.0210318996988493
487,1-5980,20,23,1-5980,29,0,0,1,0.6099250912666321,0.0210318996988493
488,1-0405,13,7,1-0405,64,0,0,2,1.2198501825332642,0.0190601591020822
489,1-9646,7,5,1-9646,105,2,0,0,2.0,0.019047619047619
490,1-1390,3,23,1-1390,98,0,0,3,1.829775273799896,0.0186711762632642
491,1-2104,13,7,1-2104,36,0,0,1,0.6099250912666321,0.0169423636462953
492,1-2025,7,5,1-2025,41,0,0,1,0.6099250912666321,0.0148762217382105
493,1-8174,18,14,1-8174,45,0,0,1,0.6099250912666321,0.0135538909170362
494,1-4390,3,23,1-4390,45,0,0,1,0.6099250912666321,0.0135538909170362
495,1-8544,3,23,1-8544,54,0,0,1,0.6099250912666321,0.0112949090975302
496,1-17790,7,5,1-17790,5,0,0,0,0.0,0.0
497,1-1972,3,23,1-1972,32,0,0,0,0.0,0.0
498,1-7525,4,10,1-7525,6,0,0,0,0.0,0.0
499,1-19813,1,18,1-19813,20,0,0,0,0.0,0.0
500,1-7721,1,18,1-7721,20,0,0,0,0.0,0.0
501,1-10232,7,5,1-10232,5,0,0,0,0.0,0.0
502,1-10951,1,18,1-10951,1,0,0,0,0.0,0.0
503,1-8352,1,18,1-8352,1,0,0,0,0.0,0.0
504,1-7213,3,23,1-7213,23,0,0,0,0.0,0.0
505,1-1177,4,10,1-1177,17,0,0,0,0.0,0.0
506,1-8623,4,10,1-8623,5,0,0,0,0.0,0.0
507,1-9447,14,8,1-9447,7,0,0,0,0.0,0.0
508,1-8767,5,17,1-8767,48,0,0,0,0.0,0.0
509,1-8125,10,1,1-8125,21,0,0,0,0.0,0.0
510,1-9253,1,18,1-9253,24,0,0,0,0.0,0.0
511,1-8020,5,9,1-8020,56,0,0,0,0.0,0.0
512,1-5929,11,19,1-5929,4,0,0,0,0.0,0.0
513,1-9806,3,23,1-9806,8,0,0,0,0.0,0.0
514,1-19927,8,2,1-19927,1,0,0,0,0.0,0.0
515,1-4051,16,6,1-4051,5,0,0,0,0.0,0.0
516,1-19924,3,23,1-19924,1,0,0,0,0.0,0.0
517,1-4361,4,10,1-4361,10,0,0,0,0.0,0.0
518,1-10922,10,1,1-10922,1,0,0,0,0.0,0.0
519,1-19839,5,9,1-19839,13,0,0,0,0.0,0.0
520,1-9697,1,23,1-9697,20,0,0,0,0.0,0.0
521,1-4926,1,23,1-4926,4,0,0,0,0.0,0.0
522,1-18202,3,23,1-18202,23,0,0,0,0.0,0.0
523,1-5167,1,18,1-5167,24,0,0,0,0.0,0.0
524,1-17645,1,18,1-17645,9,0,0,0,0.0,0.0
525,1-3647,9,17,1-3647,5,0,0,0,0.0,0.0
526,1-18498,13,7,1-18498,13,0,0,0,0.0,0.0
527,1-10762,9,23,1-10762,6,0,0,0,0.0,0.0
