Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,15,6,1-5002,45,24,0,9,29.215506613254547,0.6492334802945455
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,18,15,1-6858,23,8,0,10,13.795007348060608,0.5997829281765482
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1-5775,9,8,1-5775,244,91,0,90,143.15506613254547,0.5867010907071536
250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-9333,9,8,1-9333,102,14,0,64,51.08804702758789,0.5008632061528224
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,20,16,1-3447,110,42,0,22,54.74901616573334,0.497718328779394
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,7,14,1-1390,98,38,0,17,47.85151249170303,0.48828073971125546
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,17,10,1-1989,46,20,0,4,22.318002939224243,0.48517397693965747
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,17,10,1-8627,25,9,0,5,11.897503674030304,0.47590014696121213
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,20,16,1-1608,307,101,0,70,141.56505143642426,0.46112394604698453
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,13,3,1-11350,100,13,0,56,45.452041149139404,0.45452041149139405
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,6,7,1-1258,435,91,0,176,192.9921293258667,0.4436600674157855
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,15,6,MLG50,319,87,0,94,141.47306907176971,0.44348924473909
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,5,12,MLG59,71,10,0,37,31.44152718782425,0.4428384110961162
320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,MLG13,11,5,MLG13,140,33,0,49,61.39553600549698,0.438539542896407
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,MLG38,1,2,MLG38,77,32,0,3,33.73850220441818,0.43816236629114524
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,1-0129,6,7,1-0129,142,40,0,38,62.02102792263031,0.4367678022720444
415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,20,16,1-1957,47,11,0,15,19.692511022090912,0.4189895962147003
232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1-18371,7,14,1-18371,120,22,0,48,49.81603527069092,0.41513362725575764
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,21,4,1-3535,315,99,0,46,125.6570338010788,0.39891121841612315
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,16,17,MLG51,248,64,0,58,97.61104261875153,0.39359291378528843
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,6,7,1-9270,128,33,0,29,49.80552130937576,0.38910563522949815
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,15,6,MLG54,595,184,0,79,229.7805580496788,0.38618581184819967
375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,22,13,MLG14,232,54,0,59,88.19054335355759,0.3801316523860241
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,6,7,1-1570,142,26,0,48,53.81603527069092,0.3789861638781051
461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,1-9651,10,11,1-9651,38,8,0,11,14.374508082866669,0.3782765284964913
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,1-9496,18,15,1-9496,39,3,0,20,14.590014696121216,0.374102940926185
363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,1-10785,6,7,1-10785,279,51,0,91,103.73456686735153,0.3718084833955252
208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,1-10468,18,15,1-10468,549,123,0,126,196.01709258556366,0.3570438844910085
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,11,5,1-4531,94,13,0,35,33.28252571821213,0.35406942253417156
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,13,3,1-7866,318,27,0,147,112.18660801649094,0.3527880755235564
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,9,8,MLG68,642,129,0,164,224.03812050819397,0.34896903505949217
349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,1-3052,11,5,1-3052,166,27,0,53,57.71353894472122,0.3476719213537423
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,1,2,1-2382,139,39,0,15,47.69251102209091,0.343111590086985
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-6974,21,14,1-6974,207,49,0,38,71.02102792263031,0.3430967532494218
339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,1-3523,13,3,1-3523,543,47,0,236,183.76217341423035,0.3384202088659859
414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,1-8285,17,10,1-8285,72,15,0,16,24.272011756896973,0.33711127440134686
314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,1-3139,11,5,1-3139,93,11,0,34,30.703024983406067,0.3301400535850115
365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,MLG48,10,11,MLG48,159,9,0,75,52.46255511045456,0.3299531767953117
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,20,16,MLG56,511,94,0,128,168.17609405517578,0.3291117300492677
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,6,7,1-9963,116,20,0,31,37.964522778987885,0.32728036878437833
333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,1-11329,2,20,1-11329,14,4,0,1,4.579500734806061,0.3271071953432901
433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,1-5654,1,22,1-5654,15,2,0,5,4.897503674030304,0.3265002449353536
324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,1-6734,6,7,1-6734,44,9,0,9,14.215506613254547,0.32307969575578516
382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,1-18558,12,9,1-18558,307,45,0,93,98.89356833696365,0.32212888709108684
471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,1-9794,9,8,1-9794,46,9,0,10,14.795007348060608,0.3216305945230567
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,20,22,1-1350,195,51,0,20,62.590014696121216,0.3209744343390832
210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,1-7842,2,20,1-7842,21,5,0,3,6.738502204418182,0.3208810573532468
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,16,17,1-5981,28,6,0,5,8.897503674030304,0.3177679883582251
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,1-5653,2,20,1-5653,11,0,0,6,3.4770044088363647,0.31609130989421497
370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,MLG62,12,9,MLG62,525,69,0,167,165.77662271261215,0.31576499564307076
453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,1-8397,20,16,1-8397,51,12,0,7,16.056505143642426,0.3148334341890672
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,1-2153,20,16,1-2153,13,0,0,7,4.0565051436424255,0.3120388572032635
231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,1-8450,7,14,1-8450,52,11,0,9,16.215506613254547,0.3118366656395105
436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,1-5161,7,14,1-5161,12,2,0,3,3.7385022044181824,0.3115418503681819
514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,1-11206,13,3,1-11206,14,2,0,4,4.318002939224243,0.3084287813731602
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,12,21,1-0296,41,8,0,8,12.636005878448486,0.30819526532801184
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,17,10,MLG52,125,13,0,44,38.498032331466675,0.3079842586517334
224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,1-9227,11,5,1-9227,801,75,0,296,246.532217502594,0.3077805461954981
344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,1-6035,6,7,1-6035,23,3,0,7,7.0565051436424255,0.30680457146271417
478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,22,13,1-9394,117,19,0,29,35.80552130937576,0.3060300966613313
503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,1-9076,20,16,1-9076,9,1,0,3,2.7385022044181824,0.30427802271313137
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,4,18,1-3584,26,5,0,5,7.897503674030304,0.30375014130885786
487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,1-6900,12,9,1-6900,67,12,0,14,20.11301028728485,0.3001941833923112
271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,1-7897,21,4,1-7897,95,25,0,6,28.477004408836365,0.29975794114564597
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1-7467,10,3,1-7467,64,7,0,21,19.169515430927277,0.2995236786082387
403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,1-1770,16,17,1-1770,35,7,0,6,10.477004408836365,0.29934298310961044
