Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,MLG51,7,MLG51,16,248,59,0,55,76.39538729190826,0.3080459164996301
449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,MLG43,4,MLG43,4,14,3,0,4,4.2651190757751465,0.3046513625553676
462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,1-4052,8,1-4052,17,13,3,0,3,3.94883930683136,0.30375686975625843
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,1-9491,15,1-9491,20,80,15,0,28,23.855833530426025,0.29819791913032534
368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,1-6858,13,1-6858,5,23,2,0,15,6.744196534156799,0.29322593626768695
184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,1-2701,14,1-2701,19,61,15,0,9,17.84651792049408,0.29256586754908326
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,1-1224,7,1-1224,16,151,33,0,35,44.06979191303253,0.2918529265763744
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-3584,8,1-3584,17,26,6,0,5,7.581398844718933,0.2915922632584205
505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,1-9855,15,1-9855,20,8,2,0,1,2.3162797689437866,0.2895349711179733
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-10444,14,1-10444,19,8,2,0,1,2.3162797689437866,0.2895349711179733
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1-2382,4,1-2382,4,139,32,0,26,40.22327399253845,0.28937607188876585
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-8646,4,1-8646,5,20,1,0,15,5.744196534156799,0.28720982670783995
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-4098,8,1-4098,17,16,3,0,5,4.581398844718933,0.2863374277949333
390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,1-20003,16,1-20003,9,21,6,0,0,6.0,0.2857142857142857
448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,MLG42,11,MLG42,11,14,3,0,3,3.94883930683136,0.2820599504879543
324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,1-5515,11,1-5515,11,29,4,0,13,8.111636996269226,0.2797116205610078
247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,1-6734,6,1-6734,14,44,9,0,10,12.162797689437866,0.27642722021449695
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,1-9674,12,1-9674,6,144,36,0,11,39.47907745838165,0.2741602601276504
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1-1131,10,1-1131,12,138,34,0,12,37.79535722732544,0.27387940019801044
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,1-1350,11,1-1350,11,195,27,0,83,53.25122082233429,0.2730831837042784
