Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
339,339,339,1-3523,8,8,1-3523,543,130,0,107,232.08493852615356,0.4274124098087543
161,161,161,MLG41,13,18,MLG41,66,11,0,18,28.17316722869873,0.42686617013179895
205,205,205,1-8018,2,6,1-8018,58,19,0,6,24.72438907623291,0.42628257027987776
334,334,334,1-20641,10,17,1-20641,16,3,0,4,6.816259384155273,0.4260162115097046
488,488,488,1-11350,8,8,1-11350,100,26,0,17,42.21910238265991,0.4221910238265991
306,306,306,1-18377,2,6,1-18377,14,4,0,2,5.908129692077637,0.4220092637198312
517,517,517,1-18028,14,10,1-18028,309,25,0,110,129.94713306427002,0.42054088370313925
49,49,49,1-2178,1,11,1-2178,12,5,0,0,5.0,0.4166666666666667
363,363,363,1-10785,10,17,1-10785,279,15,0,106,116.13087368011475,0.41623969060973026
264,264,264,P-0009,4,7,P-0009,7,1,0,2,2.9081296920776367,0.41544709886823383
255,255,255,1-9946,5,20,1-9946,12,4,0,1,4.954064846038818,0.41283873716990155
266,266,266,1-2103,1,11,1-2103,26,5,0,6,10.72438907623291,0.412476502932035
516,516,516,1-5036,17,9,1-5036,14,1,0,5,5.770324230194092,0.4121660164424351
494,494,494,1-3265,13,18,1-3265,19,4,0,4,7.816259384155273,0.41138207285027756
419,419,419,1-6692,9,12,1-6692,71,12,0,18,29.17316722869873,0.4108896792774469
369,369,369,1-6594,7,14,1-6594,70,3,0,27,28.759750843048096,0.41085358347211565
378,378,378,1-6561,10,17,1-6561,65,17,0,10,26.540648460388184,0.40831766862135666
485,485,485,1-5980,13,15,1-5980,29,8,0,4,11.816259384155273,0.4074572201432853
202,202,202,1-8988,8,8,1-8988,29,8,0,4,11.816259384155273,0.4074572201432853
261,261,261,1-1942,7,14,1-1942,34,10,0,4,13.816259384155273,0.40636057012221394
486,486,486,1-8678,19,13,1-8678,17,5,0,2,6.908129692077637,0.40636057012221394
330,330,330,1-4531,7,14,1-4531,94,15,0,24,37.89755630493164,0.40316549260565576
336,336,336,1-1827,4,7,1-1827,24,2,0,8,9.632518768310547,0.40135494867960614
472,472,472,1-9518,8,8,1-9518,22,5,0,4,8.816259384155273,0.4007390629161488
211,211,211,1-5406,2,6,1-5406,10,4,0,0,4.0,0.4
521,521,521,1-19549,1,11,1-19549,29,2,0,10,11.540648460388184,0.3979533951857994
458,458,458,1-7182,19,13,1-7182,22,3,0,6,8.72438907623291,0.3965631398287686
24,24,24,1-7140,20,19,1-7140,397,37,0,126,157.2121706008911,0.3960004297251665
8,8,8,1-8181,17,9,1-8181,30,8,0,4,11.816259384155273,0.3938753128051758
448,448,448,1-3106,17,9,1-3106,34,0,0,14,13.356907844543457,0.39285023072186637
135,135,135,1-9712,15,5,1-9712,10,2,0,2,3.9081296920776367,0.39081296920776365
287,287,287,1-9836,9,12,1-9836,5,1,0,1,1.9540648460388184,0.39081296920776365
414,414,414,1-8285,14,10,1-8285,72,8,0,21,28.035361766815186,0.3893800245390998
43,43,43,1-8705,13,18,1-8705,48,11,0,8,18.632518768310547,0.38817747433980304
344,344,344,1-6035,17,9,1-6035,23,6,0,3,8.862194538116455,0.3853128060050633
77,77,77,1-2153,14,10,1-2153,13,5,0,0,5.0,0.38461538461538464
558,558,558,1-0055,12,15,1-0055,18,5,0,2,6.908129692077637,0.38378498289320206
286,286,286,1-3587,12,15,1-3587,46,9,0,9,17.586583614349365,0.3823170350945514
535,535,535,1-5990,8,8,1-5990,5,0,0,2,1.9081296920776367,0.38162593841552733
335,335,335,1-8910,14,10,1-8910,137,37,0,16,52.265037536621094,0.3814966243548985
384,384,384,1-9270,10,17,1-9270,128,23,0,27,48.759750843048096,0.38093555346131325
189,189,189,1-9156,9,12,1-9156,268,40,0,65,102.0142149925232,0.3806500559422507
214,214,214,1-0053,17,9,1-0053,142,33,0,22,53.989426612854004,0.3802072296679859
495,495,495,MLG08,1,11,MLG08,107,34,0,7,40.67845392227173,0.3801724665632872
324,324,324,1-6734,10,17,1-6734,44,11,0,6,16.72438907623291,0.38009975173256616
399,399,399,MLG60,2,6,MLG60,47,12,0,6,17.72438907623291,0.3771146611964449
145,145,145,MLG06,10,17,MLG06,18,2,0,5,6.770324230194092,0.3761291238996718
527,527,527,1-5531,3,23,1-5531,8,3,0,0,3.0,0.375
386,386,386,MLG68,19,13,MLG68,642,56,0,193,240.13451528549194,0.37404130106774447
292,292,292,1-9997,1,11,1-9997,16,5,0,1,5.954064846038818,0.37212905287742615
539,539,539,1-9436,20,19,1-9436,21,3,0,5,7.770324230194092,0.370015439533052
554,554,554,1-10444,4,7,1-10444,8,2,0,1,2.9540648460388184,0.3692581057548523
366,366,366,1-5163,4,7,1-5163,16,4,0,2,5.908129692077637,0.3692581057548523
520,520,520,1-2034,14,10,1-2034,16,3,0,3,5.862194538116455,0.36638715863227844
170,170,170,1-5043,1,11,1-5043,123,22,0,24,44.89755630493164,0.3650207829669239
457,457,457,1-8503,19,13,1-8503,16,2,0,4,5.816259384155273,0.3635162115097046
132,132,132,1-9110,4,7,1-9110,29,1,0,10,10.540648460388184,0.3634706365651098
51,51,51,1-9925,19,13,1-9925,93,26,0,8,33.63251876831055,0.3616399867560274
230,230,230,1-3089,1,11,1-3089,16,1,0,5,5.770324230194092,0.36064526438713074
315,315,315,1-1769,16,22,1-1769,89,13,0,20,32.08129692077637,0.3604640103458019
180,180,180,1-0037,1,11,1-0037,35,4,0,9,12.586583614349365,0.35961667469569614
186,186,186,72-11994,5,20,72-11994,8,0,0,3,2.862194538116455,0.3577743172645569
403,403,403,1-1770,9,12,1-1770,35,2,0,11,12.494713306427002,0.3569918087550572
518,518,518,1-1850,13,18,1-1850,30,4,0,7,10.678453922271729,0.3559484640757243
499,499,499,1-8627,2,6,1-8627,25,6,0,3,8.862194538116455,0.3544877815246582
314,314,314,1-3139,7,14,1-3139,93,11,0,23,32.94349145889282,0.3542310909558368
11,11,11,1-9722,4,7,1-9722,22,3,0,5,7.770324230194092,0.35319655591791327
94,94,94,1-3083,14,10,1-3083,78,13,0,15,27.310972690582275,0.3501406755202856
443,443,443,1-3447,18,16,1-3447,110,28,0,11,38.494713306427,0.34995193914933637
88,88,88,1-5626,13,18,1-5626,125,12,0,33,43.484139919281006,0.34787311935424803
441,441,441,1-19166,1,11,1-19166,45,7,0,9,15.586583614349365,0.34636852476331925
505,505,505,1-4747,13,18,1-4747,25,1,0,8,8.632518768310547,0.3453007507324219
122,122,122,MLG42,16,22,MLG42,14,1,0,4,4.816259384155273,0.3440185274396624
299,299,299,MLG54,18,16,MLG54,595,133,0,75,204.55486345291138,0.3437896864754813
270,270,270,1-1390,16,22,1-1390,98,25,0,9,33.586583614349365,0.3427202409627486
183,183,183,1-9496,17,5,1-9496,39,0,0,14,13.356907844543457,0.34248481652675533
87,87,87,MLG35,13,18,MLG35,49,10,0,7,16.67845392227173,0.3403766106586067
253,253,253,1-4649,18,16,1-4649,244,63,0,21,83.03536176681519,0.34030885970006225
128,128,128,1-19286,16,22,1-19286,40,5,0,9,13.586583614349365,0.33966459035873414
560,560,560,1-0027,19,13,1-0027,29,6,0,4,9.816259384155273,0.338491702901906
319,319,319,1-3584,4,7,1-3584,26,4,0,5,8.770324230194092,0.3373201626997728
396,396,396,1-9963,10,17,1-9963,116,18,0,22,38.989426612854004,0.3361157466625345
47,47,47,1-19547,7,14,1-19547,66,2,0,21,22.035361766815186,0.33386911767901795
503,503,503,1-9076,2,6,1-9076,9,3,0,0,3.0,0.3333333333333333
496,496,496,1-3176,12,15,1-3176,3,1,0,0,1.0,0.3333333333333333
312,312,312,1-3108,6,2,1-3108,18,6,0,0,6.0,0.3333333333333333
278,278,278,1-10762,2,6,1-10762,6,2,0,0,2.0,0.3333333333333333
158,158,158,1-7599,4,7,1-7599,3,1,0,0,1.0,0.3333333333333333
559,559,559,1-5914,1,11,1-5914,3,1,0,0,1.0,0.3333333333333333
391,391,391,MLG30,5,20,MLG30,208,8,0,64,69.06015014648438,0.33201995262732875
174,174,174,MLG38,2,6,MLG38,77,14,0,12,25.44877815246582,0.33050361236968595
305,305,305,1-7866,4,7,1-7866,318,23,0,86,105.04957675933838,0.3303445810042087
258,258,258,1-9516,7,14,1-9516,76,5,0,21,25.035361766815186,0.3294126548265156
349,349,349,1-3052,7,14,1-3052,166,26,0,30,54.62194538116455,0.3290478637419551
