Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-6974,6,7,1-6974,207,25,0,190,200.43760538101196,0.9682976105362897
423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,1-7122,12,5,1-7122,197,16,0,189,190.51424956321716,0.9670774089503409
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,9,9,MLG59,71,28,0,29,54.777318716049194,0.7715115312119605
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,4,13,1-3447,110,21,0,63,79.17141652107239,0.7197401501915671
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,9,9,MLG29,164,64,0,58,117.55463743209839,0.716796569707917
207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,1-7058,17,11,1-7058,80,3,0,54,52.86121416091919,0.6607651770114898
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,18,16,MLG65,201,99,0,33,129.4707419872284,0.644133044712579
335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,1-8910,4,13,1-8910,137,32,0,60,87.40134906768799,0.6379660515889635
478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,12,5,1-9394,117,16,0,61,72.32470488548279,0.6181598708160922
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,19,17,1-6980,128,38,0,44,78.62765598297119,0.6142785623669624
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,13,2,1-5002,45,20,0,8,27.3868465423584,0.6085965898301866
