Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
374,374,374,374,374,374,374,374,374,374,1-6919,18,8,1-6919,43,45,0,2,46.13993799686432,1.0730218138805656
372,372,372,372,372,372,372,372,372,372,1-6916,11,7,1-6916,43,43,0,3,44.70990699529648,1.0397652789603833
474,474,474,474,474,474,474,474,474,474,1-8400,17,9,1-8400,33,29,0,4,31.279875993728638,0.947875030112989
83,83,83,83,83,83,83,83,83,83,1-18423,14,4,1-18423,47,11,0,49,38.92848092317581,0.8282655515569322
545,545,545,545,545,545,545,545,545,545,1-19567,11,7,1-19567,2,1,0,1,1.5699689984321594,0.7849844992160797
41,41,41,41,41,41,41,41,41,41,1-7509,2,13,1-7509,40,23,0,12,29.839627981185913,0.7459906995296478
506,506,506,506,506,506,506,506,506,506,1-6227,10,2,1-6227,52,32,0,9,37.129720985889435,0.7140330958824891
437,437,437,437,437,437,437,437,437,437,1-6980,12,16,1-6980,128,24,0,117,90.68637281656265,0.7084872876293957
564,564,564,564,564,564,564,564,564,564,1-9034,11,7,1-9034,3,2,0,0,2.0,0.6666666666666666
511,511,511,511,511,511,511,511,511,511,1-9697,17,9,1-9697,20,8,0,9,13.129720985889435,0.6564860492944717
245,245,245,245,245,245,245,245,245,245,1-6647,14,4,1-6647,62,29,0,19,39.82941097021103,0.6424098543582424
335,335,335,335,335,335,335,335,335,335,1-8910,20,18,1-8910,137,3,0,145,85.64550477266312,0.6251496698734534
322,322,322,322,322,322,322,322,322,322,1-0296,14,4,1-0296,41,18,0,13,25.409596979618073,0.6197462677955627
458,458,458,458,458,458,458,458,458,458,1-7182,14,4,1-7182,22,8,0,9,13.129720985889435,0.5968054993586107
465,465,465,465,465,465,465,465,465,465,1-5913,11,7,1-5913,14,7,0,2,8.139937996864319,0.5814241426331657
427,427,427,427,427,427,427,427,427,427,1-9379,15,17,1-9379,58,30,0,6,33.41981399059296,0.5762036894929821
443,443,443,443,443,443,443,443,443,443,1-3447,11,7,1-3447,110,41,0,39,63.22879093885422,0.5748071903532201
492,492,492,492,492,492,492,492,492,492,1-6028,12,16,1-6028,2,0,0,2,1.1399379968643188,0.5699689984321594
250,250,250,250,250,250,250,250,250,250,1-9333,17,9,1-9333,102,35,0,38,56.65882194042206,0.5554786464747261
295,295,295,295,295,295,295,295,295,295,1-3639,6,14,1-3639,17,6,0,6,9.419813990592957,0.5541067053289974
292,292,292,292,292,292,292,292,292,292,1-9997,8,6,1-9997,16,6,0,5,8.849844992160797,0.5531153120100498
333,333,333,333,333,333,333,333,333,333,1-11329,12,16,1-11329,14,2,0,10,7.699689984321594,0.549977856022971
157,157,157,157,157,157,157,157,157,157,1-6061,3,12,1-6061,40,17,0,8,21.559751987457275,0.5389937996864319
91,91,91,91,91,91,91,91,91,91,72-12171,17,9,72-12171,19,5,0,9,10.129720985889435,0.5331432097836545
239,239,239,239,239,239,239,239,239,239,1-7042,11,7,1-7042,117,29,0,54,59.77832591533661,0.5109258625242445
404,404,404,404,404,404,404,404,404,404,1-4682,15,17,1-4682,16,7,0,2,8.139937996864319,0.5087461248040199
203,203,203,203,203,203,203,203,203,203,1-1250,17,9,1-1250,34,16,0,2,17.13993799686432,0.5041158234371859
530,530,530,530,530,530,530,530,530,530,1-4847,6,14,1-4847,2,1,0,0,1.0,0.5
232,232,232,232,232,232,232,232,232,232,1-18371,10,2,1-18371,120,49,0,19,59.82941097021103,0.49857842475175856
370,370,370,370,370,370,370,370,370,370,MLG62,11,7,MLG62,525,41,0,387,261.5780023932457,0.4982438140823728
251,251,251,251,251,251,251,251,251,251,1-7268,5,5,1-7268,70,15,0,34,34.37894594669342,0.49112779923847744
526,526,526,526,526,526,526,526,526,526,1-5002,10,2,1-5002,45,16,0,10,21.699689984321594,0.4822153329849243
73,73,73,73,73,73,73,73,73,73,1-5355,14,4,1-5355,53,18,0,13,25.409596979618073,0.47942635810600137
