,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
532,1-7599,12,3,1-7599,3,0,0,0,0.0,0.0
533,1-9034,11,1,1-9034,3,0,0,0,0.0,0.0
534,1-3176,10,16,1-3176,3,0,0,0,0.0,0.0
535,1-4051,3,7,1-4051,5,0,0,0,0.0,0.0
536,1-19205,1,21,1-19205,12,0,0,0,0.0,0.0
537,1-8379,8,1,1-8379,5,0,0,0,0.0,0.0
538,1-4842,1,21,1-4842,6,0,0,0,0.0,0.0
539,1-9455,16,8,1-9455,2,0,0,0,0.0,0.0
540,1-19598,7,15,1-19598,11,0,0,0,0.0,0.0
541,1-8641,11,12,1-8641,30,0,0,0,0.0,0.0
542,1-4926,1,21,1-4926,4,0,0,0,0.0,0.0
543,1-19927,13,24,1-19927,1,0,0,0,0.0,0.0
544,1-19567,11,1,1-19567,2,0,0,0,0.0,0.0
545,1-10922,13,24,1-10922,1,0,0,0,0.0,0.0
546,1-7525,7,15,1-7525,6,0,0,0,0.0,0.0
547,1-10232,16,8,1-10232,5,0,0,0,0.0,0.0
548,1-21195,13,24,1-21195,1,0,0,0,0.0,0.0
549,1-2869,15,2,1-2869,9,0,0,0,0.0,0.0
550,1-9712,8,13,1-9712,10,0,0,0,0.0,0.0
551,1-6543,14,23,1-6543,12,0,0,0,0.0,0.0
552,1-9733,7,8,1-9733,4,0,0,0,0.0,0.0
553,1-8125,13,24,1-8125,21,0,0,0,0.0,0.0
554,1-10948,13,24,1-10948,2,0,0,0,0.0,0.0
555,1-8093,4,4,1-8093,4,0,0,0,0.0,0.0
556,1-18203,13,24,1-18203,29,0,0,0,0.0,0.0
557,1-3521,10,5,1-3521,22,0,0,0,0.0,0.0
558,1-6228,15,2,1-6228,48,0,0,0,0.0,0.0
559,1-7608,5,23,1-7608,4,0,0,0,0.0,0.0
560,1-20012,14,23,1-20012,12,0,0,0,0.0,0.0
561,1-5929,10,16,1-5929,4,0,0,0,0.0,0.0
562,1-4361,12,3,1-4361,10,0,0,0,0.0,0.0
563,1-17645,11,12,1-17645,9,0,0,0,0.0,0.0
564,72-11994,2,1,72-11994,8,0,0,0,0.0,0.0
565,1-8906,20,1,1-8906,15,0,0,0,0.0,0.0
