,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
0,MLG40,5,MLG40,3,51,7,1,14,1009.2264115214348,19.78875316708696
1,MLG45,16,MLG45,5,70,16,1,14,1018.2264115214348,14.546091593163354
2,1-3523,5,1-3523,3,543,64,1,133,1085.1509094536304,1.998436297336336
3,1-10468,16,1-10468,5,549,27,1,174,1054.6711146235466,1.9210767115183
4,1-2423,11,1-2423,12,79,41,0,6,41.95417636632919,0.5310655236244202
5,1-1350,13,1-1350,11,195,75,0,27,79.29379364848137,0.4066348392229814
6,1-4494,13,1-4494,12,16,6,0,2,6.318058788776398,0.3948786742985248
7,1-8084,10,1-8084,7,82,27,0,30,31.77088183164597,0.3874497784347069
8,1-3083,5,1-3083,3,78,27,0,14,29.226411521434784,0.3746975836081382
9,1-5413,8,1-5413,16,39,13,0,8,14.27223515510559,0.36595474756681
10,1-9770,12,1-9770,10,50,16,0,6,16.954176366329193,0.3390835273265838
11,MLG75,21,MLG75,9,185,61,0,0,61.0,0.3297297297297297
12,1-9379,21,1-9379,9,58,19,0,0,19.0,0.3275862068965517
13,MLG32,17,MLG32,19,52,16,0,4,16.636117577552795,0.3199253380298614
14,1-9997,11,1-9997,7,16,4,0,7,5.113205760717392,0.319575360044837
15,MLG29,10,MLG29,7,164,46,0,40,52.361175775527954,0.3192754620459022
16,1-7058,9,1-7058,17,80,16,0,55,24.746616691350937,0.3093327086418867
17,1-18028,14,1-18028,13,309,68,0,165,94.2398500740528,0.3049833335729864
18,MLG48,15,MLG48,6,159,43,0,27,47.29379364848137,0.2974452430722099
19,1-4649,14,1-4649,13,244,58,0,88,71.9945867061615,0.2950597815826291
20,1-1131,11,1-1131,12,138,38,0,16,40.54447031021118,0.2938005094942839
21,1-4760,9,1-4760,17,40,10,0,11,11.749323338270187,0.2937330834567547
22,1-7682,13,1-7682,11,141,40,0,5,40.795146971940994,0.2893272834889432
23,1-18371,12,1-18371,10,120,30,0,24,33.81670546531677,0.2818058788776397
24,1-1317,15,1-1317,6,414,109,0,48,116.63341093063354,0.2817232148082936
25,1-9156,12,1-9156,10,268,58,0,99,73.74391004443169,0.2751638434493719
26,MLG51,8,MLG51,16,248,59,0,55,67.74661669135094,0.2731718414973828
27,1-8074,12,1-8074,10,145,31,0,53,39.42855790257454,0.2719210889832726
28,1-9610,12,1-9610,10,49,11,0,14,13.226411521434784,0.269926765743567
29,1-8285,13,1-8285,11,72,18,0,9,19.43126454949379,0.2698786742985248
30,1-18558,9,1-18558,17,307,69,0,86,82.6765279173851,0.2693046511966941
31,1-0296,5,1-0296,3,41,10,0,6,10.954176366329191,0.2671750333251023
32,1-8066,9,1-8066,17,86,21,0,12,22.908352732658383,0.2663761945657952
33,MLG44,17,MLG44,19,59,13,0,16,15.544470310211182,0.2634655984781556
34,1-8067,15,1-8067,6,322,70,0,87,83.8355573117733,0.2603588736390475
35,1-1224,8,1-1224,16,151,33,0,36,38.72505819797516,0.2564573390594381
36,1-9496,10,1-9496,5,39,9,0,6,9.954176366329191,0.2552352914443382
37,1-3206,14,1-3206,13,45,11,0,3,11.477088183164597,0.2550464040703243
38,1-4855,14,1-4855,11,22,4,0,10,5.5902939438819885,0.254104270176454
39,72-12171,17,72-12171,17,19,4,0,5,4.795146971940994,0.2523761564179471
40,1-1770,6,1-1770,11,35,8,0,5,8.795146971940994,0.2512899134840284
41,MLG69,14,MLG69,13,576,124,0,125,143.87867429852486,0.2497893651016056
42,1-3587,14,1-3587,13,46,9,0,15,11.385440915822985,0.2475095851265865
43,P-16616,9,P-16616,17,28,5,0,12,6.908352732658386,0.246726883309228
44,MLG31,14,MLG31,19,33,7,0,7,8.113205760717392,0.2458547200217391
45,1-10038,8,1-10038,16,76,12,0,42,18.679234564304352,0.2457794021618993
46,MLG59,16,MLG59,5,71,14,0,21,17.339617282152176,0.2442199617204531
47,1-8042,17,1-8042,19,52,9,0,23,12.657676070928574,0.2434168475178572
48,1-9794,12,1-9794,10,46,9,0,12,10.908352732658386,0.2371381028838779
49,MLG52,11,MLG52,12,125,22,0,47,29.474381536245343,0.2357950522899627
50,1-19229,5,1-19229,3,38,8,0,6,8.954176366329193,0.2356362201665577
51,1-7536,21,1-7536,9,17,4,0,0,4.0,0.2352941176470588
52,1-9110,9,1-9110,17,29,6,0,5,6.795146971940994,0.2343154128255515
53,1-6227,17,1-6227,19,52,12,0,1,12.1590293943882,0.2338274883536192
54,MLG50,6,MLG50,15,319,66,0,53,74.42855790257454,0.2333183633309546
55,1-6538,11,1-6538,11,44,10,0,1,10.1590293943882,0.2308870316906408
56,MLG56,14,MLG56,13,511,98,0,111,115.65226277709009,0.2263253674698435
57,1-20578,5,1-20578,5,19,3,0,8,4.272235155105591,0.2248544818476626
58,1-6532,21,1-6532,9,27,6,0,0,6.0,0.2222222222222222
59,1-6734,7,1-6734,14,44,8,0,11,9.749323338270187,0.2215755304152315
60,1-7024,21,1-7024,9,498,110,0,0,110.0,0.2208835341365461
61,1-3551,15,1-3551,6,6,1,0,2,1.3180587887763977,0.2196764647960662
62,1-19166,6,1-19166,13,45,9,0,4,9.636117577552795,0.2141359461678399
63,MLG68,9,MLG68,17,642,113,0,144,135.90023279190063,0.2116826055948608
64,1-9270,7,1-9270,14,128,21,0,38,27.04311698675156,0.2112743514589965
65,1-3108,14,1-3108,13,18,3,0,5,3.795146971940994,0.2108414984411663
66,1-9286,13,1-9286,11,81,15,0,12,16.908352732658386,0.2087450954649183
67,1-4682,8,1-4682,16,16,3,0,2,3.3180587887763977,0.2073786742985248
68,1-7842,18,1-7842,20,21,1,0,21,4.339617282152176,0.2066484420072464
69,1-6692,12,1-6692,12,71,11,0,23,14.657676070928574,0.2064461418440644
70,1-3516,20,1-3516,8,156,17,0,95,32.10779246687889,0.2058191824799929
71,1-8938,3,1-8938,4,30,5,0,7,6.113205760717392,0.2037735253572464
72,1-1608,13,1-1608,11,307,54,0,53,62.42855790257454,0.2033503514741841
73,1-9630,7,1-9630,14,33,6,0,4,6.636117577552795,0.2010944720470544
74,1-7042,4,1-7042,2,117,23,0,3,23.4770881831646,0.2006588733603811
75,1-5555,21,1-5555,9,10,2,0,0,2.0,0.2
76,1-5654,11,1-5654,19,15,3,0,0,3.0,0.2
77,MLG10,18,MLG10,20,60,11,0,6,11.954176366329191,0.1992362727721532
78,1-10696,12,1-10696,10,24,3,0,11,4.749323338270187,0.1978884724279244
79,1-1191,12,1-1191,10,53,3,0,47,10.474381536245346,0.1976298403065159
80,1-5163,12,1-5163,10,16,3,0,1,3.159029394388199,0.1974393371492624
81,1-0003,13,1-0003,11,17,3,0,2,3.3180587887763977,0.1951799287515528
82,1-1250,9,1-1250,17,34,5,0,10,6.5902939438819885,0.1938321748200585
83,1-7530,14,1-7530,13,25,4,0,5,4.795146971940994,0.1918058788776397
84,1-1390,8,1-1390,16,98,14,0,30,18.77088183164597,0.1915396105269996
85,1-1258,6,1-1258,15,435,65,0,114,83.12935096025467,0.1911019562304705
86,1-6858,16,1-6858,5,23,2,0,15,4.385440915822983,0.1906713441662166
87,1-5799,7,1-5799,14,7,1,0,2,1.3180587887763977,0.1882941126823425
88,1-10060,18,1-10060,20,36,5,0,11,6.749323338270187,0.1874812038408385
89,1-0278,6,1-0278,15,79,14,0,5,14.795146971940994,0.1872803414169746
90,1-0129,6,1-0129,15,142,23,0,22,26.49864667654037,0.1866101878629603
91,1-9971,13,1-9971,11,15,2,0,5,2.7951469719409943,0.1863431314627329
92,1-2701,5,1-2701,19,61,9,0,14,11.226411521434784,0.1840395331382751
93,1-19448,12,1-19448,10,45,7,0,8,8.27223515510559,0.1838274478912353
94,1-5002,10,1-5002,7,45,7,0,8,8.27223515510559,0.1838274478912353
95,1-6561,7,1-6561,14,65,10,0,12,11.908352732658386,0.1832054266562828
96,MLG14,4,MLG14,2,232,39,0,21,42.339617282152176,0.1824983503541042
97,1-7770,6,1-7770,15,11,2,0,0,2.0,0.1818181818181818
98,MLG78,6,MLG78,15,80,12,0,16,14.544470310211182,0.1818058788776397
99,1-5980,3,1-5980,4,29,4,0,8,5.272235155105591,0.1818012122450203
100,1-8157,12,1-8157,10,75,12,0,10,13.590293943881989,0.1812039192517598
101,1-3535,12,1-3535,10,315,37,0,124,56.71964490413666,0.180062364775037
102,MLG58,11,MLG58,12,71,10,0,16,12.544470310211182,0.1766826804255096
103,1-11350,4,1-11350,2,100,14,0,22,17.498646676540375,0.1749864667654037
104,1-2545,4,1-2545,2,145,24,0,8,25.27223515510559,0.1742912769317627
105,1-8627,13,1-8627,11,25,4,0,2,4.318058788776398,0.1727223515510559
106,1-9504,17,1-9504,19,30,5,0,1,5.159029394388199,0.1719676464796066
107,1-5891,9,1-5891,17,96,13,0,22,16.498646676540375,0.1718609028806289
108,1-18994,5,1-18994,3,28,4,0,5,4.795146971940994,0.1712552489978926
109,1-9237,6,1-9237,15,38,6,0,3,6.477088183164597,0.1704496890306472
110,1-5355,7,1-5355,14,53,6,0,19,9.021558493375778,0.170218084780675
111,1-3564,5,1-3564,3,41,6,0,6,6.954176366329193,0.1696140577153461
112,1-19286,16,1-19286,5,40,5,0,11,6.749323338270187,0.1687330834567547
113,1-8172,12,1-8172,10,40,4,0,17,6.7034997045993805,0.1675874926149845
114,1-1204,12,1-1204,10,39,4,0,15,6.385440915822983,0.1637292542518713
115,1-7521,9,1-7521,17,10,1,0,4,1.6361175775527954,0.1636117577552795
116,MLG41,17,MLG41,19,66,10,0,5,10.795146971940994,0.1635628329081968
117,MLG57,8,MLG57,16,629,71,0,193,101.69267311692238,0.1616735661636285
118,MLG65,3,MLG65,4,201,21,0,72,32.45011639595032,0.1614433651539816
119,1-6098,10,1-6098,7,1327,158,0,350,213.6602880358696,0.1610100135914616
120,1-8928,14,1-8928,13,39,5,0,8,6.272235155105591,0.1608265424386049
121,1-10785,7,1-10785,14,279,31,0,86,44.6765279173851,0.160130924435072
122,1-5981,4,1-5981,2,28,4,0,3,4.477088183164597,0.1598960065415927
123,1-7752,12,1-7752,10,29,4,0,4,4.636117577552795,0.1598661233638895
124,MLG84,15,MLG84,6,63,8,0,13,10.067382127046583,0.1597997163023267
125,MLG12,11,MLG12,12,146,21,0,14,23.226411521434784,0.1590850104207861
126,1-10951,14,1-10951,13,1,0,0,1,0.1590293943881988,0.1590293943881988
127,MLG67,18,MLG67,20,27,3,0,8,4.272235155105591,0.1582309316705774
128,1-8450,11,1-8450,12,52,6,0,14,8.226411521434784,0.1582002215660535
129,1-9609,11,1-9609,12,25,3,0,6,3.954176366329193,0.1581670546531677
130,1-18613,17,1-18613,19,25,3,0,6,3.954176366329193,0.1581670546531677
131,1-4355,5,1-4355,3,49,6,0,11,7.749323338270187,0.158149455883065
132,1-0053,10,1-0053,7,142,16,0,39,22.202146381139755,0.1563531435291532
133,1-9491,18,1-9491,20,80,8,0,28,12.452823042869568,0.1556602880358696
134,1-0055,8,1-0055,16,18,2,0,5,2.7951469719409943,0.1552859428856108
135,1-3596,3,1-3596,4,223,21,0,84,34.358469128608704,0.1540738525946578
136,1-9416,21,1-9416,9,13,2,0,0,2.0,0.1538461538461538
137,1-6927,17,1-6927,19,179,27,0,2,27.3180587887764,0.1526148535685832
138,1-18202,3,1-18202,4,23,0,0,22,3.4986466765403748,0.1521150728930597
139,1-19004,9,1-19004,17,60,8,0,7,9.113205760717392,0.1518867626786232
140,1-9650,8,1-9650,16,25,3,0,5,3.795146971940994,0.1518058788776397
141,1-7845,18,1-7845,20,36,1,0,28,5.452823042869568,0.1514673067463768
142,1-7122,12,1-7122,10,197,21,0,55,29.746616691350937,0.1509980542708169
143,1-9614,4,1-9614,2,30,4,0,3,4.477088183164597,0.1492362727721532
144,1-3534,20,1-3534,8,279,23,0,117,41.60643914341927,0.1491270220194239
145,1-1183,12,1-1183,10,45,4,0,17,6.7034997045993805,0.1489666601022084
146,1-4020,13,1-4020,11,37,4,0,9,5.43126454949379,0.1467909337701024
147,MLG53,6,MLG53,15,91,13,0,2,13.318058788776398,0.1463522943821582
148,1-7839,20,1-7839,8,24,0,0,22,3.4986466765403748,0.1457769448558489
149,1-8622,8,1-8622,16,54,5,0,18,7.862529098987579,0.1456023907219922
150,1-2335,12,1-2335,10,145,13,0,51,21.11049911379814,0.1455896490606768
151,1-9553,6,1-9553,15,23,3,0,2,3.3180587887763977,0.1442634255989738
152,1-6647,8,1-6647,9,62,4,0,31,8.929911226034164,0.1440308262263575
153,1-9938,15,1-9938,6,55,6,0,12,7.908352732658386,0.1437882315028797
154,MLG63,5,MLG63,3,380,43,0,70,54.13205760717392,0.1424527831767734
155,1-9963,7,1-9963,14,116,13,0,22,16.498646676540375,0.1422297127287963
156,1-3312,15,1-3312,6,36,4,0,7,5.113205760717392,0.1420334933532608
157,1-9394,12,1-9394,10,117,11,0,35,16.56602880358696,0.1415899897742475
158,1-1005,10,1-1005,7,125,7,0,67,17.654969424009323,0.1412397553920746
159,1-2103,7,1-2103,14,26,3,0,4,3.6361175775527954,0.1398506760597229
160,1-8186,13,1-8186,11,26,3,0,4,3.6361175775527954,0.1398506760597229
161,1-7995,18,1-7995,20,14,1,0,6,1.954176366329193,0.1395840261663709
162,1-18709,10,1-18709,3,33,3,0,10,4.5902939438819885,0.1390998164812723
163,1-3265,5,1-3265,3,19,2,0,4,2.6361175775527954,0.1387430303975155
164,1-9404,15,1-9404,6,100,11,0,18,13.86252909898758,0.1386252909898758
165,1-18203,21,1-18203,9,29,4,0,0,4.0,0.1379310344827586
166,MLG06,6,MLG06,15,18,2,0,3,2.477088183164597,0.1376160101758109
167,1-8418,18,1-8418,20,46,2,0,27,6.293793648481369,0.1368216010539428
168,1-8544,20,1-8544,8,54,1,0,39,7.202146381139755,0.1333730811322176
169,1-9497,10,1-9497,7,150,15,0,31,19.929911226034164,0.1328660748402277
170,1-2324,13,1-2324,11,25,3,0,2,3.3180587887763977,0.1327223515510559
171,1-4929,15,1-4929,6,10,1,0,2,1.3180587887763977,0.1318058788776397
172,1-1580,4,1-1580,2,400,45,0,46,52.31535214185715,0.1307883803546428
173,1-8188,18,1-8188,20,140,10,0,52,18.26952850818634,0.130496632201331
174,1-9645,21,1-9645,9,69,9,0,0,9.0,0.1304347826086956
175,1-3087,18,1-3087,20,26,1,0,15,3.385440915822983,0.1302092659931916
176,1-3141,7,1-3141,14,136,14,0,23,17.657676070928574,0.1298358534627101
177,1-1957,12,1-1957,10,47,4,0,13,6.067382127046585,0.129093236745672
178,MLG55,18,MLG55,20,92,6,0,36,11.72505819797516,0.1274462847605995
179,1-18615,18,1-18615,20,22,2,0,5,2.7951469719409943,0.127052135088227
180,1-6693,10,1-6693,7,98,7,0,34,12.40699940919876,0.1266020347877424
181,1-8493,15,1-8493,15,38,4,0,5,4.795146971940994,0.1261880782089735
182,1-1989,17,1-1989,19,46,5,0,5,5.795146971940994,0.1259814559117607
183,1-3106,3,1-3106,4,34,3,0,8,4.272235155105591,0.1256539751501644
184,1-9452,17,1-9452,19,16,2,0,0,2.0,0.125
185,1-18563,16,1-18563,5,8,1,0,0,1.0,0.125
186,1-17733,15,1-17733,6,74,7,0,14,9.226411521434784,0.1246812367761457
187,1-9333,18,1-9333,20,102,6,0,42,12.679234564304352,0.1243062212186701
188,MLG64,17,MLG64,19,245,26,0,27,30.29379364848137,0.1236481373407402
189,1-1570,7,1-1570,14,142,11,0,40,17.361175775527954,0.1222618012361123
190,1-9417,15,1-9417,6,76,8,0,8,9.27223515510559,0.1220030941461262
191,1-5197,15,1-5197,6,72,7,0,11,8.749323338270187,0.121518379698197
192,1-5803,12,1-5803,10,15,1,0,5,1.7951469719409945,0.1196764647960662
193,1-0272,20,1-0272,8,111,5,0,52,13.26952850818634,0.1195453018755526
194,1-7608,3,1-7608,4,4,0,0,3,0.4770881831645965,0.1192720457911491
195,1-8503,18,1-8503,20,16,0,0,12,1.9083527326583865,0.1192720457911491
196,1-6240,13,1-6240,11,698,73,0,63,83.01885184645653,0.1189381831611125
197,1-8421,7,1-8421,14,109,11,0,12,12.908352732658386,0.1184252544280586
198,1-0303,18,1-0303,20,212,11,0,87,24.8355573117733,0.1171488552442136
199,1-11329,12,1-11329,10,14,1,0,4,1.6361175775527954,0.1168655412537711
200,1-2382,3,1-2382,4,139,9,0,45,16.15632274746895,0.1162325377515751
201,1-9283,13,1-9283,11,235,24,0,20,27.180587887763977,0.1156620761181445
202,MLG38,3,MLG38,4,77,6,0,18,8.86252909898758,0.1150977805063322
203,1-6035,7,1-6035,14,23,2,0,4,2.6361175775527954,0.1146138077196867
204,1-0031,14,1-0031,13,13,1,0,3,1.4770881831645966,0.1136221679357381
205,1-9818,3,1-9818,4,28,3,0,1,3.159029394388199,0.1128224783710071
206,1-9607,7,1-9607,14,19,1,0,7,2.113205760717392,0.1112213558272311
207,1-9495,9,1-9495,17,18,2,0,0,2.0,0.1111111111111111
208,1-6611,20,1-6611,8,89,4,0,37,9.884087592363358,0.1110571639591388
209,1-7496,20,1-7496,8,246,12,0,96,27.26682186126709,0.1108407392734434
210,1-18935,4,1-18935,2,30,3,0,2,3.3180587887763977,0.1106019596258799
211,1-4417,22,1-4417,18,151,8,0,54,16.587587296962738,0.1098515715030644
212,1-8590,5,1-8590,3,24,2,0,4,2.6361175775527954,0.1098382323980331
213,MLG60,4,MLG60,2,47,5,0,1,5.159029394388199,0.1097665828593233
214,1-8767,3,1-8767,4,48,0,0,33,5.247970014810562,0.1093327086418867
215,1-6006,1,1-6006,1,57,0,0,39,6.202146381139755,0.1088095856340308
216,1-5744,9,1-5744,17,18,1,0,6,1.954176366329193,0.1085653536849551
217,1-6296,22,1-6296,18,254,19,0,53,27.42855790257454,0.1079864484353328
218,1-5043,6,1-5043,15,123,12,0,8,13.27223515510559,0.107904350854517
219,1-7744,7,1-7744,14,37,3,0,6,3.954176366329193,0.1068696315224106
220,1-8646,16,1-8646,5,20,1,0,7,2.113205760717392,0.1056602880358696
221,1-3639,16,1-3639,5,17,1,0,5,1.7951469719409945,0.1055968807024114
222,MLG42,13,MLG42,11,14,1,0,3,1.4770881831645966,0.1055062987974711
223,1-11206,7,1-11206,14,14,1,0,3,1.4770881831645966,0.1055062987974711
224,MLG35,17,MLG35,19,49,4,0,7,5.113205760717392,0.1043511379738243
225,MLG49,18,MLG49,20,185,10,0,57,19.06467548012733,0.1030522998925801
226,1-0405,14,1-0405,13,64,5,0,10,6.5902939438819885,0.102973342873156
227,1-20167,3,1-20167,4,56,4,0,11,5.749323338270187,0.1026664881833962
228,1-1850,18,1-1850,20,30,1,0,13,3.067382127046585,0.1022460709015528
229,1-7866,5,1-7866,3,318,15,0,110,32.493233382701874,0.1021799791908864
230,1-8427,13,1-8427,11,189,17,0,13,19.067382127046585,0.1008856197198232
231,1-8529,12,1-8529,10,56,1,0,29,5.611852437257767,0.1002116506653172
232,1-9576,18,1-9576,20,10,1,0,0,1.0,0.1
233,1-8124,5,1-8124,3,18,1,0,5,1.7951469719409945,0.0997303873300552
234,1-7152,20,1-7152,8,109,1,0,62,10.859822452068329,0.0996313986428287
235,1-2297,15,1-2297,15,25,2,0,3,2.477088183164597,0.0990835273265838
236,1-4052,3,1-4052,17,13,0,0,8,1.2722351551055908,0.09786424270043
237,1-8398,3,1-8398,4,54,3,0,14,5.226411521434784,0.0967853985450886
238,1-1769,16,1-1769,5,89,4,0,29,8.611852437257767,0.0967623869354805
239,1-1935,18,1-1935,20,12,1,0,1,1.1590293943881989,0.0965857828656832
240,1-5161,18,1-5161,20,12,1,0,1,1.1590293943881989,0.0965857828656832
241,1-0027,10,1-0027,7,29,2,0,5,2.7951469719409943,0.0963843783427929
242,1-7070,13,1-7070,11,129,11,0,9,12.43126454949379,0.096366391856541
243,MLG46,7,MLG46,14,17,1,0,4,1.6361175775527954,0.096242210444282
244,1-1177,12,1-1177,10,17,1,0,4,1.6361175775527954,0.096242210444282
245,1-9892,7,1-9892,14,22,1,0,7,2.113205760717392,0.096054807305336
246,1-8400,9,1-8400,9,33,3,0,1,3.159029394388199,0.095728163466309
247,1-17790,3,1-17790,4,5,0,0,3,0.4770881831645965,0.0954176366329193
248,1-19547,20,1-19547,8,66,2,0,27,6.293793648481369,0.0953605098254752
249,1-2282,3,1-2282,4,219,11,0,62,20.85982245206833,0.0952503308313622
250,1-13247,20,1-13247,8,29,1,0,11,2.749323338270188,0.0948042530437995
251,1-9674,15,1-9674,6,144,7,0,41,13.520205169916151,0.0938903136799732
252,1-3362,20,1-3362,8,117,6,0,31,10.929911226034164,0.0934180446669586
253,1-10539,18,1-10539,20,63,3,0,18,5.862529098987579,0.0930560174442473
254,1-9436,3,1-9436,4,21,1,0,6,1.954176366329193,0.0930560174442473
255,MLG62,3,MLG62,4,525,31,0,112,48.81129217147827,0.0929738898504348
256,1-8222,3,1-8222,16,12,0,0,7,1.113205760717392,0.0927671467264493
257,1-19915,7,1-19915,14,62,4,0,11,5.749323338270187,0.092731021585003
258,1-5172,7,1-5172,14,120,8,0,19,11.021558493375778,0.0918463207781314
259,1-6878,22,1-6878,18,167,10,0,33,15.247970014810562,0.0913052096695243
260,1-0358,21,1-0358,9,22,2,0,0,2.0,0.0909090909090909
261,1-5515,13,1-5515,11,29,2,0,4,2.6361175775527954,0.0909006061225101
262,1-6980,7,1-6980,14,128,2,0,60,11.541763663291931,0.0901700286194682
263,1-8018,18,1-8018,20,58,3,0,14,5.226411521434784,0.0901105434730135
264,MLG54,11,MLG54,12,595,39,0,91,53.471674889326096,0.0898683611585312
265,1-2034,20,1-2034,8,16,0,0,9,1.4312645494937897,0.0894540343433618
266,1-3584,10,1-3584,17,26,1,0,8,2.272235155105591,0.0873936598117535
267,1-17907,20,1-17907,8,119,4,0,40,10.361175775527954,0.0870687039960332
268,1-8678,5,1-8678,3,17,1,0,3,1.4770881831645966,0.0868875401861527
269,1-9902,9,1-9902,17,30,1,0,10,2.5902939438819885,0.0863431314627329
270,1-9870,10,1-9870,7,27,2,0,2,2.3180587887763977,0.0858540292139406
271,1-1833,3,1-1833,4,124,3,0,48,10.633410930633543,0.0857533139567221
272,1-0037,7,1-0037,14,35,3,0,0,3.0,0.0857142857142857
273,1-7204,18,1-7204,20,26,0,0,14,2.226411521434784,0.0856312123628763
274,MLG39,18,MLG39,20,23,1,0,6,1.954176366329193,0.0849641898403997
275,1-6787,3,1-6787,4,56,3,0,11,4.749323338270187,0.0848093453262533
276,1-7863,7,1-7863,14,351,23,0,39,29.202146381139755,0.0831969982368654
277,1-4098,22,1-4098,17,16,1,0,2,1.3180587887763977,0.0823786742985248
278,MLG15,3,MLG15,4,105,1,0,48,8.633410930633545,0.082222961244129
279,1-5626,7,1-5626,14,125,8,0,14,10.226411521434784,0.0818112921714782
280,1-20047,7,1-20047,14,20,1,0,4,1.6361175775527954,0.0818058788776397
281,1-5214,20,1-5214,8,40,2,0,8,3.272235155105591,0.0818058788776397
282,1-9995,8,1-9995,16,24,1,0,6,1.954176366329193,0.0814240152637163
283,1-8573,16,1-8573,5,184,0,0,94,14.948763072490692,0.0812432775678842
284,MLG30,22,MLG30,18,208,10,0,43,16.83826395869255,0.0809531921090988
285,1-7807,20,1-7807,8,239,9,0,65,19.336910635232925,0.0809075758796356
