Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
179,1-4052,10,21,1-4052,13,0,0,5,4.836194217205048,0.37201493978500366
434,MLG59,5,5,MLG59,71,9,0,18,26.41029918193817,0.3719760448160306
205,1-8018,9,12,1-8018,58,9,0,13,21.574104964733124,0.3719673269781573
510,1-3206,6,8,1-3206,45,8,0,9,16.705149590969086,0.37122554646597966
169,1-9606,11,9,1-9606,16,4,0,2,5.934477686882019,0.3709048554301262
523,1-9861,17,4,1-9861,8,2,0,1,2.9672388434410095,0.3709048554301262
345,1-1131,13,6,1-1131,138,27,0,25,51.18097108602524,0.37087660207264667
382,1-18558,2,3,1-18558,307,50,0,66,113.83776366710663,0.37080704777559165
338,1-6296,5,5,1-6296,254,30,0,66,93.83776366710663,0.3694400144374277
521,1-19549,8,11,1-19549,29,2,0,9,10.705149590969086,0.36914308934376155
43,1-8705,5,5,1-8705,48,7,0,11,17.639627277851105,0.36749223495523137
147,1-17657,6,15,1-17657,8,1,0,2,2.934477686882019,0.3668097108602524
200,1-4634,17,4,1-4634,48,5,0,13,17.574104964733124,0.3661271867652734
162,1-8067,16,14,1-8067,322,72,0,47,117.46022564172745,0.3647833094463585
515,1-6531,7,8,1-6531,27,4,0,6,9.803433060646057,0.3630901133572614
87,MLG35,6,15,MLG35,49,11,0,7,17.770671904087067,0.3626667735527973
201,1-9902,9,12,1-9902,30,6,0,5,10.836194217205048,0.3612064739068349
244,MLG57,1,2,MLG57,629,189,0,38,225.75507605075836,0.35891109070072874
12,MLG84,9,12,MLG84,63,10,0,13,22.574104964733124,0.3583191264243353
8,1-8181,11,9,1-8181,30,3,0,8,10.737910747528076,0.3579303582509359
396,1-9963,8,11,1-9963,116,19,0,23,41.24649339914322,0.3555732189581312
346,MLG32,3,21,MLG32,52,0,0,19,18.37753802537918,0.3534141927957535
109,1-9768,6,15,1-9768,241,28,0,59,85.06709176301956,0.35297548449385713
122,MLG42,4,7,MLG42,14,3,0,2,4.934477686882019,0.35246269192014423
