Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
145,145,145,145,145,145,145,145,145,145,145,145,145,145,1-9491,5,1-9491,10,80,9,1,23,1021.2840024232864,12.76605003029108
93,93,93,93,93,93,93,93,93,93,93,93,93,93,MLG52,5,MLG52,10,125,16,1,22,1027.7499153614044,8.221999322891236
104,104,104,104,104,104,104,104,104,104,104,104,104,104,1-9394,9,1-9394,17,117,66,0,26,79.8862636089325,0.6827885778541238
66,66,66,66,66,66,66,66,66,66,66,66,66,66,MLG48,8,MLG48,6,159,14,0,123,79.69270861148834,0.5012120038458386
47,47,47,47,47,47,47,47,47,47,47,47,47,47,1-0303,10,1-0303,15,212,78,0,44,101.49983072280884,0.4787727864283436
242,242,242,242,242,242,242,242,242,242,242,242,242,242,1-3206,12,1-3206,18,45,3,0,34,21.158960103988647,0.47019911342196996
257,257,257,257,257,257,257,257,257,257,257,257,257,257,1-19286,8,1-19286,6,40,10,0,14,17.477218866348267,0.4369304716587067
118,118,118,118,118,118,118,118,118,118,118,118,118,118,MLG15,13,MLG15,9,105,31,0,23,43.28400242328644,0.4122285945074899
91,91,91,91,91,91,91,91,91,91,91,91,91,91,1-9270,18,1-9270,13,128,49,0,7,52.73860943317413,0.4120203861966729
124,124,124,124,124,124,124,124,124,124,124,124,124,124,1-0292,1,1-0292,1,99,29,0,22,40.74991536140442,0.4116153066808527
300,300,300,300,300,300,300,300,300,300,300,300,300,300,1-18709,5,1-18709,10,33,5,0,16,13.545392990112305,0.4104664542458274
17,17,17,17,17,17,17,17,17,17,17,17,17,17,1-7004,13,1-7004,19,381,53,0,193,156.07880294322968,0.4096556507696317
228,228,228,228,228,228,228,228,228,228,228,228,228,228,MLG60,14,MLG60,5,47,13,0,11,18.87495768070221,0.40159484427025977
163,163,163,163,163,163,163,163,163,163,163,163,163,163,1-6692,9,1-6692,17,71,15,0,25,28.352176547050476,0.3993264302401475
267,267,267,267,267,267,267,267,267,267,267,267,267,267,1-5413,5,1-5413,10,39,7,0,16,15.545392990112305,0.39859982025928986
43,43,43,43,43,43,43,43,43,43,43,43,43,43,MLG14,8,MLG14,6,232,82,0,19,92.14765417575836,0.3971881645506826
195,195,195,195,195,195,195,195,195,195,195,195,195,195,1-9379,6,1-9379,9,58,15,0,15,23.011305928230286,0.3967466539350049
15,15,15,15,15,15,15,15,15,15,15,15,15,15,1-1580,12,1-1580,18,400,24,0,251,158.05585253238678,0.39513963133096697
165,165,165,165,165,165,165,165,165,165,165,165,165,165,MLG59,6,MLG59,9,71,19,0,16,27.545392990112305,0.3879632815508775
139,139,139,139,139,139,139,139,139,139,139,139,139,139,MLG11,12,MLG11,18,87,24,0,18,33.61356711387634,0.38636284038938323
212,212,212,212,212,212,212,212,212,212,212,212,212,212,MLG32,18,MLG32,13,52,17,0,5,19.670435309410095,0.37827760210404027
55,55,55,55,55,55,55,55,55,55,55,55,55,55,1-1462,15,1-1462,14,192,17,0,102,71.47688031196594,0.3722754182914893
25,25,25,25,25,25,25,25,25,25,25,25,25,25,1-18028,3,1-18028,4,309,14,0,189,114.9424546957016,0.3719820540313968
299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG31,8,MLG31,6,33,9,0,6,12.204522371292114,0.3698340112512762
28,28,28,28,28,28,28,28,28,28,28,28,28,28,1-7005,15,1-7005,14,285,21,0,158,105.38575577735901,0.36977458167494387
429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-9452,3,1-9452,4,16,2,0,7,5.738609433174133,0.35866308957338333
57,57,57,57,57,57,57,57,57,57,57,57,57,57,MLG75,14,MLG75,5,185,43,0,43,65.96574366092682,0.3565715873563612
44,44,44,44,44,44,44,44,44,44,44,44,44,44,1-0008,1,1-0008,1,230,1,0,151,81.64714634418488,0.35498759280080383
215,215,215,215,215,215,215,215,215,215,215,215,215,215,MLG40,11,MLG40,16,51,14,0,7,17.738609433174133,0.3478158712387085
358,358,358,358,358,358,358,358,358,358,358,358,358,358,1-8627,8,1-8627,6,25,6,0,5,8.670435309410095,0.3468174123764038
278,278,278,278,278,278,278,278,278,278,278,278,278,278,1-7845,4,1-7845,3,36,8,0,8,12.272696495056152,0.340908235973782
168,168,168,168,168,168,168,168,168,168,168,168,168,168,MLG45,6,MLG45,9,70,19,0,9,23.80678355693817,0.3400969079562596
329,329,329,329,329,329,329,329,329,329,329,329,329,329,1-5980,17,1-5980,11,29,5,0,9,9.806783556938171,0.3381649502392473
30,30,30,30,30,30,30,30,30,30,30,30,30,30,1-10785,10,1-10785,15,279,33,0,114,93.88592505455017,0.3365086919517927
451,451,451,451,451,451,451,451,451,451,451,451,451,451,1-11329,14,1-11329,5,14,2,0,5,4.670435309410095,0.3336025221007211
85,85,85,85,85,85,85,85,85,85,85,85,85,85,1-1131,16,1-1131,12,138,38,0,15,46.011305928230286,0.3334152603494948
263,263,263,263,263,263,263,263,263,263,263,263,263,263,1-6061,17,1-6061,11,40,2,0,21,13.2158282995224,0.33039570748806
63,63,63,63,63,63,63,63,63,63,63,63,63,63,1-3052,15,1-3052,14,166,9,0,85,54.39740025997162,0.32769518228898564
323,323,323,323,323,323,323,323,323,323,323,323,323,323,1-13247,9,1-13247,17,29,2,0,14,9.477218866348267,0.3268006505637333
37,37,37,37,37,37,37,37,37,37,37,37,37,37,1-5775,8,1-5775,6,244,37,0,79,79.1928778886795,0.32456097495360453
386,386,386,386,386,386,386,386,386,386,386,386,386,386,1-4855,16,1-4855,12,22,5,0,4,7.136348247528076,0.3243794657967307
84,84,84,84,84,84,84,84,84,84,84,84,84,84,1-2382,5,1-2382,10,139,20,0,45,44.03391778469086,0.3167907754294306
435,435,435,435,435,435,435,435,435,435,435,435,435,435,1-4494,16,1-4494,12,16,4,0,2,5.068174123764038,0.3167608827352524
368,368,368,368,368,368,368,368,368,368,368,368,368,368,1-6858,21,1-6858,21,23,3,0,8,7.272696495056152,0.316204195437224
