Unnamed: 0,Unnamed: 0.1,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
443,443,443,443,443,1-3447,11,2,1-3447,110,46,0,26,57.101833045482635,0.5191075731407512
483,483,483,483,483,1-9491,22,12,1-9491,80,20,0,25,30.674839466810226,0.38343549333512783
345,345,345,345,345,1-1131,7,17,1-1131,138,51,0,0,51.0,0.3695652173913043
362,362,362,362,362,1-1462,9,6,1-1462,192,39,0,74,70.59752482175827,0.367695441779991
302,302,302,302,302,MLG51,21,5,MLG51,248,66,0,57,90.33863398432732,0.36426868542067464
526,526,526,526,526,1-5002,3,22,1-5002,45,11,0,12,16.12392294406891,0.35830939875708684
250,250,250,250,250,1-9333,17,4,1-9333,102,25,0,27,36.528826624155045,0.3581257512172063
365,365,365,365,365,MLG48,19,13,MLG48,159,27,0,68,56.035563349723816,0.3524249267278227
462,462,462,462,462,1-1183,21,4,1-1183,45,3,0,30,15.809807360172272,0.3513290524482727
331,331,331,331,331,MLG75,15,7,MLG75,185,59,0,14,64.97791010141373,0.35123194649412826
403,403,403,403,403,1-1770,11,9,1-1770,35,11,0,3,12.280980736017227,0.3508851638862065
316,316,316,316,316,1-7441,8,11,1-7441,111,31,0,16,37.831897258758545,0.34082790323205897
427,427,427,427,427,1-9379,18,21,1-9379,58,15,0,11,19.6969293653965,0.3396022304378707
558,558,558,558,558,1-0055,23,12,1-0055,18,2,0,9,5.8429422080516815,0.32460790044731563
353,353,353,353,353,MLG50,16,11,MLG50,319,74,0,69,103.46255692839622,0.3243340342582954
256,256,256,256,256,1-9277,9,5,1-9277,48,3,0,29,15.382813781499863,0.32047528711458045
540,540,540,540,540,1-5413,21,9,1-5413,39,10,0,5,12.134967893362045,0.3111530229067191
309,309,309,309,309,1-3516,19,13,1-3516,156,45,0,8,48.41594862937927,0.31035864506012356
499,499,499,499,499,1-8627,8,15,1-8627,25,6,0,4,7.707974314689636,0.30831897258758545
