Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,5,10,1-5002,45,12,0,21,30.636761248111725,0.680816916624705
361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,1-0008,7,3,1-0008,230,21,0,152,155.89465284347534,0.6778028384498928
517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,1-18028,23,5,1-18028,309,49,0,152,183.89465284347534,0.5951283263542891
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,1,9,MLG59,71,30,0,8,37.09971857070923,0.5225312474747779
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,14,19,MLG51,248,53,0,78,122.22225606441498,0.49283167767909264
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,21,12,1-7005,285,44,0,107,138.95873588323593,0.48757451187100326
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,1-6611,12,2,1-6611,89,32,0,10,40.874648213386536,0.4592657102627701
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,7,3,1-9283,235,25,0,93,107.53422838449478,0.4575924612106161
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1-3564,7,3,1-3564,41,7,0,13,18.537042677402496,0.4521229921317682
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1-7845,6,7,1-7845,36,6,0,11,15.76211303472519,0.4378364731868108
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,2,4,MLG55,92,22,0,20,39.74929642677307,0.43205756985622906
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,1-3083,6,16,1-3083,78,30,0,3,32.66239446401596,0.4187486469745636
209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,8,17,1-9938,55,6,0,19,22.861831605434418,0.41566966555335305
286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,1-3587,14,19,1-3587,46,4,0,17,19.08690196275711,0.41493265136428503
560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,1-0027,14,19,1-0027,29,4,0,9,11.987183392047882,0.41335115144992696
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,2,11,1-8627,25,5,0,6,10.324788928031921,0.41299155712127683
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,1-3312,14,19,1-3312,36,12,0,3,14.66239446401596,0.40728873511155445
261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,1-1942,16,14,1-1942,34,12,0,2,13.774929642677307,0.40514498949050903
173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,1-9588,19,13,1-9588,14,3,0,3,5.662394464015961,0.4044567474297115
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1-8267,18,15,1-8267,133,12,0,47,53.71084660291672,0.40384095190162944
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,2,4,1-18709,33,8,0,6,13.324788928031921,0.403781482667634
290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,1-8341,21,12,1-8341,197,27,0,59,79.36042445898056,0.40284479420802316
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,1-8328,18,15,1-8328,114,24,0,24,45.299155712127686,0.3973610150186639
