Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,MLG40,7,MLG40,3,51,10,1,8,1010.139151930809,19.806650037859
168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,MLG45,11,MLG45,5,70,17,1,7,1017.1217579394579,14.530310827706542
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1-3523,7,1-3523,3,543,62,1,157,1064.730856642127,1.9608303068915784
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1-10468,11,1-10468,5,549,55,1,102,1056.774187117815,1.9249074446590437
148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,1-0278,14,1-0278,15,79,38,0,6,38.104363948106766,0.48233372086211096
195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,1-9379,19,1-9379,9,58,21,0,7,21.121757939457893,0.3641682403354809
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,1-8084,13,1-8084,7,82,29,0,10,29.173939913511276,0.35577975504282044
228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,MLG60,6,MLG60,2,47,16,0,7,16.121757939457893,0.3430161263714445
203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,1-9938,12,1-9938,6,55,18,0,15,18.260909870266914,0.33201654309576206
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,MLG50,14,MLG50,15,319,98,0,36,98.6261836886406,0.30917298961956297
264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,1-8928,1,1-8928,13,39,12,0,0,12.0,0.3076923076923077
212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,MLG32,9,MLG32,19,52,15,0,15,15.260909870266914,0.2934790359666714
267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,1-5413,16,1-5413,16,39,11,0,8,11.139151930809021,0.2856192802771544
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,1-11350,6,1-11350,2,100,28,0,27,28.469637766480446,0.28469637766480443
326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,1-0027,13,1-0027,7,29,8,0,8,8.139151930809021,0.2806604114072076
