Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,6,17,MLG59,71,14,0,46,52.76777005195618,0.7432080289007912
423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,1-7122,17,4,1-7122,197,9,0,163,146.3727504014969,0.7430088852867862
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,2,16,1-2382,139,25,0,74,87.36554312705994,0.6285290872450355
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,3,13,MLG41,66,17,0,28,40.59777307510376,0.6151177738652085
251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,1-7268,17,4,1-7268,70,5,0,45,42.92499244213104,0.6132141777447292
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1-5775,3,13,1-5775,244,36,0,129,144.71831166744232,0.5931078347026325
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,2,16,1-9379,58,19,0,18,34.16999697685242,0.5891378789112486
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,21,11,1-3447,110,57,0,9,64.58499848842621,0.5871363498947837
478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,3,13,1-9394,117,18,0,58,66.88110136985779,0.5716333450415195
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,19,14,1-6858,23,8,0,6,13.056665658950806,0.5676811156065568
419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,1-6692,14,5,1-6692,71,25,0,17,39.32721936702728,0.5539044981271448
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,16,14,1-3535,315,53,0,136,167.61775493621826,0.5321198569403754
236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,1-7024,7,7,1-7024,498,86,0,206,259.61218762397766,0.5213096137027664
371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,1-1580,18,19,1-1580,400,21,0,221,207.25385177135468,0.5181346294283867
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,6,17,1-7682,141,23,0,58,71.88110136985779,0.5097950451762964
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,20,6,1-6878,167,22,0,74,84.36554312705994,0.5051828929764068
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,3,13,1-8627,25,5,0,9,12.584998488426208,0.5033999395370483
338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,1-6296,20,6,1-6296,254,40,0,104,127.64887142181396,0.5025546118969054
