Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
191,191,191,191,191,191,191,191,191,191,191,191,MLG44,21,1,MLG44,59,2,1,11,1007.3579063117504,17.073862818843228
168,168,168,168,168,168,168,168,168,168,168,168,MLG45,7,17,MLG45,70,14,1,4,1015.9483295679092,14.513547565255847
84,84,84,84,84,84,84,84,84,84,84,84,1-2382,21,1,1-2382,139,2,1,14,1008.8191534876823,7.257691751709945
6,6,6,6,6,6,6,6,6,6,6,6,MLG54,7,17,MLG54,595,47,1,20,1056.7416478395462,1.776036382923607
180,180,180,180,180,180,180,180,180,180,180,180,1-10539,15,8,1-10539,63,19,0,26,31.664142191410065,0.5026054316096835
143,143,143,143,143,143,143,143,143,143,143,143,1-9286,16,12,1-9286,81,31,0,19,40.25456544756889,0.4969699437971468
332,332,332,332,332,332,332,332,332,332,332,332,P-16616,2,21,P-16616,28,13,0,0,13.0,0.4642857142857143
40,40,40,40,40,40,40,40,40,40,40,40,1-7807,5,3,1-7807,239,45,0,125,105.88529899716377,0.4430347238375053
368,368,368,368,368,368,368,368,368,368,368,368,1-6858,11,14,1-6858,23,1,0,18,9.767483055591583,0.42467317633006885
75,75,75,75,75,75,75,75,75,75,75,75,1-2545,4,4,1-2545,145,40,0,40,59.48329567909241,0.4102296253730511
36,36,36,36,36,36,36,36,36,36,36,36,MLG64,13,6,MLG64,245,79,0,44,100.43162524700165,0.40992500100817
215,215,215,215,215,215,215,215,215,215,215,215,MLG40,15,8,MLG40,51,17,0,7,20.40957674384117,0.40018777929100335
155,155,155,155,155,155,155,155,155,155,155,155,1-8157,1,9,1-8157,75,17,0,26,29.664142191410065,0.39552189588546754
43,43,43,43,43,43,43,43,43,43,43,43,MLG14,12,14,MLG14,232,81,0,21,91.22873023152351,0.3932272854807048
203,203,203,203,203,203,203,203,203,203,203,203,1-9938,11,13,1-9938,55,10,0,23,21.202895015478134,0.38550718209960244
385,385,385,385,385,385,385,385,385,385,385,385,1-18615,16,8,1-18615,22,7,0,3,8.46124717593193,0.3846021443605423
295,295,295,295,295,295,295,295,295,295,295,295,1-1942,14,17,1-1942,34,11,0,4,12.94832956790924,0.3808332225855659
165,165,165,165,165,165,165,165,165,165,165,165,MLG59,10,2,MLG59,71,25,0,4,26.94832956790924,0.3795539375761865
55,55,55,55,55,55,55,55,55,55,55,55,1-1462,14,7,1-1462,192,14,0,117,70.98863986134529,0.3697324992778401
22,22,22,22,22,22,22,22,22,22,22,22,MLG50,12,14,MLG50,319,113,0,10,117.8708239197731,0.3695010154224862
260,260,260,260,260,260,260,260,260,260,260,260,1-4760,17,11,1-4760,40,6,0,18,14.767483055591583,0.3691870763897896
109,109,109,109,109,109,109,109,109,109,109,109,1-7441,1,9,1-7441,111,3,0,77,40.505344182252884,0.3649130106509269
406,406,406,406,406,406,406,406,406,406,406,406,1-3265,17,11,1-3265,19,4,0,6,6.922494351863861,0.3643418079928348
238,238,238,238,238,238,238,238,238,238,238,238,1-4390,14,7,1-4390,45,11,0,10,15.870823919773102,0.3526849759949578
331,331,331,331,331,331,331,331,331,331,331,331,1-5981,3,12,1-5981,28,5,0,10,9.870823919773102,0.35252942570618223
128,128,128,128,128,128,128,128,128,128,128,128,1-7897,20,20,1-7897,95,4,0,60,33.22494351863861,0.34973624756461696
51,51,51,51,51,51,51,51,51,51,51,51,MLG65,3,5,MLG65,201,42,0,58,70.25077873468399,0.34950636186409945
8,8,8,8,8,8,8,8,8,8,8,8,1-10468,11,13,1-10468,549,93,0,201,190.90356078743935,0.34772961892065457
89,89,89,89,89,89,89,89,89,89,89,89,1-9831,11,13,1-9831,132,16,0,61,45.71202591061592,0.34630322659557516
299,299,299,299,299,299,299,299,299,299,299,299,MLG31,13,6,MLG31,33,8,0,7,11.409576743841171,0.34574474981336883
281,281,281,281,281,281,281,281,281,281,281,281,1-3312,11,13,1-3312,36,9,0,7,12.409576743841171,0.3447104651066992
101,101,101,101,101,101,101,101,101,101,101,101,1-18371,20,20,1-18371,120,11,0,62,41.19910830259323,0.34332590252161027
129,129,129,129,129,129,129,129,129,129,129,129,1-4531,14,7,1-4531,94,13,0,39,31.996213287115097,0.340385247735267
100,100,100,100,100,100,100,100,100,100,100,100,1-5172,2,10,1-5172,120,16,0,51,40.84120199084282,0.34034334992369014
272,272,272,272,272,272,272,272,272,272,272,272,1-19229,15,8,1-19229,38,7,0,12,12.844988703727722,0.3380260185191506
138,138,138,138,138,138,138,138,138,138,138,138,1-4640,7,17,1-4640,87,24,0,11,29.357906311750412,0.3374471989856369
9,9,9,9,9,9,9,9,9,9,9,9,1-3523,17,11,1-3523,543,71,0,227,181.5677029788494,0.3343788268487098
300,300,300,300,300,300,300,300,300,300,300,300,1-18709,6,15,1-18709,33,8,0,6,10.922494351863861,0.3309846773292079
270,270,270,270,270,270,270,270,270,270,270,270,1-9651,10,2,1-9651,38,12,0,1,12.48708239197731,0.32860743136782394
161,161,161,161,161,161,161,161,161,161,161,161,1-8285,16,12,1-8285,72,19,0,9,23.38374152779579,0.32477418788605267
263,263,263,263,263,263,263,263,263,263,263,263,1-6061,6,6,1-6061,40,11,0,4,12.94832956790924,0.323708239197731
31,31,31,31,31,31,31,31,31,31,31,31,1-9156,15,8,1-9156,268,73,0,28,86.63830697536469,0.3232772648334503
1,1,1,1,1,1,1,1,1,1,1,1,1-9227,14,7,1-9227,801,62,0,404,258.7812863588333,0.32307276698980436
77,77,77,77,77,77,77,77,77,77,77,77,1-9674,11,13,1-9674,144,22,0,50,46.35411959886551,0.32190360832545495
30,30,30,30,30,30,30,30,30,30,30,30,1-10785,1,9,1-10785,279,18,0,146,89.11402922868729,0.319405122683467
386,386,386,386,386,386,386,386,386,386,386,386,1-4855,16,10,1-4855,22,6,0,2,6.97416478395462,0.3170074901797555
64,64,64,64,64,64,64,64,64,64,64,64,MLG29,6,15,MLG29,164,31,0,43,51.94454285502434,0.316735017408685
228,228,228,228,228,228,228,228,228,228,228,228,MLG60,4,4,MLG60,47,10,0,10,14.870823919773102,0.3164005089313426
26,26,26,26,26,26,26,26,26,26,26,26,1-18558,17,11,1-18558,307,43,0,111,97.06614550948143,0.3161763697377245
256,256,256,256,256,256,256,256,256,256,256,256,1-0296,2,10,1-0296,41,6,0,14,12.819153487682343,0.3126622801873742
236,236,236,236,236,236,236,236,236,236,236,236,1-9794,20,20,1-9794,46,8,0,13,14.332071095705032,0.3115667629501094
49,49,49,49,49,49,49,49,49,49,49,49,1-6974,7,17,1-6974,207,40,0,50,64.35411959886551,0.31088946666118605
503,503,503,503,503,503,503,503,503,503,503,503,1-5531,10,16,1-5531,8,2,0,1,2.48708239197731,0.3108852989971638
62,62,62,62,62,62,62,62,62,62,62,62,1-6878,10,2,1-6878,167,46,0,10,50.8708239197731,0.3046157120944497
46,46,46,46,46,46,46,46,46,46,46,46,1-2282,13,6,1-2282,219,56,0,21,66.22873023152351,0.30241429329462793
150,150,150,150,150,150,150,150,150,150,150,150,1-3083,17,11,1-3083,78,4,0,40,23.483295679092407,0.30106789332169753
7,7,7,7,7,7,7,7,7,7,7,7,MLG69,3,5,MLG69,576,33,0,288,173.27972888946533,0.3008328626553218
57,57,57,57,57,57,57,57,57,57,57,57,MLG75,4,4,MLG75,185,41,0,30,55.612471759319305,0.30060795545578
