Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,14,2,1-9491,80,22,1,17,1023.978376634419,12.799729707930236
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,20,16,MLG51,248,100,1,76,1108.8445073068142,4.471147206882315
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,14,2,1-1608,307,35,1,19,1037.2111268267035,3.378537872399686
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,20,16,MLG54,595,66,1,95,1077.0556341335177,1.8101775363588533
543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,1-5803,5,10,1-5803,15,12,0,2,12.232750192284584,0.8155166794856389
497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,1-8493,16,11,1-8493,38,25,0,10,26.16375096142292,0.6885197621427084
277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,1-4051,15,9,1-4051,5,3,0,1,3.116375096142292,0.6232750192284584
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,7,12,1-5981,28,17,0,2,17.232750192284584,0.6154553640101638
520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,1-2034,6,8,1-2034,16,9,0,4,9.465500384569168,0.591593774035573
561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,1-9455,6,8,1-9455,2,1,0,1,1.116375096142292,0.558187548071146
519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,1-4926,12,15,1-4926,4,2,0,2,2.232750192284584,0.558187548071146
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,7,12,MLG59,71,37,0,20,39.32750192284584,0.5539084777865612
393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,1-7819,7,12,1-7819,59,32,0,2,32.232750192284584,0.5463177998692302
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,1-8646,16,11,1-8646,20,10,0,2,10.232750192284584,0.5116375096142292
550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,1-19568,14,2,1-19568,2,1,0,0,1.0,0.5
536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,1-9971,7,12,1-9971,15,7,0,2,7.232750192284584,0.4821833461523056
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,1-19286,5,10,1-19286,40,18,0,10,19.16375096142292,0.479093774035573
356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,1-9761,20,16,1-9761,35,16,0,6,16.698250576853752,0.4770928736243929
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,19,3,1-6980,128,59,0,0,59.0,0.4609375
533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,1-7530,9,13,1-7530,25,10,0,11,11.280126057565212,0.4512050423026085
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,11,4,1-6878,167,70,0,39,74.53862874954939,0.44633909430867896
436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,1-5161,7,12,1-5161,12,5,0,2,5.232750192284584,0.4360625160237153
125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,1-8622,20,16,1-8622,54,23,0,0,23.0,0.42592592592592593
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,1-8928,6,8,1-8928,39,15,0,11,16.280126057565212,0.4174391296811593
458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,1-7182,10,14,1-7182,22,9,0,0,9.0,0.4090909090909091
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,8,7,1-3206,45,17,0,9,18.047375865280628,0.4010527970062362
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,14,2,1-8627,25,9,0,8,9.931000769138336,0.39724003076553344
557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,1-9806,16,11,1-9806,8,3,0,1,3.116375096142292,0.3895468870177865
485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,1-5980,12,15,1-5980,29,10,0,10,11.16375096142292,0.3849569297042386
333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,1-11329,13,6,1-11329,14,5,0,3,5.349125288426876,0.3820803777447769
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,15,9,1-9277,48,17,0,9,18.047375865280628,0.37598699719334644
527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,1-5531,18,1,1-5531,8,3,0,0,3.0,0.375
431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,1-7614,10,14,1-7614,72,26,0,6,26.698250576853752,0.3708090357896354
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,MLG42,5,10,MLG42,14,5,0,1,5.116375096142292,0.3654553640101637
486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,1-8678,6,8,1-8678,17,6,0,1,6.116375096142292,0.3597867703613113
266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1-2103,20,16,1-2103,26,9,0,2,9.232750192284584,0.35510577662633014
168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,1-9655,9,13,1-9655,27,9,0,5,9.58187548071146,0.35488427706338743
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,5,10,MLG75,185,62,0,30,65.49125288426876,0.3540067723473987
210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,1-7842,17,23,1-7842,21,7,0,1,7.116375096142292,0.3388750045782044
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,12,15,MLG29,164,50,0,43,55.00412913411856,0.33539103130560094
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,1-7525,8,7,1-7525,6,2,0,0,2.0,0.3333333333333333
559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,1-5914,18,1,1-5914,3,1,0,0,1.0,0.3333333333333333
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,12,15,1-5002,45,13,0,17,14.978376634418964,0.3328528140981992
