,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
0,MLG40,24,MLG40,3,51,0,1,5,1002.5145688652992,19.657148409123515
1,MLG45,14,MLG45,5,70,17,1,8,1021.0233101844788,14.586047288349697
2,1-7874,24,1-7874,19,258,0,1,58,1029.168998837471,3.9890271272770192
3,1-10468,14,1-10468,5,549,57,1,122,1118.355480313301,2.0370773776198563
4,1-1833,15,1-1833,4,124,80,0,16,88.04662036895752,0.7100533900722381
5,1-1224,16,1-1224,16,151,90,0,34,107.09906828403471,0.7092653528744022
6,1-2423,8,1-2423,12,79,35,0,12,41.03496527671814,0.519429940211622
7,MLG48,13,MLG48,6,159,41,0,76,79.22144675254822,0.4982480927833221
8,1-1183,22,1-1183,10,45,0,0,43,21.625292241573334,0.4805620498127407
9,1-0296,7,1-0296,3,41,10,0,19,19.55536168813705,0.4769600411740745
10,1-8084,9,1-8084,7,82,35,0,8,39.02331018447876,0.4758940266399848
11,MLG57,16,MLG57,16,629,231,0,100,281.2913773059845,0.4472040974657941
12,1-1131,10,1-1131,12,138,33,0,57,61.66608506441116,0.4468556888725447
13,1-1989,24,1-1989,19,46,0,0,39,19.61363714933396,0.4263834162898686
14,MLG29,9,MLG29,7,164,41,0,53,67.65442997217178,0.4125270120254377
15,1-8066,8,1-8066,17,86,32,0,6,35.01748263835907,0.4071800306785938
16,1-3447,15,1-3447,4,110,24,0,40,44.1165509223938,0.4010595538399436
17,MLG68,8,MLG68,17,642,103,0,291,249.3479079604149,0.3883923800006462
18,1-5413,16,1-5413,16,39,8,0,14,15.04079282283783,0.3856613544317392
19,MLG60,6,MLG60,2,47,16,0,4,18.01165509223938,0.3832267040901996
20,1-7682,11,1-7682,11,141,37,0,33,53.59615451097488,0.3801145709998219
21,1-3596,15,1-3596,4,223,64,0,40,84.1165509223938,0.3772042642259811
22,1-4682,16,1-4682,16,16,4,0,4,6.01165509223938,0.3757284432649612
23,MLG65,15,MLG65,4,201,71,0,8,75.02331018447876,0.3732502994252674
24,1-6878,3,1-6878,18,167,10,0,103,61.80011862516403,0.3700605905698445
25,1-7122,10,1-7122,10,197,65,0,11,70.5320515036583,0.3580307182926817
26,1-3516,1,1-3516,8,156,17,0,74,54.21561920642853,0.347536020554029
27,1-9379,2,1-9379,9,58,20,0,0,20.0,0.3448275862068966
28,1-3206,12,1-3206,13,45,14,0,3,15.508741319179537,0.3446386959817674
29,1-9997,9,1-9997,7,16,4,0,3,5.508741319179535,0.3442963324487209
30,1-3265,7,1-3265,3,19,4,0,5,6.514568865299225,0.3428720455420644
