Unnamed: 0,Unnamed: 0.1,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,1-10951,19,19,1-10951,1,1,0,1,1.0861684679985046,1.0861684679985046
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,4,20,1-2545,145,74,0,27,76.32654863595963,0.526389990592825
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,1-7807,21,7,1-7807,239,105,0,32,107.75739097595215,0.45086774466925583
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,7,8,1-9491,80,34,0,13,35.12019008398056,0.439002376049757
500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,18,12,1-0292,99,42,0,7,42.60317927598953,0.4303351442019145
540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,1-5413,18,10,1-5413,39,16,0,6,16.517010807991028,0.4235130976407956
479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,22,2,1-9286,81,29,0,5,29.430842339992523,0.3633437325925003
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,8,6,1-11350,100,34,0,17,35.46486395597458,0.3546486395597458
558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,17,16,1-0055,18,6,0,2,6.172336935997009,0.3429076075553894
391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,MLG30,7,8,MLG30,208,65,0,30,67.58505403995514,0.3249281444228612
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,19,19,1-1608,307,96,0,42,99.6190756559372,0.32449210311380194
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,1,14,1-9270,128,39,0,29,41.498885571956635,0.3242100435309112
426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,8,6,1-4355,49,14,0,17,15.464863955974579,0.3156094684892771
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,22,2,MLG45,70,21,0,4,21.34467387199402,0.3049239124570574
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,6,15,1-18709,33,9,0,10,9.861684679985046,0.29883892969651654
286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,1-3587,4,14,1-3587,46,13,0,8,13.689347743988037,0.29759451617365296
560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,1-0027,20,5,1-0027,29,8,0,7,8.603179275989532,0.2966613543444666
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,17,4,MLG59,71,19,0,23,20.981874763965607,0.29551936287275504
484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,18,10,MLG31,33,9,0,5,9.430842339992523,0.28578310121189465
399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,18,10,MLG60,47,13,0,4,13.344673871994019,0.28392923131902165
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,13,16,MLG75,185,50,0,20,51.72336935997009,0.27958578032416265
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,12,18,MLG50,319,85,0,46,88.96374952793121,0.2788832273602859
393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,1-7819,19,12,1-7819,59,16,0,5,16.430842339992523,0.2784888532202123
243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,1-1015,21,7,1-1015,155,42,0,8,42.68934774398804,0.2754151467354067
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1-7845,10,13,1-7845,36,9,0,10,9.861684679985046,0.2739356855551402
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,1,14,1-5043,123,32,0,18,33.55103242397308,0.2727726213331145
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,20,5,1-7682,141,35,0,40,38.446738719940186,0.27267190581517864
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,8,6,MLG65,201,52,0,13,53.12019008398056,0.2642795526566197
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,1-3141,1,14,1-3141,136,35,0,8,35.68934774398804,0.26242167458814736
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,4,4,1-5981,28,7,0,3,7.258505403995514,0.25923233585698263
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,MLG69,8,6,MLG69,576,142,0,61,147.25627654790878,0.25565325789567495
406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,1-17907,21,7,1-17907,119,29,0,13,30.12019008398056,0.25311084104185344
441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,1-19166,7,8,1-19166,45,11,0,3,11.258505403995514,0.2501890089776781
207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,1-7058,1,14,1-7058,80,19,0,4,19.34467387199402,0.24180842339992523
355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,1-9498,13,16,1-9498,64,15,0,4,15.344673871994019,0.23976052924990654
375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,18,10,MLG14,232,52,0,22,53.8957062959671,0.23230907886192717
259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,1-3596,8,6,1-3596,223,47,0,48,51.13608646392822,0.22930980477097856
250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-9333,10,13,1-9333,102,18,0,60,23.17010807991028,0.22715792235206156
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,1-0129,1,14,1-0129,142,30,0,26,32.24038016796112,0.2270449307602896
415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,18,13,1-1957,47,9,0,19,10.637200891971588,0.22632342323343804
414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,1-8285,19,19,1-8285,72,15,0,15,16.29252701997757,0.22628509749968848
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,12,18,MLG58,71,15,0,12,16.034021615982056,0.22583129036594446
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,19,19,MLG56,511,107,0,96,115.27217292785645,0.2255815517179187
446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,1-3534,21,7,1-3534,279,58,0,56,62.82543420791626,0.22518076777030918
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,18,8,1-9630,33,7,0,5,7.430842339992523,0.22517704060583404
291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,MLG02,7,8,MLG02,320,67,0,40,70.44673871994019,0.22014605849981309
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,17,4,1-9379,58,12,0,7,12.603179275989532,0.21729619441361264
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,20,5,MLG51,248,48,0,63,53.42861348390579,0.21543795759639434
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,1,14,1-9963,116,24,0,11,24.94785314798355,0.21506769955158234
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,MLG39,9,9,MLG39,23,4,0,9,4.775516211986542,0.20763113965158878
542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,1-1191,21,7,1-1191,53,10,0,10,10.861684679985046,0.20493744679217069
339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,1-3523,4,20,1-3523,543,104,0,55,108.73926573991776,0.20025647465914873
340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,1-3362,21,7,1-3362,117,22,0,14,23.206358551979065,0.19834494488870996
298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,1-7019,20,8,1-7019,107,20,0,13,21.12019008398056,0.1973849540558931
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1-8267,21,7,1-8267,133,25,0,14,26.206358551979065,0.19704028986450425
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,6,5,1-0003,17,3,0,4,3.3446738719940186,0.1967455218820011
189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,1-9156,10,13,1-9156,268,44,0,101,52.70301526784897,0.19665304204421258
206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,22,2,1-9752,22,4,0,3,4.258505403995514,0.19356842745434155
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,19,19,1-1350,195,34,0,42,37.619075655937195,0.1929183366971138
222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,1-4149,7,8,1-4149,16,3,0,1,3.0861684679985046,0.19288552924990654
382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,1-18558,15,3,1-18558,307,51,0,91,58.84133058786392,0.1916655719474395
481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,1-10038,8,6,1-10038,76,14,0,6,14.517010807991028,0.1910133001051451
