Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
246,246,246,246,246,246,MLG56,18,8,MLG56,511,93,1,47,1106.0177846550941,2.1644183652741567
299,299,299,299,299,299,MLG54,18,8,MLG54,595,57,1,51,1071.1256812214851,1.8002112289436725
484,484,484,484,484,484,MLG31,15,11,MLG31,33,13,0,3,13.830922424793243,0.41911886135737103
149,149,149,149,149,149,MLG58,14,14,MLG58,71,23,0,12,26.323689699172974,0.37075619294609824
282,282,282,282,282,282,1-1608,10,12,1-1608,307,51,0,216,110.82641458511353,0.36099809311111897
190,190,190,190,190,190,1-2382,18,8,1-2382,139,43,0,18,47.98553454875946,0.345219673012658
302,302,302,302,302,302,MLG51,17,9,MLG51,248,58,0,90,82.9276727437973,0.33438577719273105
239,239,239,239,239,239,1-7042,1,13,1-7042,117,33,0,17,37.70856040716171,0.32229538809539926
128,128,128,128,128,128,1-19286,19,11,1-19286,40,12,0,3,12.830922424793243,0.3207730606198311
251,251,251,251,251,251,1-7268,10,12,1-7268,70,19,0,10,21.769741415977478,0.3109963059425354
463,463,463,463,463,463,1-1989,1,18,1-1989,46,9,0,19,14.262508690357208,0.3100545367468958
488,488,488,488,488,488,1-11350,15,11,1-11350,100,23,0,28,30.75527596473694,0.3075527596473694
419,419,419,419,419,419,1-6692,8,4,1-6692,71,16,0,21,21.816456973552704,0.307274041881024
227,227,227,227,227,227,1-3068,11,5,1-3068,180,39,0,54,53.95660364627838,0.299758909145991
153,153,153,153,153,153,1-1350,10,12,1-1350,195,49,0,31,57.58619838953018,0.2953138378950266
406,406,406,406,406,406,1-17907,11,5,1-17907,119,28,0,24,34.64737939834595,0.2911544487255962
466,466,466,466,466,466,1-5981,20,19,1-5981,28,2,0,22,8.093431115150452,0.28905111125537325
320,320,320,320,320,320,MLG13,1,18,MLG13,140,39,0,4,40.10789656639099,0.28648497547422136
464,464,464,464,464,464,1-10060,14,7,1-10060,36,3,0,26,10.201327681541443,0.2833702133761512
360,360,360,360,360,360,1-6611,11,5,1-6611,89,20,0,17,24.708560407161713,0.27762427423777203
526,526,526,526,526,526,1-5002,1,2,1-5002,45,10,0,8,12.215793132781982,0.2714620696173774
68,68,68,68,68,68,1-7845,14,11,1-7845,36,8,0,6,9.661844849586487,0.2683845791551802
420,420,420,420,420,420,1-8172,7,8,1-8172,40,9,0,6,10.661844849586487,0.26654612123966215
91,91,91,91,91,91,72-12171,8,14,72-12171,19,5,0,0,5.0,0.2631578947368421
382,382,382,382,382,382,1-18558,20,13,1-18558,307,62,0,67,80.5572674870491,0.2624015227591176
327,327,327,327,327,327,P-16616,20,18,P-16616,28,5,0,8,7.215793132781982,0.2577068975993565
355,355,355,355,355,355,1-9498,20,13,1-9498,64,14,0,9,16.49276727437973,0.2576994886621833
322,322,322,322,322,322,1-0296,4,20,1-0296,41,10,0,2,10.553948283195496,0.25741337276086573
232,232,232,232,232,232,1-18371,8,4,1-18371,120,25,0,21,30.816456973552704,0.2568038081129392
412,412,412,412,412,412,1-6858,12,18,1-6858,23,5,0,3,5.830922424793243,0.2535183662953584
426,426,426,426,426,426,1-4355,14,14,1-4355,49,9,0,12,12.323689699172974,0.25150387141169334
44,44,44,44,44,44,1-5214,16,23,1-5214,40,7,0,11,10.046715557575226,0.25116788893938063
213,213,213,213,213,213,1-18563,8,4,1-18563,8,2,0,0,2.0,0.25
15,15,15,15,15,15,1-8093,16,23,1-8093,4,1,0,0,1.0,0.25
