Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,1-7024,6,2,1-7024,498,102,1,88,1122.2160415649414,2.2534458665962678
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1-6240,6,2,1-6240,698,89,1,62,1103.2431201934814,1.580577536093813
361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,1-0008,4,12,1-0008,230,180,0,7,181.60809421539307,0.7896004096321437
517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,1-18028,14,11,1-18028,309,154,0,129,183.63487911224365,0.5942876346674552
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,2,14,MLG44,59,32,0,10,34.29727745056152,0.5813097872976529
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,8,3,1-3206,45,17,0,26,22.97292137145996,0.5105093638102214
389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,1-0278,1,7,1-0278,79,35,0,19,39.364827156066895,0.4982889513426189
399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,2,14,MLG60,47,21,0,6,22.378366470336914,0.47613545681567904
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,20,14,MLG40,51,19,0,20,23.594554901123047,0.46263833139456956
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,17,6,1-5002,45,17,0,10,19.297277450561523,0.42882838779025606
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,18,16,1-3447,110,36,0,41,45.418837547302246,0.41289852315729314
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,8,4,MLG59,71,22,0,30,28.89183235168457,0.40692721622090944
375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,20,17,MLG14,232,85,0,40,94.1891098022461,0.40598754225106076
184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,1-8074,3,3,1-8074,145,45,0,47,55.79720401763916,0.38480830356992524
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,10,5,1-9270,128,41,0,24,46.513465881347656,0.36338645219802856
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,2,14,1-9491,80,24,0,22,29.05401039123535,0.3631751298904419
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,3,3,MLG45,70,18,0,32,25.351287841796875,0.3621612548828125
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,19,13,72-12171,19,3,0,16,6.6756439208984375,0.3513496800472862
