Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,8,18,MLG40,51,34,0,0,34.0,0.6666666666666666
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,8,18,1-9491,80,52,0,0,52.0,0.65
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,8,18,1-1570,142,58,0,0,58.0,0.4084507042253521
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,7,7,1-1608,307,118,0,37,121.67373931407928,0.3963313984171964
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,8,18,MLG44,59,23,0,0,23.0,0.3898305084745763
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,8,18,MLG75,185,67,0,0,67.0,0.3621621621621622
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,15,12,1-7866,318,102,0,96,111.53186416625977,0.35072913259830113
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,14,10,MLG59,71,22,0,20,23.98580503463745,0.33782823992447114
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,20,3,1-6561,65,20,0,19,21.88651478290558,0.3367156120447012
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,8,5,1-9379,58,18,0,10,18.992902517318726,0.32746383650549526
399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,15,18,MLG60,47,15,0,0,15.0,0.3191489361702128
332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,MLG78,8,18,MLG78,80,25,0,0,25.0,0.3125
540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,1-5413,14,5,1-5413,39,11,0,8,11.79432201385498,0.30241851317576873
390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,MLG64,20,3,MLG64,245,71,0,25,73.48225629329681,0.29992757670733394
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,9,15,MLG29,164,41,0,43,45.26948082447052,0.2760334196614056
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,10,9,1-9630,33,7,0,20,8.985805034637451,0.27229712226174096
382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,1-18558,13,2,1-18558,307,77,0,47,81.66664183139801,0.26601511997198046
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,12,8,MLG51,248,60,0,59,65.85812485218048,0.26555695504911486
184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,1-8074,4,1,1-8074,145,37,0,6,37.595741510391235,0.25928097593373267
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,1-0129,20,3,1-0129,142,34,0,26,36.58154654502869,0.25761652496499077
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,20,2,P-16616,28,6,0,11,7.092192769050598,0.2532925988946642
426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,18,14,1-4355,49,12,0,4,12.39716100692749,0.25300328585566306
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,10,6,MLG50,319,75,0,49,79.86522233486176,0.2503611985418864
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,15,12,MLG45,70,15,0,22,17.184385538101196,0.24549122197287424
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,20,3,1-5355,53,11,0,15,12.489353775978088,0.23564818445241675
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,19,9,1-7682,141,26,0,66,32.55315661430359,0.2308734511652737
339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,1-3523,14,10,1-3523,543,113,0,104,123.32618618011475,0.2271200482138393
494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,1-3265,14,3,1-3265,19,4,0,3,4.297870755195618,0.22620372395766408
236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,1-7024,3,4,1-7024,498,72,0,393,111.02106893062592,0.22293387335467052
429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-6693,9,15,1-6693,98,19,0,26,21.581546545028687,0.22021986270437435
192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,1-9770,4,1,1-9770,50,11,0,0,11.0,0.22
479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,14,10,1-9286,81,17,0,8,17.79432201385498,0.21968298782537013
484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,19,9,MLG31,33,6,0,12,7.191483020782471,0.21792372790249911
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,15,12,1-1131,138,27,0,29,29.879417300224304,0.21651751666829205
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,11,13,MLG41,66,12,0,21,14.085095286369324,0.21341053464195944
404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,1-4682,20,5,1-4682,16,3,0,4,3.3971610069274902,0.21232256293296814
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,10,6,MLG52,125,22,0,44,26.368771076202393,0.21095016860961915
259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,1-3596,13,2,1-3596,223,44,0,29,46.879417300224304,0.2102216022431583
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,19,14,1-8627,25,5,0,1,5.099290251731873,0.2039716100692749
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,5,11,1-3447,110,21,0,10,21.992902517318726,0.19993547743017023
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,1-4494,18,14,1-4494,16,3,0,1,3.0992902517318726,0.19370564073324203
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,15,12,1-10539,63,12,0,0,12.0,0.19047619047619047
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,18,14,1-9283,235,39,0,53,44.262383341789246,0.18835056741186912
314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,1-3139,5,11,1-3139,93,16,0,15,17.48935377597809,0.18805756748363536
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1-9115,20,3,1-9115,16,3,0,0,3.0,0.1875
222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,1-4149,12,8,1-4149,16,3,0,0,3.0,0.1875
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,20,3,1-9270,128,20,0,40,23.971610069274902,0.18727820366621017
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,5,11,1-7005,285,49,0,43,53.26948082447052,0.1869104590332299
352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,MLG63,14,10,MLG63,380,64,0,68,70.75173711776733,0.1861887818888614
376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,1-7874,5,11,1-7874,258,45,0,30,47.97870755195618,0.18596398275952006
218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,1-9416,19,9,1-9416,13,2,0,4,2.3971610069274902,0.18439700053288385
179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,1-4052,19,9,1-4052,13,2,0,4,2.3971610069274902,0.18439700053288385
309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,1-3516,6,17,1-3516,156,19,0,98,28.73044466972351,0.18416951711361224
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1-8938,15,12,1-8938,30,5,0,5,5.496451258659363,0.1832150419553121
521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,1-19549,14,10,1-19549,29,5,0,3,5.297870755195618,0.1826851984550213
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,MLG69,13,2,MLG69,576,99,0,47,103.66664183139801,0.179976808735066
180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,1-0037,20,5,1-0037,35,6,0,3,6.297870755195618,0.1799391644341605
532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,1-19447,19,9,1-19447,15,2,0,7,2.695031762123108,0.17966878414154053
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,12,8,1-0003,17,3,0,0,3.0,0.17647058823529413
203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,1-1250,8,18,1-1250,34,6,0,0,6.0,0.17647058823529413
473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,1-9452,13,9,1-9452,16,2,0,8,2.7943220138549805,0.17464512586593628
557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,1-9806,11,13,1-9806,8,1,0,4,1.3971610069274902,0.17464512586593628
241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,1-19448,12,8,1-19448,45,7,0,8,7.7943220138549805,0.173207155863444
435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,1-9610,8,12,1-9610,49,8,0,4,8.39716100692749,0.17137063279443857
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1-3564,18,14,1-3564,41,7,0,0,7.0,0.17073170731707318
224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,1-9227,5,11,1-9227,801,122,0,140,135.90063524246216,0.16966371441006511
172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,1-8573,13,2,1-8573,184,26,0,52,31.163093090057373,0.16936463635900748
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1-9607,14,10,1-9607,19,3,0,2,3.198580503463745,0.16834634228756554
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,19,9,1-11350,100,12,0,48,16.765932083129883,0.16765932083129884
269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,1-7839,12,8,1-7839,24,4,0,0,4.0,0.16666666666666666
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,11,13,MLG55,92,12,0,33,15.276578307151794,0.1660497642081717
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,14,10,1-2545,145,19,0,51,24.0638028383255,0.16595726095396898
349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,1-3052,5,11,1-3052,166,24,0,31,27.07799780368805,0.16312046869691596
242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,1-20791,11,13,1-20791,13,2,0,1,2.0992902517318726,0.16148386551783636
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1-19813,15,12,1-19813,20,3,0,2,3.198580503463745,0.15992902517318724
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,12,8,MLG57,629,80,0,190,98.86514782905579,0.15717829543570078
514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,1-11206,17,5,1-11206,14,2,0,2,2.198580503463745,0.15704146453312465
294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,1-3509,2,19,1-3509,35,4,0,15,5.489353775978088,0.15683867931365966
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,MLG39,11,13,MLG39,23,3,0,6,3.5957415103912354,0.15633658740831458
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,20,3,1-9963,116,16,0,21,18.085095286369324,0.1559059938480114
