Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,215,215,215,215,MLG40,22,MLG40,3,51,5,1,17,1016.0730496644974,19.923000973813675
168,168,168,168,168,168,168,168,168,168,168,168,168,168,MLG45,7,MLG45,5,70,17,1,16,1027.4216938018799,14.677452768598284
32,32,32,32,32,32,32,32,32,32,32,32,32,32,1-7874,22,1-7874,19,258,16,1,30,1035.5406758785248,4.0137235499167625
8,8,8,8,8,8,8,8,8,8,8,8,8,8,1-10468,7,1-10468,5,549,59,1,150,1156.703379392624,2.1069278313162547
171,171,171,171,171,171,171,171,171,171,171,171,171,171,1-9645,13,1-9645,9,69,6,0,57,43.12728416919708,0.625033103901407
239,239,239,239,239,239,239,239,239,239,239,239,239,239,1-5002,9,1-5002,7,45,11,0,21,24.678473114967346,0.5484105136659411
67,67,67,67,67,67,67,67,67,67,67,67,67,67,1-3516,18,1-3516,8,156,19,0,100,84.13558626174927,0.5393306811650594
148,148,148,148,148,148,148,148,148,148,148,148,148,148,1-0278,10,1-0278,15,79,40,0,4,42.60542345046997,0.5393091576008857
70,70,70,70,70,70,70,70,70,70,70,70,70,70,1-1224,12,1-1224,16,151,36,0,69,80.943554520607,0.5360500299377947
66,66,66,66,66,66,66,66,66,66,66,66,66,66,MLG48,8,MLG48,6,159,12,0,108,82.34643316268921,0.5179020953628252
85,85,85,85,85,85,85,85,85,85,85,85,85,85,1-1131,15,1-1131,12,138,27,0,65,69.33813107013702,0.5024502251459204
203,203,203,203,203,203,203,203,203,203,203,203,203,203,1-9938,17,1-9938,6,55,26,0,2,27.302711725234985,0.4964129404588179
256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-0296,5,1-0296,3,41,5,0,23,19.98118484020233,0.48734597171225197
195,195,195,195,195,195,195,195,195,195,195,195,195,195,1-9379,17,1-9379,9,58,22,0,6,25.908135175704956,0.4466919857880165
12,12,12,12,12,12,12,12,12,12,12,12,12,12,1-7024,17,1-7024,9,498,98,0,181,215.89541113376617,0.43352492195535375
165,165,165,165,165,165,165,165,165,165,165,165,165,165,MLG59,7,MLG59,5,71,17,0,21,30.678473114967346,0.4320911706333429
112,112,112,112,112,112,112,112,112,112,112,112,112,112,1-3447,6,1-3447,4,110,35,0,19,47.37576138973236,0.43068873990665785
