Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,1,18,MLG32,52,27,0,14,39.13673138618469,0.752629449734321
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,11,8,1-2545,145,35,0,72,97.41747570037842,0.6718446600026098
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,8,14,1-9283,235,80,0,81,150.21966016292572,0.6392325964379818
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,1-2294,21,10,1-2294,75,13,0,35,43.34182846546173,0.5778910462061564
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,8,14,MLG65,201,68,0,55,115.68001616001129,0.5755224684577677
362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,1-1462,10,12,1-1462,192,22,0,102,110.42475724220276,0.5751289439698061
399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,17,13,MLG60,47,17,0,11,26.53600323200226,0.5645958134468566
209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,20,4,1-9938,55,14,0,19,30.471278309822083,0.5540232419967651
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,19,19,1-9379,58,17,0,16,30.87055015563965,0.5322508647524077
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,22,6,MLG29,164,37,0,57,86.41383492946625,0.5269136276186966
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,22,6,1-5002,45,6,0,20,23.33818769454956,0.5186263932122125
394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,1-2423,6,15,1-2423,79,36,0,5,40.33454692363739,0.510563885109334
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,3,22,MLG52,125,10,0,62,63.74838185310364,0.5099870548248291
354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,1-9417,1,18,1-9417,76,20,0,21,38.20509707927704,0.502698645779961
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,17,13,MLG75,185,47,0,51,91.21237862110138,0.4930398844383858
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,9,3,MLG40,51,17,0,9,24.802184462547302,0.48631734240288826
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,3,22,MLG59,71,9,0,29,34.14037215709686,0.4808503120717868
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,8,14,1-10539,63,25,0,6,30.201456308364868,0.4793881953708709
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,9,3,P-16616,28,3,0,12,13.402912616729736,0.47867545059749056
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,7,11,1-0296,41,16,0,4,19.467637538909912,0.47482042777829053
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,9,3,1-3535,315,92,0,64,147.4822006225586,0.4681974622938368
309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,1-3516,12,17,1-3516,156,4,0,79,72.48584139347076,0.46465282944532543
560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,1-0027,22,6,1-0027,29,3,0,12,13.402912616729736,0.46216940057688743
359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,1-4417,6,15,1-4417,151,16,0,62,69.74838185310364,0.46190981359671285
484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,1,7,MLG31,33,8,0,8,14.935275077819824,0.4525840932672674
