Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
345,345,345,345,345,345,345,345,1-1131,20,5,1-1131,138,69,0,23,74.90058383345604,0.5427578538656235
322,322,322,322,322,322,322,322,1-0296,1,13,1-0296,41,19,0,6,20.539282739162445,0.5009581155893279
427,427,427,427,427,427,427,427,1-9379,4,22,1-9379,58,20,0,16,24.104753971099854,0.41559920639827336
166,166,166,166,166,166,166,166,MLG40,12,4,MLG40,51,19,0,7,20.795829862356186,0.4077613698501213
426,426,426,426,426,426,426,426,1-4355,16,9,1-4355,49,18,0,0,18.0,0.3673469387755102
434,434,434,434,434,434,434,434,MLG59,1,13,MLG59,71,20,0,19,24.874395340681076,0.3503435963476208
176,176,176,176,176,176,176,176,1-8042,6,13,1-8042,52,17,0,0,17.0,0.3269230769230769
443,443,443,443,443,443,443,443,1-3447,9,16,1-3447,110,27,0,33,35.46605506539345,0.3224186824126677
399,399,399,399,399,399,399,399,MLG60,19,3,MLG60,47,10,0,20,15.130942463874817,0.3219349460398897
459,459,459,459,459,459,459,459,1-2545,6,15,1-2545,145,43,0,8,45.05237698554993,0.3107060481762064
415,415,415,415,415,415,415,415,1-1957,8,9,1-1957,47,14,0,2,14.513094246387482,0.30878923928484003
375,375,375,375,375,375,375,375,MLG14,15,2,MLG14,232,67,0,14,70.59165972471237,0.30427439536513956
364,364,364,364,364,364,364,364,1-7682,12,4,1-7682,141,32,0,37,41.49224355816841,0.2942712309089958
282,282,282,282,282,282,282,282,1-1608,12,4,1-1608,307,72,0,70,89.95829862356186,0.2930237740181168
544,544,544,544,544,544,544,544,1-5799,4,7,1-5799,7,1,0,4,2.0261884927749634,0.2894554989678519
285,285,285,285,285,285,285,285,1-18615,1,4,1-18615,22,5,0,5,6.282735615968704,0.2855788916349411
404,404,404,404,404,404,404,404,1-4682,15,6,1-4682,16,4,0,2,4.513094246387482,0.2820683903992176
339,339,339,339,339,339,339,339,1-3523,6,15,1-3523,543,124,0,109,151.96363642811775,0.2798593672709351
259,259,259,259,259,259,259,259,1-3596,9,16,1-3596,223,50,0,45,61.54462054371834,0.27598484548752616
543,543,543,543,543,543,543,543,1-5803,1,15,1-5803,15,2,0,8,4.052376985549927,0.27015846570332847
265,265,265,265,265,265,265,265,1-11330,3,17,1-11330,14,3,0,3,3.7696413695812225,0.2692600978272302
123,123,123,123,123,123,123,123,MLG55,9,16,MLG55,92,23,0,6,24.539282739162445,0.26673133412133093
495,495,495,495,495,495,495,495,MLG08,21,2,MLG08,107,28,0,2,28.51309424638748,0.26647751632137834
272,272,272,272,272,272,272,272,1-1570,11,8,1-1570,142,28,0,38,37.74879068136215,0.2658365540940997
539,539,539,539,539,539,539,539,1-9436,4,22,1-9436,21,5,0,2,5.513094246387482,0.26252829744702294
384,384,384,384,384,384,384,384,1-9270,11,8,1-9270,128,25,0,31,32.952960819005966,0.2574450063984841
441,441,441,441,441,441,441,441,1-19166,3,17,1-19166,45,9,0,10,11.565471231937408,0.2570104718208313
267,267,267,267,267,267,267,267,1-6181,14,14,1-6181,659,130,0,147,167.7124271094799,0.25449533704018196
149,149,149,149,149,149,149,149,MLG58,2,18,MLG58,71,16,0,8,18.052376985549927,0.2542588307823933
444,444,444,444,444,444,444,444,1-3217,8,17,1-3217,5,1,0,1,1.2565471231937408,0.25130942463874817
484,484,484,484,484,484,484,484,MLG31,18,2,MLG31,33,7,0,5,8.282735615968704,0.250991988362688
503,503,503,503,503,503,503,503,1-9076,1,13,1-9076,9,2,0,1,2.256547123193741,0.25072745813263786
47,47,47,47,47,47,47,47,1-19547,19,18,1-19547,66,15,0,6,16.539282739162445,0.2505951930176128
508,508,508,508,508,508,508,508,1-8532,14,14,1-8532,4,1,0,0,1.0,0.25
416,416,416,416,416,416,416,416,1-18203,7,7,1-18203,29,1,0,24,7.15713095664978,0.24679761919482002
422,422,422,422,422,422,422,422,1-6878,14,14,1-6878,167,24,0,67,41.18865725398064,0.24663866619150082
102,102,102,102,102,102,102,102,1-3564,3,17,1-3564,41,8,0,8,10.052376985549927,0.2451799264768275
294,294,294,294,294,294,294,294,1-3509,20,5,1-3509,35,7,0,6,8.539282739162445,0.2439795068332127
231,231,231,231,231,231,231,231,1-8450,19,3,1-8450,52,9,0,14,12.591659724712372,0.24214730239831483
505,505,505,505,505,505,505,505,1-4747,20,5,1-4747,25,4,0,8,6.052376985549927,0.24209507942199707
315,315,315,315,315,315,315,315,1-1769,16,7,1-1769,89,20,0,6,21.539282739162445,0.24201441279957803
62,62,62,62,62,62,62,62,1-9818,5,10,1-9818,28,6,0,3,6.7696413695812225,0.24177290605647223
359,359,359,359,359,359,359,359,1-4417,14,14,1-4417,151,27,0,36,36.23569643497467,0.23997149956936867
475,475,475,475,475,475,475,475,1-18234,1,13,1-18234,43,9,0,5,10.282735615968704,0.23913338641787685
157,157,157,157,157,157,157,157,1-6061,2,18,1-6061,40,8,0,6,9.539282739162445,0.23848206847906112
54,54,54,54,54,54,54,54,1-8125,9,16,1-8125,21,5,0,0,5.0,0.23809523809523808
331,331,331,331,331,331,331,331,MLG75,8,9,MLG75,185,37,0,26,43.67022520303726,0.236055271367769
400,400,400,400,400,400,400,400,1-18709,1,18,1-18709,33,7,0,3,7.7696413695812225,0.23544367786609766
509,509,509,509,509,509,509,509,1-18935,19,3,1-18935,30,5,0,8,7.052376985549927,0.23507923285166424
410,410,410,410,410,410,410,410,MLG12,8,9,MLG12,146,21,0,51,34.08390328288078,0.23345139234849852
445,445,445,445,445,445,445,445,1-6538,2,18,1-6538,44,10,0,1,10.25654712319374,0.23310334370894867
260,260,260,260,260,260,260,260,1-0129,11,8,1-0129,142,27,0,23,32.90058383345604,0.23169425234828198
326,326,326,326,326,326,326,326,1-8826,3,17,1-8826,123,22,0,24,28.15713095664978,0.22891976387520147
302,302,302,302,302,302,302,302,MLG51,19,3,MLG51,248,39,0,68,56.44520437717438,0.2276016305531225
11,11,11,11,11,11,11,11,1-9722,2,18,1-9722,22,5,0,0,5.0,0.22727272727272727
442,442,442,442,442,442,442,442,MLG11,16,7,MLG11,87,3,0,65,19.675563007593155,0.2261558966390018
540,540,540,540,540,540,540,540,1-5413,20,5,1-5413,39,7,0,7,8.795829862356186,0.225534099034774
308,308,308,308,308,308,308,308,1-6743,2,18,1-6743,58,13,0,0,13.0,0.22413793103448276
17,17,17,17,17,17,17,17,1-18603,14,14,1-18603,19,4,0,1,4.256547123193741,0.2240287959575653
39,39,39,39,39,39,39,39,1-7467,21,5,1-7467,64,13,0,5,14.282735615968704,0.223167743999511
531,531,531,531,531,531,531,531,1-5891,16,7,1-5891,96,17,0,17,21.361301094293594,0.22251355306555828
448,448,448,448,448,448,448,448,1-3106,4,22,1-3106,34,6,0,6,7.539282739162445,0.22174360997536602
562,562,562,562,562,562,562,562,1-0003,3,17,1-0003,17,3,0,3,3.7696413695812225,0.22174360997536602
552,552,552,552,552,552,552,552,MLG46,4,22,MLG46,17,3,0,3,3.7696413695812225,0.22174360997536602
473,473,473,473,473,473,473,473,1-9452,9,19,1-9452,16,2,0,6,3.539282739162445,0.22120517119765282
51,51,51,51,51,51,51,51,1-9925,20,5,1-9925,93,18,0,10,20.56547123193741,0.22113409926814417
292,292,292,292,292,292,292,292,1-9997,20,3,1-9997,16,3,0,2,3.5130942463874817,0.2195683903992176
335,335,335,335,335,335,335,335,1-8910,19,3,1-8910,137,27,0,12,30.07856547832489,0.21955157283448826
466,466,466,466,466,466,466,466,1-5981,18,6,1-5981,28,2,0,16,6.1047539710998535,0.2180269275392805
382,382,382,382,382,382,382,382,1-18558,6,15,1-18558,307,53,0,52,66.34045040607452,0.2160926723324903
191,191,191,191,191,191,191,191,1-8328,6,15,1-8328,114,20,0,18,24.617848217487335,0.21594603699550294
103,103,103,103,103,103,103,103,1-8820,4,22,1-8820,83,13,0,19,17.874395340681076,0.2153541607310973
440,440,440,440,440,440,440,440,MLG52,20,5,MLG52,125,17,0,38,26.748790681362152,0.21399032545089722
353,353,353,353,353,353,353,353,MLG50,15,2,MLG50,319,55,0,50,67.82735615968704,0.2126249409394578
42,42,42,42,42,42,42,42,1-1207,6,15,1-1207,66,5,0,35,13.97914931178093,0.21180529260274136
