Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
7,7,7,7,7,1-8767,6,8,1-8767,48,37,0,2,37.02724521048367,0.7714009418850765
464,464,464,464,464,1-10060,8,16,1-10060,36,25,0,14,25.19071647338569,0.6997421242607137
412,412,412,412,412,1-6858,19,14,1-6858,23,16,0,4,16.05449042096734,0.6980213226507539
474,474,474,474,474,1-8400,11,2,1-8400,33,23,0,1,23.013622605241835,0.6973825031891465
278,278,278,278,278,1-10762,14,4,1-10762,6,4,0,1,4.013622605241835,0.6689371008736392
504,504,504,504,504,1-5425,11,2,1-5425,17,11,0,0,11.0,0.6470588235294118
466,466,466,466,466,1-5981,21,7,1-5981,28,18,0,8,18.10898084193468,0.6467493157833815
558,558,558,558,558,1-0055,11,2,1-0055,18,10,0,0,10.0,0.5555555555555556
432,432,432,432,432,1-6914,19,14,1-6914,73,40,0,7,40.095358236692846,0.5492514826944226
281,281,281,281,281,1-9995,8,16,1-9995,24,13,0,4,13.05449042096734,0.5439371008736392
530,530,530,530,530,1-4847,2,18,1-4847,2,1,0,1,1.0136226052418351,0.5068113026209176
327,327,327,327,327,P-16616,9,6,P-16616,28,14,0,9,14.122603447176516,0.5043786945420184
519,519,519,519,519,1-4926,1,9,1-4926,4,2,0,1,2.013622605241835,0.5034056513104588
436,436,436,436,436,1-5161,10,15,1-5161,12,6,0,2,6.02724521048367,0.5022704342069725
471,471,471,471,471,1-9794,11,2,1-9794,46,23,0,2,23.02724521048367,0.5005922871844276
492,492,492,492,492,1-6028,14,4,1-6028,2,1,0,0,1.0,0.5
68,68,68,68,68,1-7845,12,12,1-7845,36,17,0,13,17.177093868143857,0.47714149633732933
218,218,218,218,218,1-9416,1,9,1-9416,13,6,0,5,6.068113026209176,0.4667779250930135
183,183,183,183,183,1-9496,19,14,1-9496,39,18,0,1,18.013622605241835,0.461887759108765
251,251,251,251,251,1-7268,1,9,1-7268,70,32,0,12,32.16347126290202,0.45947816089860033
393,393,393,393,393,1-7819,7,11,1-7819,59,26,0,2,26.02724521048367,0.4411397493302317
465,465,465,465,465,1-5913,1,9,1-5913,14,6,0,5,6.068113026209176,0.4334366447292268
544,544,544,544,544,1-5799,1,9,1-5799,7,3,0,1,3.013622605241835,0.4305175150345479
514,514,514,514,514,1-11206,14,4,1-11206,14,6,0,1,6.013622605241835,0.4295444718029882
140,140,140,140,140,1-2294,11,2,1-2294,75,32,0,1,32.013622605241835,0.4268483014032245
548,548,548,548,548,1-3087,14,4,1-3087,26,11,0,5,11.068113026209176,0.42569665485419905
255,255,255,255,255,1-9946,10,15,1-9946,12,5,0,5,5.068113026209176,0.42234275218409795
95,95,95,95,95,1-3312,15,13,1-3312,36,15,0,8,15.108980841934681,0.41969391227596337
476,476,476,476,476,1-19205,5,3,1-19205,12,5,0,2,5.02724521048367,0.41893710087363917
49,49,49,49,49,1-2178,1,9,1-2178,12,5,0,0,5.0,0.4166666666666667
310,310,310,310,310,1-4855,1,9,1-4855,22,9,0,2,9.02724521048367,0.41032932774925773
131,131,131,131,131,1-9283,21,7,1-9283,235,95,0,82,96.11705362983048,0.40900873885034245
144,144,144,144,144,1-7744,6,8,1-7744,37,15,0,1,15.013622605241835,0.405773583925455
541,541,541,541,541,1-5424,18,5,1-5424,5,2,0,2,2.0272452104836702,0.40544904209673405
444,444,444,444,444,1-3217,15,13,1-3217,5,2,0,2,2.0272452104836702,0.40544904209673405
536,536,536,536,536,1-9971,8,16,1-9971,15,6,0,4,6.0544904209673405,0.40363269473115604
254,254,254,254,254,1-8379,8,16,1-8379,5,2,0,1,2.013622605241835,0.40272452104836703
455,455,455,455,455,1-17790,3,20,1-17790,5,2,0,1,2.013622605241835,0.40272452104836703
277,277,277,277,277,1-4051,11,2,1-4051,5,2,0,0,2.0,0.4
367,367,367,367,367,1-8544,1,9,1-8544,54,21,0,7,21.095358236692846,0.39065478216097865
233,233,233,233,233,MLG07,15,13,MLG07,90,35,0,6,35.08173563145101,0.3897970625716779
216,216,216,216,216,1-9887,1,9,1-9887,36,14,0,2,14.02724521048367,0.38964570029121304
248,248,248,248,248,1-2400,1,9,1-2400,49,19,0,5,19.068113026209176,0.38914516380018727
421,421,421,421,421,1-8398,17,10,1-8398,54,21,0,1,21.013622605241835,0.38914115935633026
77,77,77,77,77,1-2153,17,10,1-2153,13,5,0,0,5.0,0.38461538461538464
192,192,192,192,192,1-9770,12,12,1-9770,50,19,0,6,19.08173563145101,0.3816347126290202
292,292,292,292,292,1-9997,10,15,1-9997,16,6,0,5,6.068113026209176,0.3792570641380735
288,288,288,288,288,1-8590,14,4,1-8590,24,9,0,2,9.02724521048367,0.37613521710348624
221,221,221,221,221,1-8023,11,2,1-8023,16,6,0,0,6.0,0.375
347,347,347,347,347,1-8188,15,13,1-8188,140,52,0,33,52.44954597298056,0.3746396140927183
479,479,479,479,479,1-9286,1,9,1-9286,81,30,0,19,30.258829499594867,0.37356579629129466
346,346,346,346,346,MLG32,2,18,MLG32,52,19,0,10,19.13622605241835,0.36800434716189134
206,206,206,206,206,1-9752,10,15,1-9752,22,8,0,5,8.068113026209176,0.36673241028223524
506,506,506,506,506,1-6227,9,6,1-6227,52,19,0,3,19.040867815725505,0.36617053491779816
285,285,285,285,285,1-18615,10,15,1-18615,22,8,0,2,8.02724521048367,0.36487478229471226
