Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,18,15,MLG14,232,53,1,21,1071.4382733106613,4.618268419442506
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,10,6,MLG56,511,70,1,156,1206.9700303077698,2.361976575944755
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,10,6,MLG54,595,26,1,275,1267.453579068184,2.130174082467536
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,18,15,MLG68,642,92,1,32,1120.0964164733887,1.7446984680270852
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-6974,21,5,1-6974,207,15,0,160,155.48208236694336,0.7511211708547988
362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,1-1462,7,14,1-1462,192,9,0,124,117.8736138343811,0.6139250720540682
251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,1-7268,17,16,1-7268,70,10,0,37,42.48648154735565,0.6069497363907951
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,17,16,1-9283,235,18,0,137,138.28778302669525,0.5884586511774266
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,19,12,1-6858,23,0,0,15,13.17019522190094,0.5726171835609104
236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,1-7024,13,4,1-7024,498,59,0,253,281.1372927427292,0.5645327163508618
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,20,21,P-16616,28,7,0,10,15.78013014793396,0.5635760767119271
429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-6693,16,3,1-6693,98,4,0,55,52.29071581363678,0.533578732792212
250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-9333,9,22,1-9333,102,34,0,21,52.438273310661316,0.5141007187319737
227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,1-3068,8,10,1-3068,180,10,0,93,91.65521037578583,0.5091956131988101
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,16,3,MLG52,125,39,0,27,62.70635139942169,0.5016508111953736
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,11,18,1-2545,145,36,0,41,71.99853360652924,0.49654161107951195
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,2,19,1-1390,98,24,0,28,48.58436441421509,0.4957588205532152
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,5,23,1-7682,141,58,0,11,67.65814316272736,0.4798449869696976
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,21,5,1-5355,53,18,0,8,25.024104118347168,0.4721529078933428
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,20,9,1-5002,45,15,0,6,20.268078088760376,0.45040173530578614
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,12,17,MLG44,59,16,0,12,26.536156177520752,0.4497653589410297
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,17,16,MLG65,201,20,0,78,88.48501515388489,0.44022395598947706
379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,1-4640,8,10,1-4640,87,6,0,36,37.608468532562256,0.43228124750071556
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,1,20,MLG58,71,14,0,19,30.682247281074524,0.4321443279024581
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,1-6611,8,10,1-6611,89,3,0,40,38.12052059173584,0.42832045608691954
529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,1-6217,10,6,1-6217,44,3,0,18,18.804234266281128,0.42736896059729834
176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,1-8042,11,18,1-8042,52,16,0,7,22.146091103553772,0.4258863673760341
224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,1-9227,7,14,1-9227,801,47,0,335,341.13435995578766,0.42588559295354267
245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,1-6647,9,8,1-6647,62,21,0,6,26.268078088760376,0.4236786788509738
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1-18202,6,22,1-18202,23,0,0,11,9.658143162727356,0.41991926794466766
259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,1-3596,17,16,1-3596,223,26,0,77,93.60700213909149,0.4197623414309036
511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,1-9697,2,19,1-9697,20,4,0,5,8.39006507396698,0.419503253698349
209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,13,12,1-9938,55,0,0,26,22.828338384628296,0.41506069790233263
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,11,18,1-7866,318,44,0,100,131.8013014793396,0.41446950150735723
377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,1-7213,4,21,1-7213,23,6,0,4,9.512052059173584,0.4135674808336341
393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,1-7819,11,18,1-7819,59,19,0,6,24.268078088760376,0.4113233574366165
264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,P-0009,17,16,P-0009,7,2,0,1,2.878013014793396,0.4111447163990566
138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,1-5515,8,10,1-5515,29,4,0,9,11.902117133140564,0.4104178321772608
350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,1-2282,20,9,1-2282,219,72,0,20,89.56026029586792,0.40895096025510463
