Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
212,212,212,212,212,212,MLG32,13,MLG32,8,52,17,1,13,1028.0810598134995,19.770789611798065
34,34,34,34,34,34,MLG51,13,MLG51,8,248,10,2,72,2071.3720235824585,8.352306546703462
30,30,30,30,30,30,1-10785,19,1-10785,17,279,31,2,10,2039.5238921642303,7.3101214772911485
58,58,58,58,58,58,MLG49,22,MLG49,21,185,26,1,10,1034.5238921642303,5.592021038725569
18,18,18,18,18,18,MLG63,19,MLG63,17,380,28,2,54,2074.029017686844,5.4579710991759045
54,54,54,54,54,54,1-1350,22,1-1350,21,195,15,1,47,1055.0622931718826,5.410575862419911
45,45,45,45,45,45,1-3596,21,1-3596,15,223,35,1,43,1071.6527363061905,4.805617651597267
43,43,43,43,43,43,MLG14,21,MLG14,15,232,41,1,21,1058.9001735448837,4.564224885969327
41,41,41,41,41,41,1-9283,13,1-9283,8,235,20,1,31,1046.424065709114,4.4528683647196345
31,31,31,31,31,31,1-9156,18,1-9156,12,268,57,1,15,1069.7858382463455,3.991738202411737
12,12,12,12,12,12,1-7024,18,1-7024,12,498,55,1,63,1108.7005206346512,2.226306266334641
16,16,16,16,16,16,1-7140,3,1-7140,1,397,9,0,229,204.19713056087494,0.514350454813287
47,47,47,47,47,47,1-0303,22,1-0303,21,212,26,0,96,107.82936477661133,0.5086290791349591
553,553,553,553,553,553,1-4847,11,1-4847,6,2,1,0,0,1.0,0.5
29,29,29,29,29,29,1-3534,7,1-3534,6,279,14,0,142,135.03926873207092,0.48401171588555886
104,104,104,104,104,104,1-9394,20,1-9394,16,117,6,0,58,55.43857455253601,0.47383397053449583
239,239,239,239,239,239,1-5002,7,1-5002,3,45,10,0,13,21.08105981349945,0.46846799585554333
78,78,78,78,78,78,1-1570,17,1-1570,13,142,17,0,58,66.43857455253601,0.46787728558123953
376,376,376,376,376,376,1-18487,17,1-18487,13,23,3,0,9,10.671502947807312,0.4639783890351005
111,111,111,111,111,111,1-0272,8,1-0272,20,111,2,0,56,49.73379611968994,0.44805221729450395
176,176,176,176,176,176,1-6561,17,1-6561,13,65,10,0,22,28.752562761306763,0.44234711940471944
55,55,55,55,55,55,1-1462,14,1-1462,9,192,51,0,37,82.53840100765228,0.429887505248189
62,62,62,62,62,62,1-6878,3,1-6878,1,167,11,0,71,71.51963436603546,0.4282612836289549
89,89,89,89,89,89,1-9831,15,1-9831,10,132,22,0,39,55.24317944049835,0.41850893515529053
91,91,91,91,91,91,1-9270,17,1-9270,13,128,21,0,38,53.39079022407532,0.4171155486255884
84,84,84,84,84,84,1-2382,11,1-2382,6,139,42,0,18,57.343005895614624,0.41253961075981743
195,195,195,195,195,195,1-9379,21,1-9379,15,58,11,0,15,23.78583824634552,0.4101006594197503
