Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,MLG40,23,MLG40,3,51,0,1,7,1006.0881454348564,19.72721853793836
168,168,168,168,168,168,168,MLG45,5,MLG45,5,70,17,1,16,1030.9157609939575,14.727368014199394
32,32,32,32,32,32,32,1-7874,23,1-7874,19,258,0,1,58,1050.444633603096,4.071490827918977
8,8,8,8,8,8,8,1-10468,5,1-10468,5,549,60,1,150,1190.4602593183517,2.1684157728931726
66,66,66,66,66,66,66,MLG48,6,MLG48,6,159,13,0,135,130.41423338651657,0.8202153043177143
81,81,81,81,81,81,81,1-7682,9,1-7682,11,141,38,0,71,99.7511894106865,0.7074552440474219
147,147,147,147,147,147,147,1-2423,14,1-2423,12,79,34,0,22,53.13417136669159,0.6725844476796403
67,67,67,67,67,67,67,1-3516,17,1-3516,8,156,17,0,95,99.62483090162277,0.6386207109078382
85,85,85,85,85,85,85,1-1131,8,1-1131,12,138,34,0,61,87.05383878946304,0.630824918764225
256,256,256,256,256,256,256,1-0296,3,1-0296,3,41,5,0,23,25.003906428813934,0.6098513763125349
47,47,47,47,47,47,47,1-0303,19,1-0303,20,212,0,0,144,125.24184894561768,0.5907634384227249
239,239,239,239,239,239,239,1-5002,7,1-5002,7,45,11,0,17,25.785496056079865,0.5730110234684415
267,267,267,267,267,267,267,1-5413,13,1-5413,16,39,10,0,14,22.17629086971283,0.5686228428131495
301,301,301,301,301,301,301,1-8400,8,1-8400,9,33,3,0,18,18.65523111820221,0.5653100338849154
104,104,104,104,104,104,104,1-9394,21,1-9394,10,117,0,0,76,66.09986472129822,0.5649561087290446
62,62,62,62,62,62,62,1-6878,15,1-6878,18,167,18,0,86,92.79721534252167,0.5556719481588124
71,71,71,71,71,71,71,1-4417,15,1-4417,18,151,29,0,63,83.79330891370773,0.5549225755874684
56,56,56,56,56,56,56,1-8427,9,1-8427,11,189,8,0,106,100.19191658496857,0.5301159607670295
22,22,22,22,22,22,22,MLG50,12,MLG50,15,319,43,0,144,168.24184894561768,0.527403915190024
41,41,41,41,41,41,41,1-9283,9,1-9283,11,235,16,0,124,123.84714770317078,0.5270091391624289
165,165,165,165,165,165,165,MLG59,5,MLG59,5,71,18,0,21,36.264436304569244,0.5107667085150598
203,203,203,203,203,203,203,1-9938,6,1-9938,6,55,18,0,11,27.567085683345795,0.5012197396971962
114,114,114,114,114,114,114,1-7152,17,1-7152,8,109,1,0,60,53.1841037273407,0.48792755713156605
5,5,5,5,5,5,5,MLG57,13,MLG57,16,629,147,0,182,305.2917813062668,0.4853605426172763
112,112,112,112,112,112,112,1-3447,4,1-3447,4,110,32,0,23,52.003906428813934,0.47276278571649033
54,54,54,54,54,54,54,1-1350,9,1-1350,11,195,29,0,72,91.62092447280884,0.46985089473235303
19,19,19,19,19,19,19,1-7863,11,1-7863,14,351,17,0,170,164.85496056079865,0.4696722523099677
242,242,242,242,242,242,242,1-3206,10,1-3206,13,45,12,0,10,20.69735062122345,0.45994112491607664
30,30,30,30,30,30,30,1-10785,11,1-10785,14,279,28,0,115,128.01953214406967,0.458851369692006
23,23,23,23,23,23,23,1-7866,3,1-7866,3,318,28,0,134,144.54449832439423,0.4545424475609881
124,124,124,124,124,124,124,1-0292,15,1-0292,18,99,4,0,47,44.877547919750214,0.45330856484596177
146,146,146,146,146,146,146,MLG78,12,MLG78,15,80,18,0,21,36.264436304569244,0.45330545380711557
441,441,441,441,441,441,441,1-9997,7,1-9997,7,16,2,0,6,7.21841037273407,0.45115064829587936
34,34,34,34,34,34,34,MLG51,13,MLG51,16,248,71,0,46,111.00781285762787,0.4476121486194672
