Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,1-0008,2,14,1-0008,230,150,0,50,193.08149218559265,0.8394847486330115
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,10,6,MLG54,595,71,0,422,434.607794046402,0.7304332673048772
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,2,14,1-6878,167,15,0,123,120.98047077655792,0.7244339567458559
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,10,6,MLG50,319,117,0,114,215.22580218315125,0.6746890350569005
370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,MLG62,13,4,MLG62,525,19,0,385,350.7274898290634,0.6680523615791684
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,11,18,1-1390,98,11,0,62,64.42105031013489,0.6573576562258662
517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,1-18028,18,13,1-18028,309,193,0,3,195.58488953113556,0.632960807544128
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,12,12,MLG57,629,107,0,314,377.55177092552185,0.6002412892297645
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,7,7,1-1608,307,104,0,93,184.13157546520233,0.5997771187791607
394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,1-2423,2,14,1-2423,79,5,0,46,44.63497281074524,0.5649996558322182
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,12,12,MLG51,248,72,0,69,131.45245921611786,0.5300502387746688
468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,1-6228,5,16,1-6228,48,2,0,27,25.26400578022003,0.526333453754584
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,5,16,1-7005,285,45,0,120,148.39558124542236,0.5206862499839381
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,14,11,1-2545,145,71,0,3,73.58488953113556,0.5074819967664521
411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,MLG15,11,18,MLG15,105,6,0,54,52.52801156044006,0.5002667767660959
