,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
154,MLG38,6,20,MLG38,77,12,0,9,17.237149357795715,0.2238590825687755
155,1-9417,22,3,1-9417,76,3,0,24,16.965731620788574,0.2232333107998496
156,1-1769,22,3,1-1769,89,0,0,34,19.784786462783813,0.2223009714919529
157,MLG78,5,21,MLG78,80,2,0,27,17.711448073387146,0.2213931009173393
158,1-3596,14,16,1-3596,223,33,0,28,49.29335355758667,0.2210464285093572
159,1-0053,4,22,1-0053,142,18,0,23,31.38382613658905,0.2210128601168243
160,1-1390,4,22,1-1390,98,10,0,20,21.63810968399048,0.2207970375917395
161,1-17835,19,17,1-17835,17,2,0,3,3.745716452598572,0.220336261917563
162,1-9436,15,23,1-9436,21,4,0,1,4.581905484199524,0.2181859754380725
163,MLG55,1,18,MLG55,92,13,0,12,19.982865810394287,0.2172050631564596
164,MLG50,9,4,MLG50,319,65,0,7,69.07333838939667,0.216530841346071
165,1-7521,1,18,1-7521,10,1,0,2,2.163810968399048,0.2163810968399047
166,1-5555,22,3,1-5555,10,1,0,2,2.163810968399048,0.2163810968399047
167,1-18377,1,20,1-18377,14,3,0,0,3.0,0.2142857142857142
168,1-1462,8,13,1-1462,192,26,0,26,41.12954258918762,0.2142163676520188
169,1-8172,20,8,1-8172,40,1,0,13,8.564771294593811,0.2141192823648453
170,1-7024,20,8,1-7024,498,67,0,68,106.56957292556764,0.2139951263565615
171,1-5197,22,3,1-5197,72,2,0,23,15.38382613658905,0.2136642518970701
172,1-2282,15,23,1-2282,219,31,0,27,46.711448073387146,0.2132942834401239
173,1-9609,10,10,1-9609,25,3,0,4,5.327621936798096,0.2131048774719238
174,1-9283,19,17,1-9283,235,11,0,67,49.9876674413681,0.2127134784739068
175,1-4760,17,6,1-4760,40,5,0,6,8.491432905197144,0.2122858226299286
176,1-8095,8,13,1-8095,46,1,0,15,9.72858226299286,0.2114909187607143
177,1-7744,23,14,1-7744,37,2,0,10,7.819054841995239,0.2113258065404118
178,1-7467,23,14,1-7467,64,7,0,11,13.400960326194763,0.2093900050967931
179,1-9345,5,21,1-9345,47,4,0,10,9.81905484199524,0.2089160604679838
180,MLG41,2,19,MLG41,66,5,0,15,13.72858226299286,0.2080088221665584
