Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,17,8,1-9379,58,39,0,9,39.21451102383435,0.6761122590316266
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,1-19286,2,10,1-19286,40,18,0,6,18.1430073492229,0.4535751837305725
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,13,19,MLG65,201,80,0,34,80.81037497892976,0.4020416665618396
423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,1-7122,1,20,1-7122,197,72,0,212,77.05292633920908,0.3911316057827872
293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,1-8066,9,15,1-8066,86,33,0,18,33.429022047668695,0.38870955869382207
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,17,8,MLG75,185,62,0,25,62.59586395509541,0.3383560213788941
241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,1-19448,17,16,1-19448,45,15,0,5,15.119172791019082,0.33598161757820183
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,21,2,1-1131,138,45,0,7,45.166841907426715,0.3272959558509182
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,11,14,1-0296,41,12,0,13,12.309849256649613,0.3002402257719418
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,7,6,1-9277,48,14,0,16,14.381352931261063,0.2996115194012721
352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,MLG63,20,17,MLG63,380,112,0,49,113.167893351987,0.2978102456631237
398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,18,16,1-0303,212,61,0,87,63.07360656373203,0.29751701209307563
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1-5775,6,4,1-5775,244,71,0,7,71.16684190742671,0.29166738486650295
375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,21,2,MLG14,232,67,0,22,67.52436028048396,0.29105327707105155
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,10,13,1-8627,25,7,0,10,7.238345582038164,0.28953382328152655
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,23,9,1-9270,128,36,0,26,36.61969851329923,0.2860913946351502
184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,1-8074,12,4,1-8074,145,40,0,25,40.59586395509541,0.27997147555238217
391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,MLG30,9,15,MLG30,208,57,0,20,57.47669116407633,0.2763302459811362
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,11,13,MLG32,52,14,0,12,14.286014698445797,0.2747310518931884
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,10,6,1-5002,45,12,0,12,12.286014698445797,0.27302254885435107
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,22,3,1-7866,318,85,0,61,86.4539080504328,0.2718676353787195
162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,1-8067,5,18,1-8067,322,86,0,31,86.73887130431831,0.2693753767214854
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,5,18,1-6858,23,6,0,2,6.047669116407633,0.26294213549598405
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,5,18,P-16616,28,7,0,8,7.190676465630531,0.25680987377251896
480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,1-1005,20,17,1-1005,125,31,0,32,31.762705862522125,0.254101646900177
259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,1-3596,15,14,1-3596,223,55,0,39,55.92954776994884,0.2508051469504432
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,23,11,1-6561,65,16,0,5,16.119172791019082,0.24798727370798587
