Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,11,6,MLG52,125,58,0,38,85.4467089176178,0.6835736713409424
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,18,12,MLG54,595,64,0,465,399.86104333400726,0.6720353669479113
370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,MLG62,10,10,MLG62,525,81,0,375,351.8556801080704,0.6702012954439436
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,18,12,1-1390,98,39,0,35,64.27986347675323,0.655916974252584
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,18,12,1-2382,139,41,0,62,85.7814724445343,0.6171328952844194
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,14,2,72-12171,19,10,0,1,10.722281813621521,0.5643306217695537
207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,1-7058,17,7,1-7058,80,3,0,54,42.003217935562134,0.5250402241945267
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,19,5,MLG55,92,20,0,39,48.16899073123932,0.523575986209123
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,11,6,1-3206,45,17,0,9,23.50053632259369,0.522234140502082
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,13,3,MLG45,70,18,0,25,36.057045340538025,0.5151006477219718
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,19,5,1-6980,128,8,0,80,65.78254508972168,0.5139261335134506
320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,MLG13,7,8,MLG13,140,52,0,26,70.77932715415955,0.5055666225297111
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,14,9,1-7866,318,12,0,205,160.0677717924118,0.5033577729321126
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,17,7,1-1258,435,95,0,167,215.621062874794,0.49568060430987126
398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,6,2,1-0303,212,97,0,11,104.94509994983673,0.4950240563671544
462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,1-1183,2,19,1-1183,45,2,0,28,22.223890781402588,0.49386423958672415
392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,1-9609,20,3,1-9609,25,8,0,6,12.333690881729126,0.49334763526916503
361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,1-0008,20,15,1-0008,230,5,0,149,112.61999022960663,0.4896521314330723
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,16,11,1-1350,195,48,0,65,94.94831788539886,0.48691445069435313
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,7,8,MLG44,59,19,0,13,28.389663577079773,0.48118073859457244
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,7,8,MLG40,51,15,0,12,23.667381763458252,0.4640663090874167
485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,1-5980,13,3,1-5980,29,6,0,10,13.22281813621521,0.45595924607638655
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,18,4,1-9630,33,12,0,4,14.889127254486084,0.4511856743783662
292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,1-9997,13,7,1-9997,16,2,0,7,7.055972695350647,0.44099829345941544
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,16,11,1-1608,307,48,0,120,134.67381763458252,0.43867693040580624
