Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
168,168,168,168,168,168,MLG45,7,MLG45,5,70,17,1,7,1019.1095862090588,14.558708374415126
8,8,8,8,8,8,1-10468,7,1-10468,5,549,56,1,116,1090.958857178688,1.987174603239869
147,147,147,147,147,147,1-2423,17,1-2423,12,79,34,0,22,40.63012808561325,0.5143054188052311
54,54,54,54,54,54,1-1350,12,1-1350,11,195,75,0,26,82.83560591936111,0.42479797907364675
195,195,195,195,195,195,1-9379,19,1-9379,9,58,21,0,5,22.50684729218483,0.38804909124456605
203,203,203,203,203,203,1-9938,8,1-9938,6,55,18,0,11,21.315064042806625,0.38754661896012044
228,228,228,228,228,228,MLG60,2,MLG60,2,47,16,0,7,18.10958620905876,0.38531034487359067
215,215,215,215,215,215,MLG40,5,MLG40,3,51,17,0,8,19.410955667495728,0.3806069738724652
212,212,212,212,212,212,MLG32,5,MLG32,19,52,15,0,15,19.52054187655449,0.37539503608758634
217,217,217,217,217,217,1-9770,11,1-9770,10,50,17,0,5,18.50684729218483,0.3701369458436966
81,81,81,81,81,81,1-7682,12,1-7682,11,141,39,0,42,51.65751725435257,0.3663653705982452
267,267,267,267,267,267,1-5413,16,1-5413,16,39,10,0,14,14.219172418117523,0.36459416456711596
23,23,23,23,23,23,1-7866,3,1-7866,3,318,79,0,120,115.16433501243591,0.36215199689445254
123,123,123,123,123,123,1-11350,2,1-11350,2,100,29,0,23,35.93149754405022,0.35931497544050217
277,277,277,277,277,277,1-10060,8,1-10060,20,36,8,0,16,12.821911334991455,0.35616420374976265
57,57,57,57,57,57,MLG75,19,MLG75,9,185,61,0,14,65.21917241811752,0.3525360671249596
112,112,112,112,112,112,1-3447,6,1-3447,4,110,27,0,37,38.15066996216774,0.34682427238334307
34,34,34,34,34,34,MLG51,16,MLG51,16,248,71,0,44,84.2602561712265,0.339759097464623
386,386,386,386,386,386,1-4855,16,1-4855,11,22,4,0,11,7.315064042806625,0.3325029110366648
435,435,435,435,435,435,1-4494,12,1-4494,12,16,5,0,1,5.301369458436966,0.33133559115231037
66,66,66,66,66,66,MLG48,8,MLG48,6,159,11,0,136,51.98624634742737,0.3269575241976564
31,31,31,31,31,31,1-9156,11,1-9156,10,268,56,0,103,87.04105421900749,0.3247800530559981
71,71,71,71,71,71,1-4417,18,1-4417,18,151,29,0,65,48.589014798402786,0.32178155495630983
5,5,5,5,5,5,MLG57,16,MLG57,16,629,147,0,183,202.15061089396477,0.32138411906830644
189,189,189,189,189,189,MLG10,4,MLG10,20,60,11,0,27,19.13697537779808,0.318949589629968
239,239,239,239,239,239,1-5002,9,1-5002,7,45,10,0,14,14.219172418117523,0.31598160929150054
256,256,256,256,256,256,1-0296,3,1-0296,3,41,8,0,16,12.821911334991455,0.31272954475588916
299,299,299,299,299,299,MLG31,13,MLG31,19,33,7,0,11,10.315064042806625,0.31257769826686743
45,45,45,45,45,45,1-3596,6,1-3596,4,223,49,0,67,69.19175371527672,0.31027692249003014
101,101,101,101,101,101,1-18371,11,1-18371,10,120,30,0,22,36.63012808561325,0.30525106738011043
37,37,37,37,37,37,1-5775,4,1-5775,20,244,67,0,24,74.23286700248718,0.3042330614856032
146,146,146,146,146,146,MLG78,15,MLG78,15,80,18,0,21,24.328758627176285,0.30410948283970357
165,165,165,165,165,165,MLG59,7,MLG59,5,71,18,0,11,21.315064042806625,0.3002121696169947
26,26,26,26,26,26,1-18558,17,1-18558,17,307,78,0,47,92.1643645465374,0.30020965650337916
182,182,182,182,182,182,1-6647,19,1-6647,9,62,18,0,2,18.602738916873932,0.3000441760786118
20,20,20,20,20,20,1-8067,8,1-8067,6,322,79,0,51,94.36984238028526,0.293074044659271
84,84,84,84,84,84,1-2382,6,1-2382,4,139,29,0,38,40.452039420604706,0.29102186633528565
218,218,218,218,218,218,1-9610,11,1-9610,10,49,10,0,14,14.219172418117523,0.29018719220648004
58,58,58,58,58,58,MLG49,4,MLG49,20,185,41,0,42,53.65751725435257,0.2900406338073112
