,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
0,MLG40,11,MLG40,3,51,13,1,3,1014.6358315348624,19.89482022617377
1,MLG45,8,MLG45,5,70,14,1,19,1024.3602663874626,14.633718091249468
2,1-3523,11,1-3523,3,543,131,1,43,1154.4469186663628,2.126053257212454
3,1-10468,8,1-10468,5,549,35,1,147,1115.1557452082634,2.03124908052507
4,1-1258,6,1-1258,15,435,161,0,147,241.1557452082634,0.5543810234672721
5,1-8066,2,1-8066,17,86,46,0,2,47.09055435657501,0.54756458554157
6,MLG48,7,MLG48,6,159,47,0,60,79.71663069725037,0.5013624572154111
7,1-4355,11,1-4355,3,49,17,0,12,23.54332613945008,0.4804760436622464
8,1-1833,12,1-1833,4,124,11,0,88,58.98439168930054,0.4756805781395204
9,1-7866,11,1-7866,3,318,134,0,30,150.35831534862518,0.4728248910334125
10,MLG32,9,MLG32,19,52,18,0,12,24.54332613945008,0.4719870411432706
11,1-1390,5,1-1390,16,98,23,0,42,45.901641488075256,0.4683840968170945
12,1-2423,2,1-2423,12,79,35,0,0,35.0,0.4430379746835443
13,1-8084,3,1-8084,7,82,27,0,17,36.2697120308876,0.4423135613522878
14,MLG29,3,MLG29,7,164,46,0,46,71.08275020122528,0.4334314036660078
15,MLG59,8,MLG59,5,71,14,0,30,30.358315348625183,0.4275819063186645
16,MLG65,12,MLG65,4,201,31,0,99,84.9824406504631,0.4227982121913587
17,MLG44,9,MLG44,19,59,14,0,20,24.90554356575012,0.4221278570466122
18,MLG41,9,MLG41,19,66,20,0,13,27.08860331773758,0.4104333836020845
19,1-8042,9,1-8042,19,52,7,0,26,21.17720663547516,0.4072539737591377
20,1-7268,10,1-7268,11,70,7,0,38,27.720532774925232,0.3960076110703605
21,1-3584,3,1-3584,17,26,1,0,17,10.269712030887604,0.3949889242649078
22,MLG60,13,MLG60,2,47,18,0,1,18.545277178287503,0.3945803654954788
23,MLG11,6,MLG11,15,87,2,0,59,34.17135351896286,0.3927741783788834
24,1-4700,16,1-4700,8,31,7,0,9,11.907494604587557,0.3841127291802437
25,1-3516,16,1-3516,8,156,17,0,78,59.53161990642548,0.381612948118112
26,1-8578,14,1-8578,1,11,2,0,4,4.181108713150024,0.3801007921045476
27,1-8314,6,1-8314,15,36,0,0,25,13.631929457187653,0.3786647071441014
28,1-10038,5,1-10038,16,76,3,0,47,28.628027379512787,0.376684570783063
29,1-10444,9,1-10444,19,8,3,0,0,3.0,0.375
