Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,4,11,1-3447,110,8,0,93,93.22831672430038,0.8475301520390944
390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,MLG64,9,15,MLG64,245,30,0,173,188.542997777462,0.7695632562345388
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-6974,6,8,1-6974,207,34,0,131,154.05279022455215,0.7442163778963872
207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,1-7058,17,9,1-7058,80,7,0,55,57.403843224048615,0.7175480403006077
371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,1-1580,14,3,1-1580,400,54,0,252,284.9412453174591,0.7123531132936478
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1-5775,12,4,1-5775,244,70,0,99,160.7269178032875,0.6587168762429816
423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,1-7122,12,4,1-7122,197,13,0,125,127.55418914556503,0.6474831936323098
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,14,3,1-7866,318,180,0,19,197.41223675012589,0.6207931973274399
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,1-4494,16,2,1-4494,16,6,0,4,9.665734052658081,0.6041083782911301
380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,1-7004,3,13,1-7004,381,15,0,233,228.52900856733322,0.5998136707804022
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,17,9,1-1570,142,26,0,63,83.73531132936478,0.5896852910518646
250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-9333,12,4,1-9333,102,7,0,57,59.236710250377655,0.5807520612782123
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,19,6,MLG57,629,84,0,306,364.4286550283432,0.579377829933773
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,15,5,MLG68,642,54,0,341,366.5038279891014,0.5708782367431486
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,18,16,MLG65,201,28,0,90,110.47901618480682,0.5496468466905812
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,4,5,1-9277,48,19,0,8,26.331468105316162,0.5485722521940867
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,9,15,1-6561,65,16,0,21,35.245103776454926,0.5422323657916143
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,17,9,1-9963,116,15,0,52,62.654542684555054,0.5401253679703022
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,1-0129,17,9,1-0129,142,29,0,52,76.65454268455505,0.5398207231306694
367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,1-8544,13,14,1-8544,54,29,0,0,29.0,0.5370370370370371
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,17,9,1-5043,123,11,0,60,65.98601078987122,0.5364716324379774
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,1-2294,8,5,1-2294,75,37,0,3,39.74930053949356,0.5299906738599142
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,1-17733,8,7,1-17733,74,6,0,36,38.99160647392273,0.5269136009989558
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,16,2,1-1350,195,52,0,55,102.40384322404861,0.5251479139694801
446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,1-3534,3,13,1-3534,279,17,0,139,144.38425832986832,0.5175063022575925
248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,1-2400,3,13,1-2400,49,6,0,21,25.245103776454926,0.5152061995194883
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,4,11,1-7005,285,0,0,160,146.62936210632324,0.5144889898467482
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,9,15,MLG59,71,20,0,18,36.495803236961365,0.5140253977036812
335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,1-8910,4,11,1-8910,137,5,0,71,70.06677943468094,0.511436346238547
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,1-3141,17,9,1-3141,136,11,0,63,68.73531132936478,0.5054067009512115
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,13,14,1-5002,45,19,0,4,22.66573405265808,0.5036829789479573
314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,1-3139,4,11,1-3139,93,3,0,47,46.07237511873245,0.4954018829971231
232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1-18371,12,4,1-18371,120,12,0,51,58.73810917139053,0.4894842430949211
363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,1-10785,17,9,1-10785,279,32,0,114,136.4734205007553,0.4891520448055746
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,17,9,1-9270,128,17,0,49,61.90524214506149,0.4836347042582929
484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,9,15,MLG31,33,3,0,14,15.830069184303284,0.4796990661910086
139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,1-7863,17,9,1-7863,351,64,0,113,167.5569869875908,0.47737033329797945
354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,1-9417,8,7,1-9417,76,14,0,24,35.994404315948486,0.47361058310458537
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,MLG39,13,14,MLG39,23,9,0,2,10.83286702632904,0.47099421853604523
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,19,15,1-5355,53,13,0,13,24.913635671138763,0.47006859756865593
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,1-8328,3,13,1-8328,114,22,0,34,53.15873944759369,0.46630473199643585
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,15,5,MLG75,185,50,0,39,85.74090701341629,0.4634643622346826
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,19,6,1-6980,128,42,0,18,58.495803236961365,0.45699846278876066
208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,1-10468,8,7,1-10468,549,100,0,161,247.54579561948776,0.450903088560087
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,16,2,1-9283,235,64,0,45,105.23950809240341,0.44782769401022726
266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1-2103,14,3,1-2103,26,7,0,5,11.582167565822601,0.4454679833008693
406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,1-17907,3,13,1-17907,119,18,0,38,52.82447350025177,0.4439031386575779
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-18615,6,8,1-18615,22,7,0,3,9.74930053949356,0.44315002452243457
224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,1-9227,4,11,1-9227,801,32,0,352,354.58459663391113,0.44267739904358444
548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,1-3087,18,16,1-3087,26,6,0,6,11.498601078987122,0.44225388765335083
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,9,15,MLG29,164,19,0,58,72.15314376354218,0.4399581936801352
157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,1-6061,13,14,1-6061,40,13,0,5,17.5821675658226,0.43955418914556504
296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,1-9404,8,7,1-9404,100,10,0,37,43.90803998708725,0.4390803998708725
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,1-9768,6,8,1-9768,241,91,0,16,105.66293621063232,0.43843541996113
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,6,2,1-10539,63,11,0,18,27.495803236961365,0.43644132122160895
179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,1-4052,15,5,1-4052,13,2,0,4,5.665734052658081,0.4358256963583139
558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,16,2,1-0055,18,6,0,2,7.8328670263290405,0.43515927924050224
188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,1-20167,19,6,1-20167,56,17,0,8,24.331468105316162,0.43449050188064575
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,4,11,1-4531,94,6,0,38,40.82447350025177,0.4343029095771465
518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,1-1850,12,4,1-1850,30,2,0,12,12.997202157974243,0.43324007193247477
192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,1-9770,6,4,1-9770,50,6,0,17,21.579369723796844,0.4315873944759369
344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,1-6035,13,14,1-6035,23,9,0,1,9.91643351316452,0.4311492831810661
454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,1-0272,3,13,1-0272,111,13,0,38,47.82447350025177,0.4308511126148808
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,18,16,1-9630,33,5,0,10,14.164335131645203,0.4292222767165213
350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,1-2282,19,6,1-2282,219,48,0,50,93.82167565822601,0.42840947789144296
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,7,10,MLG40,51,19,0,3,21.74930053949356,0.42645687332340315
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,13,14,MLG45,70,27,0,3,29.74930053949356,0.42499000770705087
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1-19547,7,10,1-19547,66,17,0,12,27.997202157974243,0.42420003269657947
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1-8267,3,13,1-8267,133,47,0,10,56.1643351316452,0.4222882340725203
409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,1-9645,6,10,1-9645,69,29,0,0,29.0,0.42028985507246375
316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,1-7441,17,9,1-7441,111,9,0,41,46.57377403974533,0.4195835499076156
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,16,2,1-7682,141,17,0,46,59.15594160556793,0.41954568514587187
152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,1-9500,17,9,1-9500,33,1,0,14,13.830069184303284,0.419093005584948
230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,1-3089,12,4,1-3089,16,3,0,4,6.665734052658081,0.41660837829113007
340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,1-3362,3,13,1-3362,117,12,0,40,48.65734052658081,0.41587470535539156
415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,18,16,1-1957,47,3,0,18,19.495803236961365,0.4148043241906673
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,8,21,1-6858,23,4,0,6,9.498601078987122,0.41298265560813574
