iteration,utility
1,40157.99437308869
2,50994.54978593272
3,51354.80422018348
4,45549.06513761468
5,57742.37834862385
6,41018.82837920489
7,40662.86837920489
8,47689.418837920486
9,49363.78318042814
10,40752.830642201836
11,44298.908256880735
12,48518.299694189605
13,39548.220917431194
14,47112.395779816514
15,40476.85584097859
16,44458.484403669725
17,33925.25914373089
18,44970.4531498471
19,49553.62024464832
20,38129.29810397553
21,51831.50470948012
22,44481.43247706422
23,45059.193394495414
24,38412.255779816514
25,45478.95504587156
26,38115.94611620795
27,32306.38360856269
28,40926.13749235474
29,46166.8050764526
30,51618.005993883795
31,40370.64519877676
32,37732.30599388379
33,41735.918103975535
34,37447.339266055045
35,45053.2773088685
36,35759.37902140673
37,50455.994617737
38,48100.03027522936
39,38567.76587155963
40,49537.790642201835
41,35530.49418960245
42,34835.48966360856
43,45893.04892966361
44,34603.33431192661
45,43665.69149847095
46,40387.1095412844
47,46157.47718654434
48,41479.37847094801
