conflicts,quints,quads,four in five slots,triple in 24h (no gaps),triple in same day (no gaps),three in four slots,evening/morning b2b,other b2b,two in three slots,singular late exam,"two exams, large gap",avg_max,lateness,size_cutoff,reserved,num_blocks,alpha,gamma,delta,vega,theta,large_block_size,large_exam_weight,large_block_weight,large_size_1,large_cutoff_freedom,tradeoff,flpens,iteration
1,0,8,16,116,65,498,707,1251,3325,726,587,15.108562691131498,25136,236.0,0.0,20.0,75.79836905002594,46.16872727870941,8.463687896728516,4.505105018615723,1.3467884063720703,1979.1085124015808,18.56969892978668,38.29992711544037,256.0291111469269,0.1488284766674041,0.8180505037307739,0.9006940722465515,1
0,0,6,4,75,29,418,751,953,3348,1133,779,16.465565749235473,30848,252.0,4.0,21.0,18.97398203611374,44.21649754047394,5.318956971168518,7.880691289901733,1.7795595526695251,1718.4200882911682,94.871586561203,63.77996802330017,220.18645107746124,2.2046263217926025,0.0538708306849002,0.4325401782989502,2
0,0,2,1,53,33,268,561,1241,2724,1177,765,16.753455657492356,37521,213.0,2.0,23.0,54.27943259477616,43.5423618555069,9.515718817710876,6.875128746032715,3.374532461166382,1125.2808570861816,71.45462036132812,20.567862689495087,321.0365653038025,0.5256779193878174,0.938327431678772,0.8660134077072144,3
0,0,3,3,51,44,291,526,1205,3273,1414,842,16.917186544342506,40625,227.0,2.0,22.0,62.090054750442505,48.49504202604294,6.750718355178833,0.9716790914535522,0.916350483894348,1984.377384185791,35.468244552612305,97.18840718269348,305.0602078437805,2.526719570159912,0.4508636891841888,0.0922054201364517,4
3,0,2,16,83,50,423,643,1367,3329,972,592,15.542996941896025,25955,284.0,5.0,21.0,34.53991383314133,8.105320781469345,7.1547675132751465,7.692579030990601,6.484984755516052,1968.6736464500427,14.196404814720154,96.8900740146637,310.9680771827698,1.100961208343506,0.6936208605766296,0.8444697260856628,5
0,1,3,5,75,28,369,798,893,2993,973,695,16.130030581039755,31992,291.0,2.0,21.0,66.1081862449646,39.85048353672028,5.07990837097168,2.2795891761779785,3.007071316242218,1798.8603711128235,4.122815653681755,77.00641751289368,379.2308807373047,1.103588342666626,0.8088830709457397,0.6640592813491821,6
0,0,3,2,53,34,299,606,986,3462,1496,831,17.046055045871558,37421,222.0,4.0,21.0,28.459156900644302,29.50577199459076,8.570903539657593,6.15983784198761,3.742244839668274,1255.5424869060516,9.52027216553688,95.93087434768675,372.32866287231445,3.0458014011383057,0.6054662466049194,0.5657479166984558,7
1,0,5,11,56,41,360,562,1258,3203,1000,692,16.211743119266053,35700,266.0,0.0,22.0,11.59557305276394,30.43086051940918,9.701507091522217,3.983404040336609,1.6689229011535645,1400.033801794052,14.237765967845917,70.75334191322327,255.2438974380493,2.7098402976989746,0.6328007578849792,0.9823297262191772,8
0,0,6,7,61,26,287,413,1252,3136,1279,868,17.16250764525994,44478,286.0,5.0,23.0,73.73190939426422,26.41473397612572,0.380740761756897,2.390441447496414,4.016132652759552,1605.770230293274,16.27088636159897,52.15792655944824,285.77134013175964,2.9560279846191406,0.5702450275421143,0.9532464742660522,9
2,0,1,3,55,34,295,612,1103,3272,726,630,15.727584097859328,42200,273.0,2.0,20.0,60.46083807945252,40.51453411579132,3.304086923599243,7.259409427642822,4.577257037162781,1197.146013379097,59.176719188690186,20.291216671466827,205.6063339114189,2.9027111530303955,0.6135783195495605,0.8489153981208801,10
