conflicts,quints,quads,four in five slots,triple in 24h (no gaps),triple in same day (no gaps),three in four slots,evening/morning b2b,other b2b,two in three slots,singular late exam,"two exams, large gap",avg_max,lateness,size_cutoff,reserved,num_blocks,alpha,gamma,delta,vega,theta,large_block_size,large_exam_weight,large_block_weight,large_size_1,large_cutoff_freedom,tradeoff,flpens,iteration
0,0,5,6,57,38,394,473,1668,2578,927,889,16.154250764525994,34752,251.0,2.0,23.0,31.98143377900124,11.76496297121048,0.3821330517530441,8.076876997947693,0.2750322595238685,1707.7629566192627,24.438363313674927,31.445327401161197,253.90905141830444,2.100710153579712,0.6698958277702332,0.8775269389152527,1
0,0,2,8,53,21,329,289,1108,3719,1191,789,16.49492354740061,38011,221.0,2.0,21.0,91.1798882484436,26.31115511059761,2.8929877281188965,5.244698524475098,7.256229519844055,1212.0097428560257,33.55640769004822,71.48571014404297,395.84048986434937,0.2397802919149398,0.2002153545618057,0.2993741631507873,2
0,0,2,17,77,50,362,524,1431,3396,1102,651,16.25382262996942,31860,208.0,1.0,20.0,64.00831699371338,9.866720400750635,6.637365221977234,2.222310453653336,7.983600497245789,1052.3249730467796,5.105528235435486,38.38069438934326,284.4993770122528,3.559865713119507,0.5564680695533752,0.1880453526973724,3
0,0,1,1,62,22,293,523,1052,3748,998,698,16.455290519877675,41360,291.0,2.0,21.0,49.14496570825577,40.590454041957855,5.368039011955261,2.5530365109443665,3.7288084626197815,1830.2972316741943,97.31539487838744,10.206734389066696,233.2188665866852,3.088035821914673,0.8859472274780273,0.6617221832275391,4
0,0,1,6,63,30,310,495,1075,3687,1181,704,16.629847094801224,35727,221.0,2.0,21.0,74.41212296485901,31.23051553964615,7.917002439498901,0.3852350264787674,8.81790280342102,1343.3826565742493,57.14257955551148,99.07498359680176,316.5306210517884,1.195855736732483,0.4802621304988861,0.0210083574056625,5
0,0,16,15,106,71,430,565,1191,3627,945,670,15.199755351681958,23521,275.0,1.0,20.0,15.689147040247915,34.6928933262825,4.162314236164093,9.99940037727356,1.673298329114914,1936.2365007400515,63.21858763694763,81.00720643997192,346.8778133392334,0.6434462666511536,0.3748864531517029,0.8355547189712524,6
0,1,8,6,104,73,464,307,1579,3476,870,694,15.48250764525994,23893,208.0,1.0,20.0,33.18209648132324,17.117239981889725,9.147571325302124,4.390122294425964,4.478958547115326,1554.8797845840454,40.02932608127594,52.249085903167725,365.2501344680786,1.6717722415924072,0.0870921462774276,0.6099538207054138,7
1,0,2,4,72,42,349,582,1327,2866,977,781,16.25480122324159,33072,280.0,1.0,22.0,80.40271878242493,48.5359188914299,1.6127017140388489,7.167230248451233,5.785865783691406,1424.8735308647156,79.19695973396301,15.967157483100891,202.8717501088977,2.5002896785736084,0.7803890705108643,0.476085215806961,8
0,0,6,14,72,114,466,696,1332,3397,578,511,14.642996941896024,20745,291.0,2.0,21.0,88.68717730045319,15.256167128682137,9.846059679985046,9.21055793762207,2.6038360595703125,1301.4779388904572,12.273844331502914,47.83186614513397,299.1465926170349,1.2775287628173828,0.865286648273468,0.3308547437191009,9
0,0,3,5,63,19,333,586,775,3719,1361,821,17.151437308868502,36727,274.0,2.0,22.0,40.370829701423645,29.10153090953827,2.4773623049259186,1.7508529126644137,6.410988569259644,1687.0985627174375,70.18558979034424,84.11081433296204,336.5247845649719,2.425408840179444,0.0471088290214538,0.6932326555252075,10
0,1,2,12,53,45,348,539,1275,3075,925,644,15.95302752293578,30291,227.0,4.0,22.0,12.72087037563324,22.77042329311371,7.4914586544036865,6.378999352455139,9.858456254005432,1805.7265877723692,45.31804621219635,61.70012354850769,350.99395513534546,3.3892555236816406,0.2724069356918335,0.971507489681244,11
2,0,3,12,73,36,493,863,1105,2866,582,471,14.3651376146789,24436,273.0,2.0,20.0,59.93884265422821,42.68090605735779,4.87007200717926,3.919274210929871,1.0484425723552704,1174.01123046875,84.67516899108887,19.070440530776978,213.6157184839249,0.2824329733848572,0.5788618326187134,0.1150188669562339,12
0,0,7,10,57,42,366,464,1017,3537,1078,721,16.399327217125382,44992,280.0,2.0,22.0,66.47596538066864,20.60853198170662,1.246793419122696,3.3370721340179443,2.1501553058624268,1461.162954568863,27.975058555603027,68.4370219707489,381.5844535827637,2.957965850830078,0.3777855336666107,0.1570215672254562,13
0,0,2,2,42,19,296,568,1356,2615,1172,726,16.984892966360857,40174,221.0,1.0,23.0,24.44371297955513,46.4070200920105,8.615490794181824,5.721114873886108,8.192780017852783,1581.15953207016,91.93516373634338,0.8104877546429634,243.9626932144165,1.8704677820205688,0.692301869392395,0.8045620918273926,14
1,0,5,14,50,47,453,382,1262,2923,928,650,16.14611620795107,29912,268.0,2.0,21.0,52.46703714132309,6.326073491945863,3.600745499134064,1.1686591058969498,5.381373763084412,1958.6099982261655,17.562580108642578,28.396981954574585,268.55602860450745,0.8187159299850464,0.9708494544029236,0.5164300799369812,15
0,0,10,3,88,68,441,603,1248,3692,878,695,15.382446483180429,29940,275.0,1.0,20.0,98.99293780326845,6.45633690059185,1.9654329121112823,4.801058769226074,9.13018763065338,1600.4343032836914,96.59860134124756,27.224645018577576,329.05311584472656,0.5547299385070801,0.1525842547416687,0.2309464514255523,16
0,0,1,7,60,30,297,460,1127,3449,1046,832,16.869296636085625,52910,280.0,2.0,22.0,94.89488184452055,36.78343117237091,6.222132444381714,8.5526841878891,4.353664517402649,1092.5205945968628,50.07750391960144,89.67888951301575,306.177830696106,3.978468418121338,0.1602425873279571,0.3825925588607788,17
7,1,3,4,73,37,320,546,1116,2847,843,716,16.040366972477063,39728,218.0,2.0,23.0,50.98408669233322,37.87947297096253,9.422025680541992,7.419440746307373,0.5879087746143341,1482.3919534683228,35.763177275657654,90.84507822990416,291.479617357254,3.648093223571777,0.9629514813423156,0.8705154657363892,18
2,0,5,5,71,24,314,503,968,3724,980,698,16.27553516819572,31402,273.0,2.0,20.0,70.81578493118286,45.13072311878204,6.9902104139328,9.58850085735321,6.944115161895752,1969.111979007721,19.10044401884079,5.885164439678192,358.36756229400635,1.5049352645874023,0.4325699806213379,0.4486739337444305,20
1,0,10,12,108,53,406,664,1406,3533,1174,638,15.137186544342509,21922,203.0,3.0,20.0,14.18231587857008,43.25372397899628,0.7351596653461456,0.1305475458502769,4.792454838752747,1251.4252662658691,1.360629964619875,24.14827048778534,377.82527208328247,0.0931406915187835,0.2957475483417511,0.6341922283172607,21
