iteration,utility
1,42672.76415351859
2,42998.86346017361
3,52873.075885789156
4,46948.75651034558
5,49592.109515750395
6,52204.436152208335
7,58012.59649505923
8,53285.31861112628
9,46122.12239995632
10,49673.25544576077
11,41747.592509690454
12,51375.90686247748
13,64088.047769831304
14,55328.21488234973
15,48065.80389801823
16,46862.73156084512
17,49652.11371949555
18,53230.08451165584
19,49436.15231751924
20,45967.81869301741
21,54740.60948845335
22,41833.81629087733
23,53316.4039962876
24,59303.907517606596
25,42840.73008680461
26,52452.32483485287
27,46931.71540099361
28,46774.733198667906
29,45124.64617568379
30,57884.30801987225
31,48037.966424632854
32,55610.84790085713
33,46988.617459190915
