iteration,raw_hv,norm_hv,log10_hv,pct_gain,pareto_size
1,2.1529406498180808e+30,0.00024918294558079636,-3.603481684699893,0.0,1
2,3.781349878452495e+33,0.4376562359320017,-0.358866879120257,175536.5127283937,2
3,4.0875811676738794e+33,0.47309967218447674,-0.3250473528783469,8.098464809257704,3
4,5.100849882334319e+33,0.5903761437886943,-0.2288712000167474,24.78895642914073,4
5,5.60020582210407e+33,0.648171970150934,-0.18830975372958192,9.789661552267226,5
6,5.630133394230426e+33,0.6516358095174104,-0.1859950578066069,0.5344012894710389,6
7,5.65378403713869e+33,0.6543731524466077,-0.18417452715989205,0.4200725143120168,7
8,5.766053302860968e+33,0.6673672804237232,-0.17563508967967176,1.985736720483158,8
9,6.731369310257052e+33,0.7790936701686403,-0.10841032410951025,16.74136461619456,9
10,7.084473304744254e+33,0.8199621880491035,-0.08620617432390734,5.245648815452052,10
11,7.48059276518036e+33,0.865809347821801,-0.0625777295814088,5.591374875685356,11
12,7.559137482977462e+33,0.8749001716409099,-0.05804149826780024,1.049979864733457,12
13,7.845792069051249e+33,0.9080777857698205,-0.04187694830304987,3.7921599748557124,13
14,7.878116970495923e+33,0.9118190938073985,-0.04009131776207921,0.4120030350050146,14
15,7.961079450296211e+33,0.9214212326731726,-0.0355417843488592,1.0530749938213446,15
16,8.185186126966718e+33,0.9473595054359627,-0.0234851829831614,2.815028766760624,16
17,8.537730667140184e+33,0.9881632716597435,-0.005171292130404218,4.307104746365892,17
18,8.669819094191432e+33,1.0034512840499341,0.0014962930349076001,1.5471140072340976,18
19,8.683014076019766e+33,1.0049784810208062,0.0021567625784232837,0.15219443087544213,19
20,8.698206832187399e+33,1.0067369018735415,0.0029159879382238524,0.17497099549327058,20
21,8.703559527420014e+33,1.007356426784724,0.003183161514527718,0.0615379162152005,21
22,8.815473119888823e+33,1.020309388876021,0.008731883043922785,1.285837043065319,22
23,8.87851323079356e+33,1.0276056980085138,0.011826503736381897,0.7151075166063445,23
24,8.879280740973847e+33,1.0276945302053064,0.011864045047745398,0.00864458001399097,24
25,8.89158305413713e+33,1.0291184090436492,0.01246534700318938,0.13855078493589573,25
26,9.118730204187695e+33,1.0554085884476498,0.023420623951628108,2.5546311457426873,26
27,1.0049909622826018e+34,1.1631839841233815,0.06564841375677495,10.211722441472016,27
28,1.0687584483526817e+34,1.2369889448526408,0.0923658182944811,6.345080549306341,28
29,1.0730890791778886e+34,1.242001249048482,0.094122032599491,0.4052020203331973,29
30,1.0731699294393712e+34,1.2420948257400128,0.09415475262284138,0.00753434761861656,30
31,1.078054789728922e+34,1.2477485992232893,0.09612709098060654,0.4551805036228256,31
32,1.0949008886413594e+34,1.2672463988904623,0.10286106577097849,1.5626384737526617,32
33,1.1130280896964064e+34,1.288226955667137,0.10999238236453886,1.6556020040809976,33
34,1.1844381914313136e+34,1.370877536378835,0.13699866000438052,6.415840030990153,34
35,1.1844383762312535e+34,1.3708777502676543,0.13699872776442784,1.5602328701627956e-05,35
36,1.1848821636633077e+34,1.3713913931288284,0.13716141949979072,0.03746817402746321,36
37,1.1864938895370046e+34,1.3732568165937553,0.13775176345651746,0.13602414848695712,37
38,1.1867237565838225e+34,1.3735228664164612,0.1378358939537601,0.019373639328858522,38
39,1.1929582508825803e+34,1.3807387162992828,0.14011150276011405,0.525353458559295,39
40,1.2046783950188919e+34,1.3943036979385321,0.14435737919502792,0.9824437802111334,40
41,1.204926103088459e+34,1.3945903970931237,0.14444667040294135,0.020562174152980138,41
42,1.2559316262497477e+34,1.4536245674186894,0.162452254286363,4.233083093689457,42
43,1.2559338908752917e+34,1.4536271885130692,0.16245303738113512,0.00018031439743872014,43
44,1.2596105671486683e+34,1.4578826008665142,0.16372255289233412,0.29274441115799243,44
45,1.2770281796046537e+34,1.4780418745424233,0.16968673827064135,1.3827775750891822,45
46,1.2774158983079188e+34,1.4784906230415726,0.16981857446631907,0.03036101391161578,46
47,1.2775774459910826e+34,1.4786775995267158,0.16987349380112854,0.012646443760228792,47
48,1.3250215649341513e+34,1.5335897742293418,0.18570920406237967,3.713600227676532,48
