,Unnamed: 0,Exam Group,Exam Block
0,0,1-3186,1
1,1,MLG02,6
2,2,MLG03,5
3,3,MLG06,18
4,4,1-1530,15
5,5,1-8611,11
6,6,MLG12,9
7,7,1-3026,3
8,8,1-19755,9
9,9,MLG15,14
10,10,MLG63,7
11,11,MLG08,14
12,12,1-3523,6
13,13,MLG11,10
14,14,1-3037,3
15,15,MLG14,15
16,16,1-0691,17
17,17,1-2272,18
18,18,1-5635,2
19,19,1-8165,16
20,20,1-0708,18
21,21,1-1633,1
22,22,1-6568,4
23,23,1-8567,8
24,24,MLG62,14
25,25,1-3047,17
26,26,1-8718,10
27,27,1-6569,12
28,28,1-7425,1
29,29,1-6957,12
30,30,1-1687,11
31,31,1-7462,10
32,32,1-8019,12
33,33,1-18507,1
34,34,1-3152,8
35,35,1-7901,16
36,36,1-5899,8
37,37,1-7946,4
38,38,MLG67,2
39,39,1-4766,7
40,40,MLG70,2
41,41,1-9365,3
42,42,1-7172,6
43,43,1-8681,13
44,44,1-19257,5
45,45,1-1070,17
46,46,1-3056,10
47,47,1-2292,12
48,48,1-8371,5
49,49,1-1035,17
50,50,1-7302,6
51,51,1-4011,8
52,52,MLG66,7
53,53,MLG13,14
54,54,1-6727,8
55,55,MLG61,7
56,56,MLG53,13
57,57,1-8484,12
58,58,1-0983,2
59,59,1-7460,18
60,60,1-5531,17
61,61,1-6678,18
62,62,1-3496,23
63,63,1-0916,2
64,64,1-1131,19
65,65,1-0677,24
66,66,1-8564,20
67,67,1-4394,20
68,68,1-5228,24
69,69,MLG45,22
70,70,MLG74,20
71,71,1-0918,21
72,72,MLG73,24
73,73,MLG57,2
74,74,1-7518,24
75,75,MLG50,3
76,76,MLG09,21
77,77,1-7038,2
78,78,1-7306,21
79,79,MLG33,22
80,80,1-9340,19
81,81,1-5642,14
82,82,1-3509,5
83,83,1-7402,17
84,84,1-2275,22
85,85,MLG26,22
86,86,1-1712,8
87,87,MLG65,12
88,88,1-6684,5
89,89,MLG71,1
90,90,1-1099,7
91,91,1-2742,19
92,92,1-6511,24
93,93,1-3693,17
94,94,1-9100,17
95,95,MLG68,4
96,96,MLG36,21
97,97,1-4654,1
98,98,MLG76,8
99,99,1-0917,16
100,100,1-0541,23
101,101,1-1655,1
102,102,MLG64,20
103,103,1-1005,19
104,104,1-7872,7
105,105,1-3364,8
106,106,1-0529,4
107,107,1-8121,1
108,108,1-1887,2
109,109,1-1136,24
110,110,1-1152,23
111,111,1-1166,9
112,112,1-9114,1
113,113,1-8753,20
114,114,1-3174,1
115,115,1-0598,20
116,116,1-6166,19
117,117,1-8480,9
118,118,1-7971,21
119,119,1-2485,2
120,120,MLG48,9
121,121,1-8949,14
122,122,1-3051,19
123,123,MLG52,23
124,124,MLG59,22
125,125,MLG55,7
126,126,1-18045,17
127,127,MLG56,13
128,128,1-8754,19
129,129,1-3246,23
130,130,1-6501,8
131,131,MLG47,6
132,132,1-9260,18
133,133,1-4397,17
134,134,1-7057,17
135,135,1-7720,17
136,136,MLG51,19
137,137,1-8916,3
138,138,1-7993,8
139,139,1-9341,21
140,140,1-19891,12
141,141,1-12345,1
142,142,1-7187,12
143,143,1-3135,6
144,144,1-7081,17
145,145,MLG78,21
146,146,1-7539,15
147,147,1-7589,2
148,148,1-6677,7
149,149,1-7547,9
150,150,1-8228,11
151,151,MLG29,22
152,152,1-7725,1
153,153,1-3717,12
154,154,MLG83,22
155,155,1-5687,23
156,156,1-9157,10
157,157,1-8666,23
158,158,1-7107,17
159,159,1-2364,24
160,160,1-7636,14
161,161,1-8368,1
162,162,1-10960,11
163,163,1-1119,20
164,164,1-6591,11
165,165,1-9454,24
166,166,1-5696,17
167,167,1-6637,21
168,168,1-7523,4
169,169,1-7900,10
170,170,1-9276,4
171,171,1-6654,14
172,172,MLG18,4
173,173,MLG17,16
174,174,1-7733,24
175,175,MLG32,21
176,176,1-0582,23
177,177,1-19121,14
178,178,1-19068,19
179,179,1-9294,16
180,180,MLG77,3
181,181,1-1466,8
182,182,1-8678,24
183,183,MLG42,22
184,184,1-9071,8
185,185,1-9291,24
186,186,1-1176,1
187,187,1-6506,1
188,188,MLG69,11
189,189,1-0429,4
190,190,1-7625,6
191,191,MLG58,18
